Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,445.05500,204.00400,241.05100,19.24700,-3.90400,145.44700,95.60400,-7.96400,87.64000,87.64000,87.64000,,73.82100,218.30100,95.60400,366.98100,367.60000,0.20000,0.20000,0.37000,0.58720,21.48140,21.48140,19.69190,16.58690,0.03470,1.13880,1.15690,0.68230,0.71750,20.99640,0.6344,0.816
2024-06-30,423.49400,181.85200,241.64200,21.69300,,142.23300,99.40900,9.12500,108.53400,108.53400,108.53400,,92.14200,219.91600,99.40900,366.77800,367.31300,0.25000,0.25000,0.39300,0.64740,23.47350,23.47350,25.62820,21.75760,0.03180,1.40740,1.42960,0.81580,0.85430,21.04230,0.7454,1.0043
2024-03-31,423.55500,187.32900,236.22600,21.88500,,140.93500,95.29100,32.80400,128.09500,128.09500,128.09500,,109.28900,214.07300,95.29100,366.51300,366.97200,0.30000,0.30000,0.36890,0.58450,22.49790,22.49790,30.24280,25.80280,0.03320,1.66260,1.68890,1.00380,1.04930,21.03270,0.54990,0.89850
2023-12-31,408.65700,173.90900,234.74800,18.48700,,138.51800,96.23000,-5.29300,90.93700,90.93700,90.93700,,76.61700,215.08700,96.23000,362.02500,362.47700,0.21000,0.22000,0.36830,0.58300,23.54790,23.54790,22.25270,18.74850,0.03220,1.18830,1.20720,0.71670,0.75060,20.97080,0.3203,0.4678
2023-09-30,421.69700,197.82600,223.87100,18.33600,,136.59800,87.27300,0.81900,88.09200,88.09200,88.09200,,74.11300,205.22100,87.27300,362.42600,362.92500,0.20000,0.20000,0.36690,0.57940,20.69570,20.69570,20.88990,17.57490,0.03360,1.16670,1.18560,0.70140,0.73870,20.85460,0.5708,0.6623
2023-06-30,395.54800,173.21900,222.32900,19.93700,,137.31100,85.01800,30.39600,115.41400,115.41400,115.41400,,98.02900,201.28200,85.01800,362.14900,362.48000,0.27000,0.27000,0.36700,0.57990,21.49370,21.49370,29.17830,24.78310,0.03160,1.52860,1.55340,0.92170,0.96760,20.85700,0.591,0.8416
2023-03-31,397.70300,177.86800,219.83500,17.85500,,135.64800,84.18700,53.51200,137.69900,137.69900,137.69900,,117.46500,199.94700,84.18700,360.35300,360.67400,0.33000,0.32000,0.36820,0.58280,21.16830,21.16830,34.62360,29.53590,0.03200,1.83160,1.86140,1.10870,1.15720,20.78030,0.55580,0.97140
2022-12-31,380.92600,165.27000,215.65600,14.94200,-4.44600,137.56920,78.08680,25.70400,103.79080,103.79080,103.79080,,87.53700,194.01480,78.08680,349.29100,349.78700,0.26000,0.25000,0.38630,0.62940,20.49920,20.49920,27.24700,22.98010,0.03130,1.44670,1.47130,0.85250,0.88780,20.29510,0.1943,0.4677
2022-09-30,391.62700,181.80400,209.82300,16.98600,-5.31400,136.10100,73.72210,-12.05700,61.66510,61.66510,61.66510,,50.71500,186.12700,73.72210,348.94400,349.34500,0.14000,0.14000,0.38060,0.61450,18.82460,18.82460,15.74590,12.94980,0.03240,0.86340,0.87810,0.50970,0.53470,20.20810,0.6224,0.4946
2022-06-30,361.87600,158.03800,203.83800,18.84700,3.62700,127.29300,76.54500,-1.99000,74.55510,74.55510,74.55510,,56.59000,184.00900,76.54500,348.48400,349.00300,0.16000,0.16000,0.38680,0.63070,21.15230,21.15230,20.60240,15.63800,0.03050,1.07060,1.08940,0.62890,0.65650,19.99320,0.6277,0.1252
2022-03-31,356.10500,159.67700,196.42800,17.28200,,123.21000,73.21800,-3.20400,70.01400,70.01400,70.01400,,55.93900,175.62500,73.21800,345.74300,346.48100,0.16000,0.16000,0.35630,0.55360,20.56080,20.56080,19.66110,15.70860,0.03110,0.98460,1.00160,0.61190,0.63380,20.41700,0.45820,-0.29100
2021-12-31,338.09200,146.42700,191.66500,15.79900,,118.55990,73.10500,-11.78200,61.32300,61.32300,61.32300,,48.10500,172.77100,73.10500,324.24500,325.51800,0.15000,0.15000,0.36540,0.57590,21.62280,21.62280,18.13800,14.22840,0.03080,0.91010,0.92660,0.55940,0.57750,19.93630,0.3013,-0.4236
2021-09-30,339.56300,159.25600,180.30700,12.64700,0.13900,110.28100,70.02600,-21.52500,48.50100,48.50100,48.50100,,36.86900,166.98200,70.02600,324.00300,326.20600,0.11000,0.11000,0.34940,0.53700,20.62240,20.62240,14.28340,10.85780,0.03230,0.73680,0.75050,0.46170,0.47940,19.68520,0.493,-0.6117
2021-06-30,313.65400,138.99400,174.66000,12.79300,0.80000,106.07800,68.58200,-16.76800,51.81400,51.81400,51.81400,,20.10200,161.69800,68.58200,319.75300,320.80900,0.06000,0.06000,0.35700,0.55530,21.86550,21.86550,16.51950,6.40900,0.03150,0.83930,0.85600,0.51980,0.53960,19.12230,0.5554,-0.074
