Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.35460,0.35460,2.84640,1.60520,,-4.09700,0.31320,-3.78380,-3.78380,-3.78380,-3.78380,-4.09160,-4.09700,5.94000,5.94000,-0.64000,-0.64000,7.28400,100.00000,-1155.32300,-1155.32300,-1066.99000,-1066.99000,0.01320,-17.24050,-17.24050,-14.06920,-17.24050,4.03810,-0.4149,-0.4149
2024-06-30,0.56160,0.56160,2.55770,1.85080,,-3.84690,0.37690,-3.47010,-3.47010,-3.47010,-3.47010,-3.84160,-3.84690,5.93700,5.93700,-0.58000,-0.58000,9.55320,100.00000,-685.02530,-685.02530,-617.91530,-617.91540,0.01870,-13.57650,-13.57650,-11.58050,-13.57650,4.70690,-0.3387,-0.3394
2024-03-31,0.38060,0.38060,1.60040,1.92990,,-3.14970,0.33960,-2.81010,-2.81010,-2.81010,-2.81010,-3.14350,-3.14970,4.19800,4.19800,-0.67000,-0.67000,11.15280,100.00000,-827.62130,-827.62130,-738.39200,-738.39200,0.01150,-9.71550,-9.71550,-8.46410,-9.71550,5.32670,-0.93760,-0.93950
2023-12-31,0.01410,0.01410,2.04570,1.64330,,-3.67490,0.23170,-3.44330,-3.44330,-3.44330,-3.44330,-3.66990,-3.67490,3.61760,3.61760,-0.88000,-0.88000,5.13520,100.00000,-26109.66000,-26109.66000,-24463.65000,-24463.65000,0.00060,-20.31000,-20.31000,-15.20190,-20.31000,4.53670,-1.107,-1.1097
2023-09-30,0.31950,0.31950,2.12260,1.71970,,-3.52290,0.31830,-3.20450,-3.20450,-3.20450,-3.20450,-3.52140,-3.52290,3.73500,3.73500,-0.86000,-0.86000,6.15440,100.00000,-1102.72400,-1102.72400,-1003.07900,-1003.07900,0.01240,-15.79410,-15.79410,-12.43680,-15.79410,5.42930,-0.599,-0.622
2023-06-30,0.24970,0.24970,2.20270,1.69870,,-3.65170,0.39260,-3.25910,-3.25910,-3.25910,-3.25910,-3.65150,-3.65170,3.73200,3.73200,-0.87000,-0.87000,7.24880,100.00000,-1462.49800,-1462.49800,-1305.26800,-1305.26800,0.00870,-13.91660,-13.91660,-11.36340,-13.91660,6.27510,-0.7464,-0.7464
2023-03-31,,,1.25650,3.36600,,-4.62250,0.24260,-4.37990,-4.37990,-4.37990,-4.37990,-4.62210,-4.62250,3.26000,3.26000,-1.34000,-1.34000,7.57410,,,,,,,-16.53910,-16.53910,-13.67840,-16.53910,7.09590,-0.91380,-0.91380
2022-12-31,,,4.38350,-1.73190,,-2.65160,0.20950,-2.44210,-2.44210,-2.44210,-2.44210,-2.65400,-2.65160,1.65710,1.65710,28.30000,28.30000,9.41980,,,,,,,-9.52340,-9.52340,-8.09840,-9.52340,9.65770,-2.9814,-2.9814
2022-09-30,,,1.11760,3.08260,,-4.20020,0.17550,-4.02470,-4.02470,-4.02470,-4.02470,-4.13880,-4.20020,1.73300,1.73300,-2.32000,-2.32000,8.37230,,,,,,,-15.11620,-15.11620,-11.97050,-15.11620,10.19380,0.5955,0.5955
2022-06-30,,,6.81160,15.63370,-76.02020,-98.46550,0.20710,-98.25850,-98.25850,-98.25850,-98.25850,-98.40180,-98.46550,1.13300,1.13300,-86.72000,-86.72000,5.26580,,,,,,,274.63510,274.63510,-241.51720,274.63510,-30.57690,-7.6892,-7.6892
