,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-15,2024-09-30,--,$-1.26
1,2024-08-14,2024-06-30,--,$-5.89
2,2024-05-20,2024-03-31,--,$-19.40
3,2023-11-14,2023-09-30,--,$-140.30
4,2023-08-24,2023-06-30,--,$-1383.58
5,2023-05-22,2023-03-31,--,$-71.63
6,2023-03-31,2022-12-31,$-170.12,$-80.58
7,2022-11-10,2022-09-30,$-250.70,$-161.16
8,2022-08-15,2022-06-30,$-196.98,$-241.74
9,2022-05-13,2022-03-31,$-358.14,$-259.65
10,2022-03-30,2021-12-31,--,$-322.32
11,2021-11-12,2021-09-30,$-196.98,$-349.18
12,2021-08-16,2021-06-30,$-71.63,$-340.23
13,2021-06-21,2021-03-31,$-44.77,$-196.98
14,2021-02-17,2020-12-31,--,$-402.90
