Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,129.04200,129.04200,30.79300,49.75900,49.75900,-0.73400,50.49300,50.49300,42.16100,95.20200,98.24900,123.35700,123.35700,0.34000,0.34000,1.76330,0.56120,1.27920,100.00000,38.56030,76.13720,38.56030,32.67230,0.02890,3.43330,26.21360,2.64260,2.64260,1.13100,1.15950,15.48960,0.6232,0.6232
2024-06-30,123.17500,123.17500,29.77100,50.69700,50.69700,0.31600,50.38100,50.38100,39.61500,88.41200,93.40400,123.32200,123.32200,0.32000,0.32000,1.04940,0.55920,1.26850,100.00000,41.15850,75.83030,41.15850,32.16160,0.02740,3.91260,23.00290,2.62520,2.62520,1.11890,1.15720,15.55780,-2.2636,-2.2636
2024-03-31,113.44500,113.44500,28.99400,48.67300,48.67300,0.39800,48.27500,48.27500,54.06100,80.99000,84.45100,123.02800,123.02800,0.44000,0.44000,1.36750,0.52440,1.10240,100.00000,42.90450,74.44220,42.90450,47.65390,0.02710,3.51150,25.63030,2.50560,2.50560,1.15480,1.19180,15.64740,-2.55490,-2.55490
2023-12-31,111.54200,111.54200,7.35800,71.86100,71.86100,0.21400,71.64700,71.64700,80.55700,100.18000,104.18400,122.04560,122.04560,0.66000,0.66000,1.78450,0.47860,0.91800,100.00000,64.42510,93.40340,64.42510,72.22120,0.02970,4.43560,20.29040,3.74900,3.74900,1.90490,1.95460,15.56050,0.4638,0.4638
2023-09-30,107.21600,107.21600,6.80300,69.30900,69.30900,0.22600,69.08300,69.08300,73.49300,98.44900,100.41300,122.40600,122.40600,0.60000,0.60000,1.09010,0.47210,0.89420,100.00000,64.64430,93.65490,64.64430,68.54670,0.02920,4.19830,21.43730,3.66090,3.66090,1.88130,1.93270,15.39950,0.4466,0.4466
2023-06-30,106.19000,106.19000,6.61600,69.86100,69.86100,0.20900,69.65200,69.65200,69.53000,99.11900,99.57400,121.87300,121.87300,0.57000,0.57000,1.10410,0.47400,0.90110,100.00000,65.78870,93.76970,65.78870,65.47700,0.02910,4.05750,22.18090,3.72760,3.72760,1.91090,1.96080,15.28260,0.4556,0.4556
2023-03-31,97.88100,97.88100,6.57900,62.76300,62.76300,1.18400,61.57900,61.57900,73.97600,90.58000,91.30200,121.20100,121.20100,0.61000,0.61000,1.31130,0.47990,0.92260,100.00000,64.12170,93.27860,64.12170,75.57750,0.02700,4.23450,21.25390,3.33620,3.33620,1.69640,1.73520,15.19690,0.15790,0.15790
2022-12-31,90.09300,90.09300,6.19700,58.57400,58.57400,0.17200,58.40200,58.40200,60.44000,83.10200,83.89600,116.04600,116.04600,0.53000,0.53000,1.09450,0.47790,0.91530,100.00000,65.01510,93.12150,65.01500,67.08620,0.02540,4.10150,21.94330,3.21970,3.21970,1.64390,1.68100,15.02890,-0.9627,-0.9627
2022-09-30,73.95100,73.95100,5.83100,49.33600,49.33600,0.15100,49.18500,49.18500,79.99100,67.40100,68.12000,119.80500,119.80500,0.67000,0.67000,1.25600,0.45790,0.84480,100.00000,66.71450,92.11500,66.71450,108.16760,0.02190,3.49750,25.73270,2.74090,2.74090,1.45770,1.48570,14.94590,-1.6016,-1.6016
2022-06-30,58.56400,58.56400,5.56300,41.52300,41.52300,0.12600,41.39700,41.39700,-4.53300,52.32300,53.00100,112.76500,112.76500,-0.04000,-0.04000,1.47110,0.42450,0.73770,100.00000,70.90190,90.50100,70.90190,-7.74030,0.01900,4.97530,18.08940,2.36680,2.36680,1.34080,1.36200,14.63220,-0.8647,-0.8647
