Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,815.63400,815.63400,506.26800,-112.13700,147.19900,-48.63200,98.56700,27.19900,71.36800,71.36800,,68.13200,185.86700,147.19900,91.72000,92.18800,0.74000,0.74000,1.06980,0.37320,0.61900,100.00000,18.04720,18.04720,12.08470,8.35330,0.13890,2.12440,42.36590,2.35420,10.29060,1.21570,1.47570,33.03860,1.7721,-0.2864
2024-06-30,796.04000,796.04000,495.68500,-109.69000,142.71000,-36.25000,106.46000,25.64300,80.81700,80.81700,,78.48200,179.79400,142.71000,91.62800,92.04300,0.86000,0.85000,1.18060,0.37540,0.62350,100.00000,17.92750,17.92750,13.37370,9.85910,0.14020,2.04440,44.02250,2.73700,13.07770,1.42330,1.70960,32.20640,1.8606,0.198
2024-03-31,768.05100,768.05100,489.86300,-101.07300,128.90500,-30.06100,98.84400,20.07400,78.77000,78.77000,,76.38300,166.26800,128.90500,91.36300,92.01000,0.84000,0.83000,1.26640,0.38500,0.64750,100.00000,16.78340,16.78340,12.86950,9.94500,0.13920,1.98880,45.25380,2.74840,14.81630,1.42770,1.69020,31.29730,-3.49180,-4.94120
2023-12-31,742.80010,742.80010,472.59510,-96.13100,127.02220,-47.05700,79.96500,20.20800,59.75700,59.75700,,57.72900,163.23920,127.02210,90.94900,90.94900,0.63000,0.64000,0.67290,0.32550,0.49310,100.00000,17.10050,17.10040,10.76540,7.77180,0.13860,2.05510,43.79450,2.14800,12.37890,1.11510,1.44880,30.48270,1.2879,0.0717
2023-09-30,750.33400,750.33400,466.83700,-99.60600,138.77200,-426.17000,-287.39800,-71.87300,-215.52500,-215.52500,,-217.71000,172.99400,138.77200,91.16800,91.16800,-2.39000,-2.39000,0.81340,0.33230,0.50750,100.00000,18.49470,18.49470,-38.30270,-29.01510,0.14030,2.06890,43.50060,-7.94540,-52.21190,-4.03140,-5.30520,29.74170,1.5216,0.11
2023-06-30,731.33700,731.33700,456.58000,-95.91200,135.10800,-38.67800,96.43000,22.88100,73.54900,73.54900,,72.29900,167.94700,135.10800,91.04400,91.54600,0.79000,0.79000,1.33820,0.31960,0.47800,100.00000,18.47410,18.47410,13.18540,9.88590,0.14200,2.11470,42.55940,2.51790,11.73770,1.42810,1.71310,32.05360,1.7881,0.7994
2023-03-31,704.26700,704.26700,458.32300,-90.83800,112.11300,-26.47000,85.64300,19.08500,66.55800,66.55800,,66.01500,144.50600,112.11300,90.10100,91.39100,0.73000,0.72000,1.42220,0.33020,0.50040,100.00000,15.91910,15.91910,12.16060,9.37360,0.13960,2.03310,44.26820,2.34390,12.31300,1.31950,1.57000,31.22050,0.48590,-0.23750
2022-12-31,675.29500,675.29500,431.90590,-88.67700,112.88780,-24.81600,88.07200,24.92700,63.14500,63.14500,,61.12400,143.85080,112.88780,89.68000,91.55500,0.69000,0.65000,1.30340,0.32670,0.49270,100.00000,16.71680,16.71680,13.04200,9.05150,0.13540,2.09430,42.97310,2.24500,12.28790,1.26600,1.51160,31.28240,1.2455,0.345
2022-09-30,666.73200,666.73200,418.51900,-81.33700,125.96410,-28.86200,97.10200,24.05600,73.04600,73.04600,,71.09900,156.35710,125.96410,89.83300,91.72300,0.79000,0.78000,1.30080,0.33450,0.51050,100.00000,18.89280,18.89280,14.56390,10.66380,0.13490,2.10990,42.65570,2.66230,15.88390,1.47770,1.77170,30.52800,0.4406,-0.3867
2022-06-30,651.71900,651.71900,404.85000,-76.38700,130.16200,-20.50500,109.65700,27.72500,81.93200,81.93200,,80.07900,160.10200,130.16200,89.72400,91.47300,0.89000,0.88000,1.17290,0.34200,0.52770,100.00000,19.97210,19.97210,16.82580,12.28740,0.13350,2.17010,41.47210,3.07660,21.14260,1.67800,2.02450,29.66380,1.6269,0.7382
