Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,29.14200,29.14200,14.91000,-2.35500,8.59000,-1.77700,6.81300,6.81300,6.81300,6.81300,11.64100,8.59000,10.29700,10.29800,0.66000,0.66000,1.22470,0.42600,0.75200,100.00000,29.47640,29.47640,23.37860,23.37860,0.03660,2.29190,39.26810,2.85880,2.88230,0.85590,1.64090,23.14180,1.0348,-0.1836
2024-06-30,27.41600,27.41600,14.84800,-1.94500,7.19800,-1.87300,5.32500,5.32500,5.32500,5.32500,10.39200,7.19800,10.29300,10.29500,0.52000,0.52000,1.29890,0.43090,0.76670,100.00000,26.25470,26.25470,19.42300,19.42300,0.03500,1.87110,48.09890,2.27160,2.29060,0.68000,1.29280,22.76770,0.6663,-0.2501
2024-03-31,24.54400,24.54400,14.67900,-1.68100,4.71900,-0.30800,4.41100,4.41100,4.41100,4.41100,8.32400,4.71900,10.28700,10.29100,0.43000,0.43000,1.41990,0.43460,0.77830,100.00000,19.22670,19.22670,17.97180,17.97180,0.03170,1.96870,45.71500,1.90140,1.91740,0.56890,1.07500,22.55580,1.22380,0.41510
2023-12-31,24.54500,24.54500,14.38300,-1.19300,5.51700,-2.03700,3.48000,3.48000,3.48000,3.48000,9.03700,5.51700,10.01800,10.02200,0.35000,0.35000,1.36600,0.43630,0.78360,100.00000,22.47710,22.47710,14.17800,14.17800,0.03200,1.48190,60.73210,1.51040,1.52330,0.45380,0.85150,22.40130,0.9055,-0.5448
2023-09-30,26.57000,26.57000,14.21600,-2.24900,6.66100,-1.59000,5.07100,5.07100,5.07100,5.07100,10.08100,6.66100,10.27600,10.27900,0.49000,0.49000,1.24910,0.43380,0.77570,100.00000,25.06960,25.06960,19.08540,19.08540,0.03490,1.73180,51.96760,2.20870,2.22750,0.66570,1.25070,22.34050,0.7508,-0.7687
2023-06-30,25.25100,25.25100,14.23500,-1.59300,6.20800,-1.76500,4.44300,4.44300,4.44300,4.44300,9.29000,6.20800,9.99800,10.00200,0.44000,0.44000,1.21670,0.43590,0.78190,100.00000,24.58520,24.58520,17.59530,17.59530,0.03370,1.73250,51.94840,1.95490,1.97170,0.59230,1.10280,23.91340,0.4169,-1.0472
2023-03-31,22.49500,22.49500,13.89800,-1.31300,4.06000,-0.35500,3.70500,3.70500,3.70500,3.70500,7.37300,4.06000,9.50400,9.51000,0.39000,0.39000,0.49630,0.48240,1.05720,100.00000,18.04850,18.04850,16.47030,16.47030,0.03100,1.83620,49.01490,1.95890,1.97920,0.51050,1.01400,19.89050,1.10490,-0.65540
2022-12-31,25.11700,25.11700,16.70900,-0.90000,4.23800,-1.91300,2.32500,2.32500,2.32500,2.32500,7.50800,4.23800,9.46200,9.48100,0.24000,0.25000,0.63090,0.48310,1.05250,100.00000,16.87300,16.87310,9.25670,9.25670,0.03490,1.50140,59.94390,1.23720,1.25010,0.32300,0.63950,19.77790,-0.0798,-1.3295
2022-09-30,26.58200,26.58200,13.45600,-1.83400,8.08200,-1.93800,6.14400,6.14400,6.14400,6.14400,11.29200,8.08200,9.47700,9.49200,0.65000,0.65000,0.69660,0.48090,0.98710,100.00000,30.40400,30.40400,23.11340,23.11340,0.03780,1.82760,49.24570,3.27030,3.32310,0.87420,1.69770,19.79490,1.2043,-0.2004
2022-06-30,25.01100,25.01100,13.38800,-1.72500,6.84300,-1.79700,5.04600,5.04600,5.04600,5.04600,9.89800,6.84300,9.45200,9.47000,0.53000,0.53000,0.50560,0.48970,1.03790,100.00000,27.36000,27.36000,20.17510,20.17510,0.03710,2.26770,39.68690,2.78940,2.78940,0.74860,1.42340,19.16740,0.1848,-1.2339
2022-03-31,22.18700,22.18700,12.94000,-1.41900,4.74300,-0.26000,4.48300,4.48300,4.48300,4.48300,7.82800,4.74300,9.42300,9.45500,0.48000,0.47000,0.30110,0.44180,0.95190,100.00000,21.37740,21.37740,20.20550,20.20550,0.03400,2.48710,36.18740,2.48280,2.48280,0.68680,1.38590,19.13130,1.25000,0.21630
