Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.89300,2.17600,-5.06900,0.09000,-4.97900,-4.97900,-4.97900,-4.97900,-5.06900,-5.06900,26.75230,26.75230,-0.19000,-0.19000,3.31030,,-103.70760,-103.70760,-74.79350,-103.70760,0.18050,-0.1217,-0.1255
2024-06-30,2.84400,2.24600,-5.09000,0.13400,-4.95600,-4.95600,-4.95600,-4.95600,-5.09000,-5.09000,26.56680,26.56680,-0.19000,-0.19000,6.83170,,-56.92630,-56.92630,-48.94330,-56.92630,0.32780,-0.1334,-0.1338
2024-03-31,2.42800,2.35600,-4.78400,0.17800,-4.60600,-4.60600,-4.60600,-4.60600,-4.78400,-4.78400,26.51120,26.51120,-0.17000,-0.17000,12.06660,,-36.73630,-36.73630,-33.78070,-36.73630,0.47620,-0.13060,-0.13390
2023-12-31,2.01000,2.09900,-4.10900,0.23000,-3.87900,-3.87900,-3.87900,-3.87900,-4.10900,-4.10900,20.33330,20.33330,0.07000,0.07000,14.09130,,-24.33960,-24.33960,-22.64320,-24.33960,0.60530,-0.2455,-0.2527
2023-09-30,1.62300,2.11400,-3.73700,0.26700,-3.47000,-3.47000,-3.47000,-3.47000,-3.73700,-3.73700,26.44920,26.44920,-0.13000,-0.13000,19.11580,,-18.62690,-18.62690,-17.66080,-18.62690,0.70770,0.0133,0.0079
2023-06-30,1.48400,1.82800,-3.31200,0.15800,-3.15400,-3.15400,-3.15400,-3.15400,-3.31200,-3.31200,19.69030,19.69030,-0.16000,-0.16000,37.95090,,-14.97480,-14.97480,-14.58030,-14.97480,0.81040,0.0162,0.0162
2023-03-31,1.68100,2.47500,-4.15600,0.02000,-4.13600,-4.13600,-4.13600,-4.13600,-4.15600,-4.15600,8.22240,8.22240,-0.50000,-0.50000,0.62970,,481.48950,481.49010,-283.09380,481.49010,-0.10440,-0.37870,-0.37870
2022-12-31,1.63900,2.09900,-3.73800,0.02400,-3.71200,-3.71200,-3.71200,-3.71200,-3.73800,-3.73800,8.16850,8.16850,-0.45000,-0.45000,2.42580,,-156.36060,-156.36050,-91.90390,-156.36050,0.29640,-0.3594,-0.3594
2022-09-30,1.56200,2.04800,-3.61000,0.03100,-3.57900,-3.57900,-3.57900,-3.57900,-3.61000,-3.61000,8.14700,8.14700,-0.44000,-0.44000,7.15880,,-62.35190,-62.35190,-53.64210,-62.35190,0.71740,-0.3345,-0.3345
2022-06-30,1.74200,1.79300,-3.53500,0.01000,-3.52500,-3.52500,-3.52500,-3.52500,-3.53500,-3.53500,8.14600,8.14600,-0.43000,-0.43000,12.64680,,-39.30640,-39.30640,-36.19840,-39.30640,1.12350,-0.2345,-0.2345
2022-03-31,0.73400,1.41400,-2.14800,0.00400,-2.14600,-2.14600,-2.14600,-2.14600,-2.14800,-2.14800,8.08180,8.08180,-0.27000,-0.27000,24.78790,,-17.55130,-17.55130,-16.84330,-17.55130,1.53620,-0.28940,-0.28940
2021-12-31,0.09600,1.24300,-1.33900,-0.74600,-2.08500,-2.08500,-2.08500,-2.08500,-0.64000,-1.33900,4.28470,4.28470,-0.39000,-0.39000,23.80610,,-15.54810,-15.54810,-14.89500,-15.54810,1.71700,-0.5418,-0.5418
2021-09-30,0.10500,0.34100,-0.44600,-0.74200,-1.18800,-1.18800,-1.18800,-1.18800,0.21000,-0.44600,3.72090,3.72090,-0.32000,-0.32000,0.15630,-1.04470,22.90340,22.90340,-123.62120,22.90340,-1.45910,-0.0974,-0.0974
2021-06-30,0.02500,0.31200,-0.33700,-0.60800,-0.94500,-0.94500,-0.94500,-0.94500,-0.33700,-0.33700,3.69980,3.69980,-0.26000,-0.26000,,,,,,,,-0.0725,-0.0725
2021-03-31,0.02900,0.13400,-0.16300,-0.04700,-0.21000,-0.21000,-0.21000,-0.21000,-0.16300,-0.16300,3.68480,3.68480,-0.06000,-0.06000,,,,,,,,-0.04210,-0.04210
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.1108,0.1108
2020-09-30,0.05700,0.21500,-0.27200,-0.06300,-0.33500,-0.33500,-0.33500,-0.33500,-0.27200,-0.27200,3.65440,3.65440,-0.09000,-0.09000,,,,,,,,-0.1108,-0.1108
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
