Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.43800,9.77900,-34.21700,4.16900,-30.04800,0.13800,-30.18600,-30.18600,-30.18600,-31.99000,-34.21700,322.03300,322.03300,-0.09000,-0.09000,15.23600,,,-9.76000,-9.79950,-8.62690,-9.76000,0.86490,-0.0702,-0.0748
2024-06-30,15.05700,9.57000,-24.62700,4.82600,-19.80100,0.09600,-19.89700,-19.89700,-19.89700,-22.68200,-24.62700,320.83400,320.83400,-0.06000,-0.06000,22.21940,,,-6.00080,-6.02410,-5.40130,-6.00080,0.93160,-0.0686,-0.08
2024-03-31,11.76500,9.50600,-21.27100,5.91100,-15.36000,0.19700,-15.55700,-15.55700,-15.55700,-19.55000,-21.27100,318.79100,318.79100,-0.05000,-0.05000,23.46070,,,-4.47830,-4.49530,-4.03150,-4.47830,0.98240,-0.02820,-0.04940
2023-12-31,7.36700,10.55100,-17.91800,5.63400,-12.28400,-1.53100,-10.75300,-10.75300,-10.75300,-16.30500,-17.91800,315.05200,315.05200,-0.04000,-0.04000,17.12730,,,-2.99570,-3.00690,-2.64320,-2.99570,1.01360,-0.04,-0.0511
2023-09-30,8.47200,10.88500,-19.35700,6.09200,-13.26500,0.20800,-13.47300,-13.47300,-13.47300,-17.74600,-19.35700,315.62700,315.62700,-0.04000,-0.04000,22.28450,,,-3.70420,-3.71830,-3.34110,-3.70420,1.03410,-0.041,-0.0551
2023-06-30,6.34700,12.92400,-19.27100,6.65000,-12.62100,0.32700,-12.94800,-12.94800,-12.94800,-18.01400,-19.27100,314.57800,314.57800,-0.04000,-0.04000,22.26520,,,-3.45690,-3.47000,-3.09770,-3.45690,1.06650,-0.049,-0.0547
2023-03-31,8.48900,13.12300,-21.61200,5.52900,-16.08300,0.14300,-16.22600,-16.22600,-16.22600,-20.55200,-21.61200,313.42200,313.42200,-0.05000,-0.05000,22.31590,,,-4.24400,-4.26010,-3.79220,-4.24400,1.09300,-0.04910,-0.06820
2022-12-31,8.28700,11.30100,-19.58800,11.88600,-7.70200,0.94500,-8.64700,-8.64700,-8.64700,-18.57200,-19.58800,288.30500,288.30500,-0.01000,-0.01000,20.49080,,,-2.20850,-2.21680,-1.96330,-2.20850,1.11960,-0.04,-0.0566
2022-09-30,8.42100,13.30800,-21.72900,-2.47800,-24.20700,0.12100,-24.32800,-24.32800,-24.32800,-21.13500,-21.72900,311.68100,311.68100,-0.08000,-0.08000,23.75190,,,-6.17910,-6.20280,-5.50100,-6.17910,1.12560,-0.0306,-0.0324
2022-06-30,7.19200,11.86700,-19.05900,28.25200,9.19300,0.17800,9.01500,9.01500,9.01500,-18.48300,-19.05900,310.25600,310.25600,0.03000,0.03000,27.51900,,,2.18920,2.19740,1.98740,2.18920,1.18260,-0.0231,-0.0439
2022-03-31,4.06700,15.13000,-19.19700,-7.82500,-27.02200,0.01100,-27.03300,-27.03300,-27.03300,-18.78700,-19.19700,219.18000,219.18000,-0.12000,-0.12000,15.93310,,,-6.88900,-6.91920,-5.69820,-6.88900,1.12800,-0.06760,-0.07920
2021-12-31,5.33900,4.98300,-10.32200,-0.08100,-10.40300,0.00300,-10.40600,-10.40600,-10.40600,-9.95800,-10.32200,61.08900,61.08900,-0.17000,-0.17000,15.47290,,,11.78190,11.56890,-5.38190,11.78190,-1.42130,-0.1984,-0.2798
2021-09-30,3.68400,7.00400,-10.68800,0.06600,-10.62200,0.00300,-10.62500,-10.62500,-10.62500,-10.27200,-10.68800,60.86100,60.86100,-0.17000,-0.17000,4.04240,-0.03120,-0.03030,30.22710,30.22710,-3.83480,31.17070,-5.09430,-0.0434,-0.0586
2021-06-30,3.50800,3.04900,-6.55700,-0.05300,-6.61000,0.01900,-6.62900,-6.62900,-6.62900,-6.11500,-6.55700,60.78200,60.78200,-0.11000,-0.11000,6.12770,0.11210,0.12630,-132.57990,-132.58000,-2.38910,-117.71780,0.44440,-0.1975,-0.2431
2021-03-31,2.98300,1.45600,-4.43900,0.84400,-3.59500,,-3.59500,-3.59500,-3.59500,-3.99900,-4.43900,60.78200,60.78200,-0.06000,-0.06000,6.47900,,,-71.90990,-71.89960,-1.29660,-71.90000,0.48980,-0.05160,-0.05600
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
2020-09-30,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
