Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,1380.40000,1380.40000,46.90000,1352.20100,-40.60060,0.30000,-40.30000,0.20000,-40.50000,-40.40000,-40.50000,-20.70060,-40.60060,501.51500,501.51500,-0.08000,-0.08000,0.93430,,100.00000,-2.94120,-2.94120,-2.91940,-2.93390,1.17180,18.90960,4.75950,-9.79630,-38.47620,-3.42950,-9.79630,0.80370,0.0625,0.0547
2024-09-30,1494.00000,1494.00000,47.50000,1427.70000,-3.39990,0.70000,-2.70000,-0.30000,-2.40000,-1.90000,-1.70000,17.20010,-3.39990,505.99300,505.99300,0.00000,0.00000,0.92240,,100.00000,-0.22760,-0.22760,-0.18070,-0.11380,1.24520,18.53600,4.85540,-0.44070,-1.66230,-0.15840,-0.44070,0.84930,0.0747,0.0655
2024-06-30,1700.60000,1700.60000,47.40000,1606.20000,21.29980,-0.20000,21.10000,-0.10000,21.20000,20.80000,20.70000,42.89980,21.29980,498.66500,509.88400,0.04000,0.04000,0.83070,,100.00000,1.25250,1.25250,1.24070,1.21720,1.39940,18.89560,4.76300,5.17800,27.58620,1.71170,5.17800,0.80150,0.0875,0.0788
2024-03-31,1054.10000,1054.10000,47.00000,1116.90000,-132.10010,-0.40000,-132.50000,-0.30000,-132.20000,-133.00000,-132.90000,-111.10010,-132.10010,490.00000,490.00000,-0.27000,-0.27000,0.80840,,100.00000,-12.53200,-12.53200,-12.57000,-12.60790,0.92070,13.41090,6.71090,-39.88010,-268.14510,-11.61670,-39.88010,0.67740,0.01760,0.01200
2023-12-31,1096.40000,1096.40000,44.40000,1110.80000,-82.99990,0.00000,-83.00000,0.10000,-83.10000,-83.80000,-83.70000,-61.39990,-83.00020,466.52300,466.52300,-0.18000,-0.18000,0.96410,,100.00000,-7.57020,-7.57020,-7.57020,-7.63410,0.94490,18.09240,4.97450,-19.39820,-57.95300,-7.22230,-19.39820,0.89090,-0.0827,-0.0878
2023-09-30,1337.40000,1337.40000,45.80000,1307.50000,-38.89980,-0.40000,-39.30000,-0.50000,-38.80000,-39.20000,-39.40000,-17.39980,-38.89980,470.94600,470.94600,-0.08000,-0.08000,1.05980,,100.00000,-2.90860,-2.90860,-2.93850,-2.94600,1.05840,17.76100,5.06730,-8.21110,-21.47950,-3.10220,-8.21110,0.99910,0.032,0.0263
2023-06-30,1494.00000,1494.00000,45.40000,1455.00000,-44.60000,-1.60000,-46.20000,,-46.20000,-46.90000,-47.80000,-22.10000,-44.60000,460.96000,460.96000,-0.10000,-0.10000,0.96710,0.33210,100.00000,-2.98530,-2.98530,-3.09240,-3.19950,1.04870,15.75950,5.71080,-10.38300,-29.04030,-3.29220,-10.38300,0.97560,0.1185,0.1131
2023-03-31,957.20000,957.20000,48.90000,1021.70000,-148.40000,-0.30000,-148.70000,,-148.70000,-150.20000,-150.40000,-123.30000,-148.40000,450.05700,450.05700,-0.33000,-0.33000,0.93670,0.48730,100.00000,-15.50360,-15.50360,-15.53490,-15.71250,0.63230,9.80740,9.17680,-32.53190,-91.97790,-9.92140,-32.53200,1.00610,-0.12330,-0.13110
2022-12-31,1107.20000,1107.20000,63.40000,1174.20000,-152.80070,0.00000,-152.80000,0.50000,-153.30000,-158.00000,-158.10000,-131.40070,-152.80030,428.16900,428.16900,-0.35000,-0.35000,1.00080,0.28810,100.00000,-13.80060,-13.80060,-13.80060,-14.27930,0.72220,13.92700,6.46220,-30.34380,-70.85200,-10.30590,-30.34380,1.18850,-0.2792,-0.3113
2022-09-30,1493.70000,1493.70000,81.50000,1514.00000,-151.80000,0.20000,-151.60000,,-151.60000,-154.10000,-154.20000,-130.60010,-151.80000,432.46000,432.46000,-0.36000,-0.36000,1.22050,,100.00000,-10.16270,-10.16270,-10.14930,-10.32340,0.94000,15.82310,5.68790,-24.01810,-45.94520,-9.69730,-24.01810,1.47810,-0.121,-0.1559
