Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.63700,2.37700,1.26000,1.69500,1.76000,-0.50000,-0.01300,-0.51300,-0.51300,-0.51300,-0.51300,-0.41000,-0.50000,14.74400,14.74400,-0.03000,-0.03000,1.39310,0.09720,0.23660,34.64390,-13.74760,-13.74760,-14.10500,-14.10500,0.96420,3.08700,2.14830,41.89440,-36.56460,-42.43180,-13.60020,-33.01160,0.09510,0.0005,-0.0034
2024-06-30,1.46400,0.95500,0.50900,1.45400,1.52000,-1.01100,,-1.01100,-1.01100,-1.01100,-1.01100,-0.94100,-1.01100,14.72200,14.72200,-0.07000,-0.07000,1.76750,,,34.76780,-69.05740,-69.05740,-69.05740,-69.05740,0.43950,0.62260,2.12170,42.41800,-60.32220,-68.96320,-30.35120,-60.32220,0.11380,-0.0522,-0.0525
2024-03-31,2.82900,1.65900,1.17000,1.55200,1.61900,-0.44900,,-0.44900,-0.44900,-0.44900,-0.44900,-0.37500,-0.44900,14.50090,14.50090,-0.03000,-0.03000,1.94970,,,41.35740,-15.87130,-15.87130,-15.87130,-15.87130,0.59580,1.29210,2.04110,44.09330,-17.70510,-19.43720,-9.45660,-17.70510,0.17230,-0.05300,-0.05300
2023-12-31,1.92200,1.28000,0.64200,1.25500,1.36000,-0.71800,,-0.71700,-0.71700,-0.71700,-0.71700,-0.64000,-0.71800,13.35900,13.35900,-0.04000,-0.04000,1.80020,,,33.40270,-37.35690,-37.35690,-37.30490,-37.30490,0.39960,1.05440,1.95920,45.93650,-28.64570,-31.69760,-14.90650,-28.64560,0.17360,-0.0687,-0.0687
2023-09-30,2.60300,1.69000,0.91300,1.27400,1.38800,-0.47500,-0.00100,-0.47600,-0.47600,-0.47600,-0.47600,-0.35500,-0.47500,13.03600,13.03600,-0.04000,-0.04000,1.20340,,,35.07490,-18.24820,-18.24820,-18.28660,-18.28660,0.65850,2.25940,2.04160,44.08380,-36.81360,-45.99040,-12.04150,-36.81360,0.09870,0.0049,0.0049
2023-06-30,1.51100,1.03700,0.47400,1.11800,1.21600,-0.74200,,-0.74200,-0.74200,-0.74200,-0.74200,-0.62300,-0.74200,13.00300,13.00300,-0.06000,-0.06000,1.28600,,,31.37000,-49.10660,-49.10660,-49.10660,-49.10660,0.44440,1.06910,3.21490,27.99470,-50.71770,-62.45790,-21.82350,-50.71770,0.11250,-0.0633,-0.0633
2023-03-31,2.09100,1.23600,0.85500,1.66100,1.74400,-0.88900,,-0.88900,-0.88900,-0.88900,-0.88900,-0.80300,-0.88900,12.97700,12.97700,-0.07000,-0.07000,1.53580,,,40.88950,-42.51550,-42.51550,-42.51550,-42.51550,0.50050,1.17160,3.59280,25.05020,-48.18430,-57.20720,-21.27810,-48.18430,0.14190,-0.09430,-0.09430
2022-12-31,1.43100,0.91500,0.51600,1.53600,2.35200,-1.83600,,-1.83600,-1.83600,-1.83600,-1.83600,-1.73600,-1.83600,12.92400,12.92400,-0.13000,-0.13000,1.70020,,,36.05870,-128.30200,-128.30200,-128.30200,-128.30190,0.25990,0.87310,6.30400,14.27670,-62.59810,-69.88960,-33.35150,-62.59810,0.22670,-0.0024,-0.0024
2022-09-30,2.40600,3.12900,-0.72300,1.87300,1.96400,-2.68700,,-2.68700,-2.68700,-2.68700,-2.68700,-2.58700,-2.68700,12.93100,12.93100,-0.21000,-0.21000,2.09720,,,-30.04990,-111.67910,-111.67910,-111.67910,-111.67910,0.36380,5.19770,1.97370,45.59850,-63.58260,-68.84450,-40.63210,-63.58260,0.32670,-0.0536,-0.0536
2022-06-30,2.79900,1.91600,0.88300,1.50300,1.59900,-0.71600,,-0.71600,-0.71600,-0.71600,-0.71600,-0.63300,-0.71600,12.91500,12.91500,-0.06000,-0.06000,3.83700,,,31.54700,-25.58060,-25.58060,-25.58060,-25.58060,0.32920,1.22040,2.00930,44.79100,-10.62160,-11.18400,-8.42150,-10.62160,0.52170,-0.0612,-0.0611
