Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,72.23200,9.47100,-81.70300,8.99800,-72.70500,-72.70500,-72.70500,-72.70500,-85.27500,-81.70300,69.44200,69.44200,-1.05000,-1.05000,17.25270,0.04570,0.04780,-9.84730,-9.84730,-8.89310,-9.39760,10.60580,-1.0087,-7.2919
2024-06-30,55.32200,10.41900,-65.74100,9.75400,-55.98700,-55.98700,-55.98700,-55.98700,-69.03000,-65.74100,69.16000,69.16000,-0.81000,-0.81000,24.89290,0.04220,0.04400,-7.01530,-7.01530,-6.47220,-6.71960,11.53180,-0.7463,-0.7463
2024-03-31,50.65000,9.30400,-59.95400,6.61000,-53.34400,-53.34400,-53.34400,-53.34400,-62.76300,-59.95400,59.30780,59.30780,-0.90000,-0.90000,30.11600,0.03970,0.04130,-6.30360,-6.30360,-5.84760,-6.05330,12.23830,-0.59250,-0.59250
2023-12-31,53.39200,8.48100,-61.87300,6.68700,-55.18600,-55.18600,-55.18600,-55.18600,-65.39700,-61.87300,52.56800,52.56800,-1.03000,-1.03000,29.27450,0.04460,0.04670,-10.30930,-10.30930,-9.51040,-9.84890,9.60120,-1.0258,5.7156
2023-09-30,38.63400,7.98100,-46.61500,6.95600,-39.65900,-39.65900,-39.65900,-39.65900,-49.76300,-46.61500,55.61300,55.61300,-0.71000,-0.71000,20.24740,0.03770,0.04280,-6.80100,-6.80100,-6.24230,-6.54440,10.47280,-0.8329,-7.5743
2023-06-30,27.98500,7.64400,-35.62900,4.54600,-31.08300,-31.08300,-31.08300,-31.08300,-36.87700,-35.62900,51.86800,51.86800,-0.60000,-0.60000,29.77520,0.03870,0.04030,-5.04240,-5.04240,-4.68250,-4.84730,11.09740,-0.3819,-0.3819
2023-03-31,21.78700,6.96600,-28.75300,2.92200,-25.83100,-25.83100,-25.83100,-25.83100,-29.91000,-28.75300,46.94410,46.94410,-0.55000,-0.55000,20.83520,0.07480,0.08090,-8.43200,-8.43200,-7.40530,-7.80100,6.52090,-0.52470,-0.52470
2022-12-31,18.32000,7.10000,-25.42000,2.36100,-23.05900,-23.05900,-23.05900,-23.05900,-25.51000,-25.42000,38.98500,38.98500,-0.44000,-0.44000,18.61200,0.02930,0.03020,-7.06110,-7.06110,-6.46690,-6.85450,6.96810,-0.6399,-0.6399
2022-09-30,25.08700,11.00400,-36.09100,0.54900,-35.54200,-35.54200,-35.54200,-35.54200,-35.98500,-36.09100,38.66300,38.66300,-0.92000,-0.92000,14.97230,0.02700,0.02770,-10.34680,-10.34680,-9.36780,-10.06780,7.36240,-0.5353,-0.5353
2022-06-30,21.36300,6.23100,-27.59400,0.19100,-27.40300,-27.40300,-27.40300,-27.40300,-27.52100,-27.59400,35.38400,35.38400,-0.77000,-0.77000,6.89770,0.05960,0.06340,-18.46910,-18.46910,-14.75860,-17.36800,3.94920,-0.5444,-0.5444
2022-03-31,20.51400,5.53700,-26.05100,0.02200,-26.02900,-26.02900,-26.02900,-26.02900,-25.90500,-26.05100,35.00550,35.00550,-0.74000,-0.74000,7.59990,,,-17.76300,-17.76300,-15.32140,-17.76300,4.18400,-0.65350,-0.65350
2021-12-31,27.71100,4.72800,-32.43900,0.01500,-32.42400,-32.42400,-32.42400,-32.42400,-32.06700,-32.43900,34.82700,34.82700,-0.93000,-0.93000,7.70380,,,-19.17340,-19.17340,-16.58110,-19.17340,4.84540,-0.768,-0.768
2021-09-30,19.47000,4.88300,-24.35300,0.02300,-24.33000,-24.33000,-24.33000,-24.33000,-23.94200,-24.35300,34.86200,34.86200,-0.70000,-0.70000,9.42260,,,-12.24900,-12.24900,-10.88430,-12.24900,5.69540,-0.4175,-0.4175
2021-06-30,23.97600,4.99000,-28.96600,0.03300,-28.93300,-28.93300,-28.93300,-28.93300,-28.77400,-28.96600,34.81460,34.81460,-0.83000,-0.83000,14.35220,,,-13.14340,-13.14340,-12.15630,-13.14340,6.31820,-0.5744,-0.5744
2021-03-31,10.60200,4.52600,-15.12800,0.03800,-15.09000,-15.09000,-15.09000,-15.09000,-14.99600,-15.12800,34.74400,34.74400,-0.43000,-0.43000,25.23440,,,-6.13360,-6.13360,-5.85740,-6.13360,7.07560,-0.52800,-0.52800
2020-12-31,25.70900,4.07400,-29.78300,0.07200,-29.71100,-29.71100,-29.71100,-29.71100,-29.64800,-29.78300,31.46300,31.46300,-0.90000,-0.90000,20.69600,,,-11.48420,-11.48420,-10.86970,-11.48420,7.44670,-0.8561,-0.8566
2020-09-30,17.37900,4.15900,-21.53800,0.13500,-21.40300,-21.40300,-21.40300,-21.40300,-21.51100,-21.53800,34.00300,34.00300,-0.63000,-0.63000,24.80710,,,-7.47160,-7.47160,-7.13350,-7.47160,8.25030,-0.2091,-0.2133
2020-06-30,13.03700,3.41700,-16.45400,0.24700,-16.20700,-16.20700,-16.20700,-16.20700,-16.41300,-16.45400,28.60300,28.60300,-0.57000,-0.57000,10.89130,,,-15.63430,-15.63430,-14.20940,-15.63430,3.61400,-0.7881,-0.7881
2020-03-31,8.79100,3.58800,-12.37900,0.49300,-11.88600,-11.88600,-11.88600,-11.88600,-12.48200,-12.37900,28.49900,28.49900,-0.42000,-0.42000,15.23270,,,-10.04540,-10.04540,-9.38710,-10.04540,4.12690,-0.39710,-0.39710
2019-12-31,13.13800,3.08300,-16.22100,0.61000,-15.61100,-15.61100,-15.61100,-15.61100,-16.22100,-16.22100,15.07100,15.07100,31.77000,31.77000,14.73470,,,-12.12730,-12.12730,-11.30270,-12.12730,4.50600,-1.5083,-1.5083
2019-09-30,13.88500,2.42400,-16.30900,0.75500,-15.55400,-15.55400,-15.55400,-15.55400,-16.30900,-16.30900,28.02500,28.02500,-0.56000,-0.56000,22.31570,,,-10.84780,-10.84780,-10.35950,-10.84780,5.02060,2.4388,2.4388
2019-06-30,5.96000,1.64900,-7.60900,0.38100,-7.22800,-7.22800,-7.22800,-7.22800,-7.60900,-7.60900,3.26800,3.26800,-2.21000,-2.21000,34.41100,,,-4.56340,-4.56340,-4.42980,-4.56340,5.54680,29.0967,29.0967
