Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,528.44400,246.57700,281.86700,227.76400,-1.49200,240.28700,41.58000,-28.07100,13.50900,4.54000,8.96900,,8.96900,,8.92800,98.46190,41.58000,44.25000,44.80600,0.20000,0.20000,0.91790,0.70430,2.49970,53.33910,7.86840,7.86840,2.55640,1.68950,0.20150,6.22640,2.61370,34.43410,1.46390,-0.78060,0.34190,0.43280,13.83910,1.5115,1.0423
2024-06-30,537.81600,249.02600,288.79000,233.81800,15.40100,229.48100,59.30900,-28.41100,30.89800,10.40100,20.49700,,20.49700,,20.45900,113.30300,59.30900,44.16200,44.68600,0.46000,0.46000,0.96780,0.70940,2.51090,53.69680,11.02780,11.02780,5.74510,3.80410,0.20170,6.54850,2.60910,34.49520,3.30340,-1.75510,0.76870,0.95990,14.03470,0.8842,0.2556
2024-03-31,534.95500,251.41800,283.53700,234.09300,8.58100,239.31600,44.22100,-27.86900,16.35200,5.52200,10.83000,,10.83000,,10.80300,98.26700,44.22100,43.91700,44.48700,0.25000,0.24000,0.96760,0.71660,2.56430,53.00200,8.26630,8.26630,3.05670,2.01940,0.19610,6.50250,2.63250,34.18860,1.78010,-0.90540,0.39690,0.50440,13.81270,0.59770,0.13820
2023-12-31,537.36500,253.84000,283.52500,229.18800,14.80300,232.56320,50.96180,-31.57400,19.38800,4.38500,15.00300,,15.00300,,14.98500,107.81980,50.96190,43.55300,43.84300,0.34000,0.34000,0.92910,0.71360,2.63450,52.76210,9.48360,9.48370,3.60800,2.78860,0.17440,6.03120,2.47510,36.36280,2.48140,-1.23210,0.48700,0.71060,13.82200,1.8928,1.4457
2023-09-30,537.84400,255.12700,282.71700,233.89100,-4.32400,261.15000,21.56700,-30.71800,-9.15100,-1.19400,-7.95700,,-7.95700,,-7.99200,72.75400,21.56700,43.66300,43.66300,-0.18000,-0.18000,0.91360,0.72070,2.72350,52.56490,4.00990,4.00990,-1.70140,-1.48590,0.18640,5.17930,2.23480,40.27150,-1.32750,0.64070,-0.27580,-0.37080,13.71880,1.5495,0.9768
2023-06-30,571.68600,269.94700,301.73900,245.35900,21.94200,247.60790,54.13100,-31.10800,23.02300,6.62200,16.40100,,16.40100,,16.37500,109.60100,54.13100,43.52400,43.74000,0.38000,0.37000,0.96070,0.72040,2.71700,52.78060,9.46870,9.46870,4.02720,2.86430,0.19560,4.91720,2.29130,39.27900,2.67280,-1.31520,0.56110,0.74730,14.06990,1.2358,0.5422
2023-03-31,545.36500,250.66300,294.70200,247.63000,,260.57100,34.13100,-27.59200,6.53900,3.75900,2.78000,,2.78000,,2.75200,89.43200,34.13100,43.31700,43.66100,0.06000,0.06000,0.95790,0.72970,2.83170,54.03760,6.25840,6.25840,1.19900,0.50460,0.18540,4.64850,2.11520,42.54830,0.46670,-0.21880,0.09450,0.12620,13.71800,-0.15360,-0.73810
2022-12-31,564.00390,262.58500,301.41890,240.10900,0.00000,256.02380,45.39510,-27.08900,18.30600,-0.68700,18.99300,,18.99300,,18.99000,108.44810,45.39510,43.02500,43.31000,0.44000,0.44000,0.93580,0.72240,2.72130,53.44270,8.04870,8.04870,3.24570,3.36700,0.18330,5.02390,2.29850,39.15580,3.14340,-1.47670,0.61740,0.87250,13.98540,1.5753,0.8546
2022-09-30,555.03800,256.22500,298.81300,243.81600,1.80400,257.20000,41.61300,-20.72400,20.88900,6.12900,14.76000,,14.76000,,14.71500,93.00400,41.61300,43.11600,43.35000,0.34000,0.34000,0.93950,0.72740,2.77540,53.83650,7.49730,7.49730,3.76350,2.65120,0.18770,5.66260,2.37700,37.86240,2.45150,-1.13070,0.49910,0.66830,13.95750,1.1793,0.5302
2022-06-30,562.95300,264.11200,298.84100,249.62600,17.52700,247.28100,51.56000,-18.93500,32.62500,10.52800,22.09700,,22.09700,,22.04600,104.85400,51.56000,43.01600,43.28500,0.51000,0.50000,0.95140,0.73060,2.80770,53.08450,9.15880,9.15880,5.79530,3.91610,0.19150,7.04200,2.52350,35.66500,3.70260,-1.68020,0.75150,0.99750,13.85310,0.8751,0.312
2022-03-31,556.01500,249.19400,306.82100,259.69900,,275.94300,30.87800,-18.32000,12.55800,2.87800,9.68000,,9.68000,,9.64400,81.39900,30.87800,42.80300,43.23200,0.23000,0.22000,0.92310,0.73850,2.92290,55.18220,5.55340,5.55340,2.25860,1.73450,0.18820,7.21740,2.55020,35.29070,1.67180,-0.71670,0.32770,0.43720,13.48960,0.79260,0.31040
2021-12-31,570.57600,255.03500,315.54100,255.42790,,272.16590,43.37520,-19.24700,24.12800,10.31100,13.81700,,13.81700,,13.80600,103.55120,43.37510,42.37800,42.82700,0.32000,0.32000,0.90800,0.73890,2.92890,55.30220,7.60200,7.60200,4.22870,2.41970,0.18560,7.30170,2.49880,36.01730,2.40460,-1.01130,0.44940,0.62790,13.46330,1.4547,0.7905
2021-09-30,532.14100,244.15100,287.99000,239.25100,,251.58600,36.40400,-19.21200,17.19200,4.69100,12.50100,,12.50100,,12.46400,86.59700,36.40400,42.57400,43.03100,0.29000,0.28000,1.04930,0.75500,3.18390,54.11910,6.84100,6.84100,3.23070,2.34220,0.17700,6.90570,2.46660,36.48690,2.24090,-0.89710,0.41580,0.54900,13.09510,1.506,0.713
2021-06-30,478.21600,206.57500,271.64100,233.90800,,245.27200,26.36900,-7.40100,18.96800,6.83900,12.12900,,12.12900,,12.09000,67.31000,26.36900,42.27500,42.71900,0.29000,0.28000,1.14440,0.76280,3.31980,56.80300,5.51400,5.51400,3.96640,2.52810,0.15850,6.20960,2.33320,38.57300,2.19620,-0.86110,0.40200,0.52090,12.98330,1.0307,0.4493
2021-03-31,441.26400,178.50900,262.75500,212.43600,,226.74900,36.00600,-2.49100,33.51500,9.19000,24.32500,,24.32500,,24.27300,71.22600,36.00600,42.04600,42.50400,0.58000,0.57000,1.24700,0.60050,1.50320,59.54600,8.15970,8.15970,7.59520,5.50080,0.23310,4.80910,2.63910,34.10240,4.35290,-5.62820,1.28480,1.73900,13.27240,0.93120,0.42140
2020-12-31,454.49200,191.97800,262.51400,205.16700,-5.62200,229.70600,32.80810,-4.15400,28.65400,7.51000,21.14400,,21.14400,,21.10400,68.04510,32.80800,41.93100,42.14200,0.49000,0.51000,1.23020,0.62070,1.63620,57.75990,7.21860,7.21860,6.30460,4.64340,0.24670,4.78390,2.53090,35.56020,4.11850,-4.84590,1.14780,1.56230,12.23150,1.1899,0.7205
2020-09-30,439.46100,174.46100,265.00000,198.87100,-2.76000,220.58000,44.42000,-2.88200,41.53800,12.09400,29.44400,,29.44400,,29.39300,79.94300,44.42000,41.87200,41.99100,0.70000,0.70000,1.78940,0.67030,2.03350,60.30110,10.10780,10.10780,9.45200,6.68840,0.21890,3.45390,2.62120,34.33530,5.75700,-6.39950,1.46690,1.89780,12.20830,1.3586,0.9873
2020-06-30,410.40500,162.28300,248.12200,198.57000,-4.88300,223.80700,24.31500,-4.36300,19.95200,5.07400,14.87800,,14.87800,,14.84600,58.07500,24.31500,41.79700,41.94800,0.36000,0.35000,1.99780,0.70140,2.34890,60.45780,5.92460,5.92460,4.86150,3.61740,0.19920,3.41470,2.48280,36.24930,3.06550,-3.08570,0.72220,0.91540,11.59570,1.9847,1.6782
2020-03-31,486.42300,202.04900,284.37400,237.20400,-90.33000,345.18800,-60.81400,-2.52700,-63.34100,-3.21000,-60.13100,,-60.13100,,-60.15200,-25.30700,-60.81400,42.02800,42.06500,-1.43000,-1.45000,1.91300,0.70630,2.40520,58.46230,-12.50230,-12.50230,-13.02180,-12.36620,0.23790,4.73390,2.52850,35.59440,-12.68680,11.96080,-2.94110,-3.72570,11.36860,0.62920,0.29000
2019-12-31,522.07100,207.06100,315.01000,225.90600,-30.11000,278.17510,36.83490,-6.35600,30.47900,9.53700,20.94200,,20.94200,,20.95100,73.63490,36.83490,43.02900,43.02900,0.61000,0.61000,1.15750,0.60750,1.54770,60.33860,7.05550,7.05550,5.83810,4.01310,0.26870,5.18680,2.66080,33.82490,3.66850,-4.10830,1.07760,1.43990,13.55130,1.771,1.3913
