Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2289.00000,2289.00000,1396.00000,-493.00000,-766.00000,-1228.00000,-1994.00000,-322.00000,-1672.00000,,-1672.00000,,-1675.00000,-650.00000,-766.00000,102.00000,102.00000,-16.44000,-16.44000,0.41220,0.70120,-33.46440,-33.46440,-87.11230,-73.17610,0.08430,-22.08720,62.57490,-6.15430,-12.98340,75.04630,4.7665,4.1368
2024-06-30,2265.00000,2265.00000,1397.00000,-536.00000,212.00000,-44.00000,168.00000,26.00000,142.00000,,142.00000,,141.00000,329.00000,212.00000,103.00000,103.00000,1.37000,1.36000,0.36050,0.56370,9.35980,9.35980,7.41720,6.22520,0.07650,1.50820,-5.32430,0.47940,0.96450,92.71570,3.9537,3.3074
2024-03-31,2341.00000,2341.00000,1342.00000,-582.00000,280.00000,-38.00000,242.00000,48.00000,194.00000,,194.00000,,190.00000,399.00000,280.00000,103.00000,104.00000,1.84000,1.83000,0.35680,0.62260,11.96070,11.96070,10.33750,8.11620,0.07740,2.02760,-7.52520,0.64160,1.30420,93.60840,0.23080,-0.34620
2023-12-31,2914.00000,2914.00000,1325.00000,-654.00000,779.00000,-40.00000,739.00000,116.00000,623.00000,,623.00000,,622.00000,897.00000,779.00000,105.00000,106.00000,5.94000,5.90000,0.32250,0.54380,26.73300,26.73300,25.36030,21.34520,0.10020,6.49430,-23.79680,2.14160,4.39970,93.55560,4.8506,4.3009
2023-09-30,2166.00000,2166.00000,1359.00000,-509.00000,159.00000,5.00000,164.00000,25.00000,139.00000,,139.00000,,136.00000,281.00000,159.00000,105.00000,105.00000,1.30000,1.29000,0.32490,0.54970,7.34070,7.34070,7.57160,6.27890,0.07840,1.46550,-5.10650,0.50320,0.98930,91.80130,3.8194,3.2169
2023-06-30,2159.00000,2159.00000,1347.00000,-526.00000,142.00000,-22.00000,120.00000,24.00000,96.00000,,96.00000,,94.00000,276.00000,142.00000,107.00000,107.00000,0.88000,0.88000,0.31610,0.55320,6.57710,6.57710,5.55810,4.35390,0.07500,0.97200,-3.88510,0.33360,0.66470,94.11780,2.778,2.212
2023-03-31,2244.00000,2244.00000,1313.00000,-512.00000,285.00000,-29.00000,256.00000,50.00000,206.00000,,206.00000,,203.00000,416.00000,285.00000,107.00000,108.00000,1.89000,1.88000,0.30530,0.46400,12.70050,12.70050,11.40820,9.04630,0.07030,2.02440,-9.24180,0.64560,1.40630,95.65440,1.24070,0.67590
2022-12-31,2722.00000,2722.00000,1263.00000,-586.00000,708.00000,29.00000,737.00000,131.00000,606.00000,,606.00000,-13.00000,588.00000,845.00000,708.00000,112.00000,112.00000,5.28000,5.26000,0.30700,0.46770,26.01030,26.01030,27.07570,21.60180,0.08570,6.00420,-25.75440,1.90750,4.16090,94.54270,3.3131,2.843
2022-09-30,1953.00000,1953.00000,1225.00000,-434.00000,154.00000,31.00000,185.00000,1.00000,184.00000,,184.00000,8.00000,190.00000,285.00000,154.00000,110.00000,111.00000,1.72000,1.72000,0.31080,0.47610,7.88530,7.88530,9.47260,9.72860,0.06300,1.85610,-7.38960,0.59370,1.27930,91.22780,1.6333,1.1124
2022-06-30,2031.00000,2031.00000,1259.00000,-431.00000,137.00000,42.00000,179.00000,19.00000,160.00000,,160.00000,-46.00000,109.00000,285.00000,137.00000,112.00000,112.00000,0.97000,0.97000,0.31180,0.45310,6.74540,6.74540,8.81340,5.36680,0.06250,1.53600,-7.44530,0.49220,1.05700,94.61740,2.1256,1.6851
2022-03-31,2160.00000,2160.00000,1318.00000,-506.00000,179.00000,-22.00000,157.00000,43.00000,114.00000,,114.00000,11.00000,122.00000,330.00000,179.00000,118.00000,118.00000,1.03000,1.03000,0.26410,0.41300,8.28700,8.28700,7.26850,5.64810,0.06580,1.02930,-7.05010,0.34710,0.75750,98.69620,0.17800,-0.21190
2021-12-31,2706.00000,2706.00000,1262.00000,-575.00000,690.00000,34.00000,724.00000,150.00000,574.00000,,574.00000,1833.00000,2402.00000,842.00000,690.00000,128.00000,129.00000,18.81000,18.75000,0.23000,0.34470,25.49890,25.49890,26.75540,88.76570,0.07740,4.31320,100.70180,1.64140,3.32140,109.03190,1.4263,1.0232
2021-09-30,1973.00000,1973.00000,1255.00000,567.00000,1131.00000,55.00000,1186.00000,267.00000,919.00000,,919.00000,-12.00000,903.00000,1285.00000,1131.00000,129.00000,129.00000,7.01000,6.99000,0.25880,0.40560,57.32390,57.32390,60.11150,45.76790,0.05290,8.03810,-65.92540,2.46500,5.95750,91.76060,11.735,11.3954
2021-06-30,2091.00000,2091.00000,1317.00000,-435.00000,170.00000,22.00000,192.00000,75.00000,117.00000,,117.00000,69.00000,184.00000,340.00000,170.00000,130.00000,130.00000,1.42000,1.41000,0.25430,0.43580,8.13010,8.13010,9.18220,8.79960,0.05460,0.99870,-5.66310,0.30570,0.74470,90.82240,3.8,3.3769
2021-03-31,2228.00000,2228.00000,1419.00000,-424.00000,211.00000,379.00000,590.00000,44.00000,546.00000,,546.00000,190.00000,733.00000,385.00000,211.00000,130.00000,130.00000,5.64000,5.63000,0.28580,0.44090,9.47040,9.47040,26.48120,32.89950,0.05770,4.71750,-23.84280,1.41330,3.36910,89.73900,-0.98460,-1.37690
2020-12-31,2139.00000,2139.00000,1162.00000,-501.00000,270.00000,12.00000,282.00000,54.00000,228.00000,,228.00000,255.00000,476.00000,454.00000,270.00000,130.00000,130.00000,3.66000,3.66000,0.29910,0.51550,12.62270,12.62270,13.18370,22.25340,0.05550,2.08560,-9.30990,0.59170,1.46190,84.76720,4.3693,3.9539
2020-09-30,1897.00000,1897.00000,1238.00000,-412.00000,66.00000,95.00000,161.00000,42.00000,119.00000,,119.00000,3.00000,121.00000,247.00000,66.00000,130.00000,130.00000,0.93000,0.93000,0.30410,0.52860,3.47920,3.47920,8.48710,6.37850,0.04990,1.12050,-3.27280,0.31290,0.77980,82.40800,4.0077,3.5154
2020-06-30,2113.00000,2113.00000,1363.00000,-401.00000,163.00000,14.00000,177.00000,75.00000,102.00000,,102.00000,,94.00000,349.00000,163.00000,129.00000,130.00000,0.73000,0.72000,0.32650,0.53490,7.71420,7.71420,8.37670,4.44870,0.05540,0.97550,-2.55190,0.26760,0.65700,81.20350,5.0923,4.4231
2020-03-31,2466.00000,2466.00000,1394.00000,-493.00000,360.00000,31.00000,391.00000,78.00000,313.00000,,313.00000,,305.00000,579.00000,360.00000,130.00000,130.00000,2.36000,2.34000,0.33260,0.56540,14.59850,14.59850,15.85560,12.36820,0.06540,3.01280,-7.57320,0.82960,2.01080,80.70630,0.17690,-0.44620
2019-12-31,2021.00000,2021.00000,1020.00000,-401.00000,412.00000,-13.00000,399.00000,72.00000,327.00000,,327.00000,,544.00000,602.00000,412.00000,130.00000,130.00000,4.20000,4.18000,0.33830,0.54170,20.38600,20.38600,19.74270,26.91740,0.05700,3.15360,-7.59930,0.92310,2.08680,80.57350,3.5462,2.8769
2019-09-30,1989.00000,1989.00000,1283.00000,-423.00000,107.00000,-7.00000,100.00000,20.00000,80.00000,,80.00000,,75.00000,283.00000,107.00000,130.00000,130.00000,0.58000,0.58000,0.34980,0.58640,5.37960,5.37960,5.02770,3.77070,0.05570,0.79990,-1.68530,0.22410,0.52010,77.80030,2.4384,1.9461
2019-06-30,2048.00000,2048.00000,1278.00000,-412.00000,176.00000,11.00000,187.00000,38.00000,149.00000,,149.00000,,138.00000,358.00000,176.00000,130.00000,130.00000,1.06000,1.06000,0.29570,0.43820,8.59380,8.59380,9.13090,6.73830,0.05820,1.46020,-4.50830,0.42370,1.02840,78.97160,2.6923,2.077
2019-03-31,2312.00000,2312.00000,1348.00000,-424.00000,359.00000,1.00000,360.00000,67.00000,293.00000,,293.00000,,287.00000,540.00000,359.00000,130.00000,130.00000,2.21000,2.20000,0.30670,0.46060,15.52770,15.52770,15.57090,12.41350,0.06440,2.86860,-8.54480,0.81630,1.98890,79.04900,-0.36150,-0.93080
2018-12-31,2372.00000,2372.00000,1233.00000,-488.00000,470.00000,7.00000,477.00000,94.00000,383.00000,,383.00000,,378.00000,651.00000,470.00000,131.00000,132.00000,2.89000,2.89000,0.30560,0.45880,19.81450,19.81450,20.10960,15.93590,0.07320,3.84110,-10.04720,1.18260,2.66710,77.34130,4.3334,3.7879
2018-09-30,1859.00000,1859.00000,1238.00000,-424.00000,17.00000,19.00000,36.00000,-10.00000,46.00000,,46.00000,,44.00000,198.00000,17.00000,131.00000,132.00000,0.34000,0.33000,0.30680,0.46090,0.91450,0.91450,1.93650,2.36690,0.05630,0.45260,-1.23560,0.13920,0.31380,78.22930,2.4543,1.8085
2018-06-30,1990.00000,1990.00000,1275.00000,-461.00000,63.00000,11.00000,74.00000,9.00000,65.00000,,65.00000,,58.00000,256.00000,63.00000,132.00000,133.00000,0.44000,0.44000,0.30720,0.45170,3.16580,3.16580,3.71860,2.91460,0.05820,0.62820,-1.76490,0.19000,0.43520,79.14790,2.8346,2.1729
2018-03-31,2292.00000,2292.00000,1377.00000,-466.00000,259.00000,5.00000,264.00000,43.00000,221.00000,,221.00000,,215.00000,451.00000,259.00000,133.00000,133.00000,1.62000,1.61000,0.29440,0.42510,11.30020,11.30020,11.51830,9.38050,0.06700,2.04590,-6.28910,0.64600,1.44360,81.57560,0.13530,-0.45110
2017-12-31,2078.00000,2078.00000,1291.00000,-468.00000,80.00000,,80.00000,-173.00000,253.00000,,253.00000,,245.00000,303.00000,80.00000,135.00000,136.00000,1.86000,1.84000,0.30270,0.44250,3.84990,3.84990,3.84990,11.79020,0.06400,2.46850,-6.09340,0.77950,1.72120,77.56170,2.4949,2.0224
2017-09-30,1852.00000,1852.00000,1212.00000,-440.00000,-26.00000,-9.00000,-35.00000,19.00000,-54.00000,,-54.00000,,-54.00000,172.00000,-26.00000,134.00000,134.00000,-0.40000,-0.40000,0.30950,0.45660,-1.40390,-1.40390,-1.88980,-2.91580,0.05740,-0.53860,1.19020,-0.16730,-0.37190,75.79210,1.5148,0.7513
2017-06-30,1953.00000,1953.00000,1211.00000,-454.00000,61.00000,-12.00000,49.00000,8.00000,41.00000,,41.00000,,33.00000,270.00000,61.00000,136.00000,137.00000,0.24000,0.24000,0.28290,0.40260,3.12340,3.12340,2.50900,1.68970,0.05960,0.39470,-0.95840,0.12510,0.28310,77.16190,1.6401,1.0959
2017-03-31,2319.00000,2319.00000,1253.00000,-441.00000,401.00000,-3.00000,398.00000,46.00000,352.00000,,352.00000,,344.00000,604.00000,401.00000,137.00000,138.00000,2.51000,2.50000,0.27640,0.39360,17.29190,17.29190,17.16260,14.83400,0.07190,3.38330,-8.21850,1.09210,2.44800,76.82030,0.68840,0.13040
2016-12-31,1927.00000,1927.00000,1333.00000,-437.00000,-115.00000,158.00000,43.00000,-107.00000,150.00000,,148.00000,,142.00000,79.00000,-115.00000,137.00000,138.00000,1.02000,1.01000,0.24790,0.37960,-5.96780,-5.96780,2.23140,7.36900,0.06370,1.45340,-3.21880,0.48920,1.09310,74.71190,2.2609,1.616
2016-09-30,1777.00000,1777.00000,1119.00000,-406.00000,1.00000,-59.00000,-58.00000,-26.00000,-32.00000,1.00000,-31.00000,,-32.00000,203.00000,1.00000,138.00000,138.00000,-0.23000,-0.23000,0.23060,0.34730,0.05630,0.05630,-3.26390,-1.80080,0.05590,-0.28440,0.74320,-0.09750,-0.21880,79.45970,1.3857,0.7849
2016-06-30,1949.00000,1949.00000,1201.00000,-402.00000,136.00000,-41.00000,95.00000,19.00000,76.00000,,76.00000,,72.00000,305.00000,136.00000,139.00000,140.00000,0.52000,0.51000,0.22680,0.34050,6.97790,6.97790,4.87430,3.69420,0.06010,0.67930,-1.87560,0.23450,0.52530,80.85570,2.2393,1.7674
2016-03-31,2234.00000,2234.00000,1196.00000,-483.00000,326.00000,-64.00000,262.00000,18.00000,244.00000,1.00000,245.00000,,238.00000,530.00000,326.00000,135.00000,136.00000,1.76000,1.75000,0.19660,0.34600,14.59270,14.59270,11.72780,10.65350,0.06760,2.16740,-5.75250,0.74180,1.74120,81.68750,0.87500,0.38970
2015-12-31,974.00000,974.00000,605.00000,-286.00000,2.00000,-10.00000,-8.00000,4.00000,-12.00000,-6.00000,-18.00000,,-24.00000,50.00000,2.00000,68.00000,69.00000,-0.35000,-0.34000,0.49120,1.38390,0.20530,0.20530,-0.82140,-2.46410,0.05170,-0.76270,0.72230,-0.09550,-0.38810,34.38980,1.8985,1.2319
2015-09-30,846.00000,846.00000,570.00000,-177.00000,27.00000,-26.00000,1.00000,-112.00000,113.00000,3.00000,116.00000,,117.00000,75.00000,27.00000,68.00000,69.00000,1.72000,1.70000,0.47490,1.03420,3.19150,3.19150,0.11820,13.82980,0.04750,4.66610,-8.72840,0.65120,2.45040,36.59590,1.5363,0.7681
2015-06-30,922.00000,922.00000,561.00000,-179.00000,105.00000,-12.00000,93.00000,19.00000,74.00000,-2.00000,72.00000,,70.00000,144.00000,105.00000,68.00000,69.00000,1.03000,1.01000,0.45190,1.01250,11.38830,11.38830,10.08680,7.59220,0.05030,2.89270,-5.61180,0.39300,1.58560,36.70940,1.0289,0.5942
2015-03-31,1087.00000,1087.00000,567.00000,-160.00000,293.00000,-39.00000,254.00000,56.00000,198.00000,16.00000,214.00000,,210.00000,329.00000,293.00000,68.00000,69.00000,3.09000,3.04000,0.47940,0.99310,26.95490,26.95490,23.36710,19.31920,0.06750,9.22020,-21.70390,1.32880,4.80040,34.24500,-0.92750,-1.17390
2014-12-31,958.00000,958.00000,600.00000,-165.00000,139.00000,-16.00000,123.00000,35.00000,88.00000,-5.00000,83.00000,,76.00000,169.00000,139.00000,67.00000,68.00000,1.18810,1.16110,0.51490,1.14450,14.50940,14.50940,12.83930,7.93320,0.06210,4.13550,-6.01450,0.53820,2.00630,29.76860,2.8328,2.317
2014-09-30,812.00000,812.00000,569.00000,-156.00000,34.00000,-43.00000,-9.00000,2.00000,-11.00000,3.00000,-8.00000,,-7.00000,73.00000,34.00000,67.19500,67.19500,-0.10600,-0.10600,0.48590,1.01760,4.18720,4.18720,-1.10840,-0.86210,0.05340,-0.35200,0.92920,-0.05260,-0.18100,33.95470,1.9695,1.5804
2014-06-30,935.00000,935.00000,575.00000,-173.00000,148.00000,-38.00000,110.00000,59.00000,51.00000,-3.00000,48.00000,,47.00000,187.00000,148.00000,67.57250,68.70500,0.68870,0.68870,0.48320,0.94110,15.82890,15.82890,11.76470,5.02670,0.05650,1.94960,-6.25000,0.29000,1.00760,36.46610,2.1396,1.6884
2014-03-31,1097.00000,1097.00000,570.00000,-165.00000,326.00000,-32.00000,294.00000,63.00000,231.00000,19.00000,250.00000,,246.00000,364.00000,326.00000,67.57250,68.70500,3.62910,3.57620,0.48270,0.93930,29.71740,29.71740,26.80040,22.42480,0.06930,10.11330,-35.61250,1.57950,5.23120,36.54150,0.07280,-0.23290
2013-12-31,919.00000,919.00000,569.00000,-166.00000,145.00000,-26.00000,119.00000,34.00000,85.00000,,74.00000,,68.00000,185.00000,145.00000,66.00000,68.00000,0.98040,0.92640,0.50750,1.03700,15.77800,15.77800,12.94890,7.39930,0.06210,3.29920,-7.80590,0.50000,1.62490,33.22720,2.7724,2.3345
2013-09-30,795.00000,795.00000,541.00000,-149.00000,70.00000,-85.00000,-15.00000,11.00000,-26.00000,-1.00000,-27.00000,,-27.00000,107.00000,70.00000,66.81750,66.81750,-0.40410,-0.40410,0.53070,1.13920,8.80500,8.80500,-1.88680,-3.39620,0.05190,-1.31900,2.32760,-0.17620,-0.61900,30.59200,3.4388,3.046
2013-06-30,890.00000,890.00000,529.00000,-159.00000,167.00000,-28.00000,139.00000,29.00000,110.00000,-3.00000,107.00000,,105.00000,203.00000,167.00000,66.06250,67.19500,1.58940,1.56290,0.53770,1.17150,18.76400,18.76400,15.61800,11.79780,0.05580,5.35000,-8.90180,0.67140,2.47340,30.23450,1.4518,1.0979
2013-03-31,1051.00000,1051.00000,568.00000,-162.00000,281.00000,-25.00000,256.00000,48.00000,208.00000,15.00000,223.00000,,219.00000,323.00000,281.00000,65.30750,66.44000,3.36420,3.28480,0.55770,1.26890,26.73640,26.73640,24.35780,20.83730,0.06650,11.78020,-17.30020,1.41120,5.21030,28.84720,0.58700,0.30100
2012-12-31,871.00000,871.00000,967.00000,-168.00000,-791.00000,-15.00000,-806.00000,-13.00000,-793.00000,-7.00000,-800.00000,,-805.00000,-505.00000,-791.00000,65.30750,65.30750,-12.29140,-12.23840,0.57540,1.36410,-90.81520,-90.81520,-92.53730,-92.42250,0.05760,-46.37680,53.79960,-5.29380,-19.68990,26.39230,3.3464,2.703
2012-09-30,754.00000,754.00000,502.00000,-147.00000,70.00000,-32.00000,38.00000,10.00000,28.00000,-2.00000,26.00000,,26.00000,154.00000,70.00000,65.30750,66.06250,0.39740,0.39740,0.46700,0.88180,9.28380,9.28380,5.03980,3.44830,0.04430,0.96370,-2.63960,0.15290,0.51360,41.39430,2.3144,1.8402
2012-06-30,842.00000,842.00000,500.00000,-129.00000,179.00000,-33.00000,146.00000,36.00000,110.00000,-1.00000,109.00000,1.00000,108.00000,267.00000,179.00000,65.30750,66.44000,1.64240,1.61590,0.46930,0.88930,21.25890,21.25890,17.33970,12.82660,0.04780,4.02070,-11.14520,0.61900,2.13390,41.46290,1.4449,1.0686
2012-03-31,1013.00000,1013.00000,506.00000,-156.00000,317.00000,-32.00000,285.00000,68.00000,217.00000,15.00000,232.00000,,225.00000,413.00000,317.00000,65.68500,66.44000,3.41720,3.39070,0.47380,0.90680,31.29320,31.29320,28.13430,22.21130,0.05930,8.57990,-22.97030,1.35740,4.51450,41.24920,0.93320,0.43650
2011-12-31,819.00000,819.00000,510.00000,-194.00000,81.00000,-44.00000,37.00000,-2.00000,39.00000,-11.00000,28.00000,1.00000,25.00000,164.00000,81.00000,65.30750,66.44000,0.37090,0.37090,0.48330,0.94120,9.89010,9.89010,4.51770,3.05250,0.05210,1.11240,-2.33720,0.17800,0.57480,38.36690,2.5136,1.9567
2011-09-30,760.00000,760.00000,489.00000,-146.00000,90.00000,-38.00000,52.00000,2.00000,50.00000,10.00000,60.00000,0.00000,60.00000,173.00000,90.00000,65.30750,66.44000,0.92720,0.90070,0.45680,0.88300,11.84210,11.84210,6.84210,7.89470,0.04570,2.20830,-5.88240,0.36110,1.19950,41.63420,2.1975,1.9115
2011-06-30,861.00000,861.00000,505.00000,-164.00000,156.00000,-34.00000,122.00000,31.00000,91.00000,-3.00000,88.00000,1.00000,85.00000,236.00000,156.00000,64.93000,66.44000,1.29800,1.27150,0.45720,0.88390,18.11850,18.11850,14.16960,9.87220,0.04800,3.21290,-8.46970,0.49050,1.74400,41.96360,1.7898,1.4318
2011-03-31,1007.00000,1007.00000,583.00000,-148.00000,239.00000,-211.00000,28.00000,1.00000,27.00000,16.00000,43.00000,-1.00000,34.00000,320.00000,239.00000,64.55250,65.68500,0.52980,0.52980,0.47680,0.96550,23.73390,23.73390,2.78050,3.37640,0.05840,1.61110,-3.83930,0.24940,0.84300,41.18440,0.10660,-0.16750
2010-12-31,828.00000,828.00000,464.00000,-151.00000,177.00000,-42.00000,135.00000,28.00000,107.00000,-4.00000,103.00000,,98.00000,332.00000,177.00000,64.17500,64.55250,1.50990,1.50990,0.45270,0.86920,21.37680,21.37680,16.30440,11.83580,0.05220,3.94940,-8.74360,0.64980,2.16160,40.43810,3.7334,3.4236
2010-09-30,733.00000,733.00000,462.00000,-129.00000,106.00000,-40.00000,66.00000,10.00000,56.00000,9.00000,65.00000,,64.00000,142.00000,106.00000,64.17500,64.55250,1.00660,0.98010,0.46850,0.92550,14.46110,14.46110,9.00410,8.73120,0.04650,2.60210,-5.06230,0.41260,1.38300,38.80930,1.4561,1.2703
2010-06-30,799.00000,799.00000,456.00000,-137.00000,169.00000,-41.00000,128.00000,35.00000,93.00000,-2.00000,91.00000,,89.00000,206.00000,169.00000,64.17500,64.55250,1.37750,1.37750,0.47000,0.96620,21.15140,21.15140,16.02000,11.13890,0.04690,3.74640,-6.64230,0.53470,1.98560,37.81430,1.3105,1.096
