Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1351.65200,804.10100,547.55100,87.96000,-2.93200,90.89200,456.65890,-109.21700,347.44200,65.23700,282.20500,,282.20500,280.73900,626.89270,456.65890,580.00000,581.00000,0.43980,0.43980,0.64650,0.40890,0.74750,40.50980,33.78520,33.78520,25.70500,20.77010,0.05210,3.40680,1.79730,50.07590,2.59590,3.64510,1.08720,1.33680,21.51360,1.1688,0.8503
2024-06-30,1355.44800,759.92800,595.52050,81.83840,-430.38230,512.22100,83.29980,-103.02870,-19.72890,-369.73420,350.00530,,350.00530,344.15970,257.01420,83.29980,580.00000,581.00000,0.54800,0.54800,0.68480,0.40250,0.73690,43.93530,6.14560,6.14560,-1.45550,25.39080,0.05210,3.32270,1.80100,49.97310,3.15420,4.40180,1.34490,1.64680,21.89580,1.1605,0.8689
2024-03-31,1141.60200,600.45300,541.14900,80.06040,11.11950,68.94090,472.20810,-80.06040,392.14770,67.45830,324.68940,,324.68940,324.68940,587.85100,472.20810,549.00000,550.00000,0.54860,0.54110,1.03290,0.40080,0.70350,47.40260,41.36360,41.36360,34.35070,28.44160,0.04640,2.78350,1.50680,59.72730,3.19170,4.44260,1.31830,1.64850,21.49640,0.58760,0.34100
2023-12-31,1813.96400,1188.15100,625.81320,104.62080,165.15850,-60.53800,686.35120,-85.19840,601.15200,86.12920,515.02280,,515.02280,442.55940,816.03110,686.35130,550.00000,551.00000,0.89320,0.89280,0.81740,0.38380,0.66390,34.49970,37.83710,37.83710,33.14020,24.39740,0.07510,4.81640,1.16160,77.47930,5.10670,7.13200,2.13140,2.70920,21.33750,1.1645,0.9336
2023-09-30,1708.22800,1217.07500,491.15220,77.51120,12.67010,64.84200,426.31100,-96.88900,329.42260,71.54880,257.87380,,257.87380,235.51480,549.02170,426.31100,549.00000,550.00000,0.43200,0.42500,0.67500,0.38830,0.67640,28.75220,24.95630,24.95630,19.28450,13.78710,0.07400,4.96350,2.71890,33.10210,2.57610,3.62870,1.11730,1.35390,21.22140,0.8757,0.6461
2023-06-30,1539.66600,1049.50200,490.16410,62.47920,-6.69420,69.17300,420.99060,-81.07420,339.91660,69.91720,269.99940,,269.99940,269.99940,545.17440,420.99060,550.00000,550.00000,0.44630,0.44630,0.61730,0.38950,0.67980,31.83580,27.34300,27.34300,22.07730,17.53620,0.06720,9.16230,2.89510,31.08700,2.71080,3.81820,1.17800,1.42100,21.12720,0.8881,0.7203
2023-03-31,1697.94200,1201.20000,496.74240,68.00640,4.43520,63.57100,433.17130,-82.05120,351.12000,78.35520,272.76480,,272.76480,272.76480,547.74730,433.17130,550.00000,551.00000,0.45090,0.45090,0.45970,0.37490,0.67920,29.25560,25.51150,25.51150,20.67920,16.06440,0.07400,10.15630,3.17270,28.36740,2.72320,3.82740,1.18890,1.46390,21.17610,0.61440,0.45080
2022-12-31,2278.63200,1780.34000,498.29200,93.71340,-82.19880,175.91200,322.38000,-83.39240,238.98720,62.20730,176.77970,,176.77970,77.55330,448.55340,322.37950,553.00000,554.00000,0.28340,0.28360,0.66570,0.38780,0.67140,21.86800,14.14800,14.14790,10.48820,3.40350,0.09410,8.60420,3.24820,27.70780,1.69220,2.37960,0.73020,0.89120,22.08160,1.2749,1.0787
2022-09-30,2129.27000,1459.61100,669.65890,58.23120,829.79460,-771.56360,1441.22200,-107.26800,1333.95400,-67.42560,1401.38000,,1401.38000,1401.38000,1546.75000,1441.22200,554.00000,556.00000,2.48250,2.47480,0.68970,0.36930,0.64990,31.45020,67.68620,67.68620,62.64840,65.81500,0.08740,6.90220,3.11550,28.88810,13.22200,17.79360,5.75160,7.05800,22.68480,1.0218,0.8513
2022-06-30,2423.69500,1866.91000,556.78450,70.47900,14.09580,56.38300,500.40140,-97.10440,403.29650,75.96070,327.33580,,327.33580,327.33580,654.30470,500.40140,554.00000,557.00000,0.54820,0.54030,1.27920,0.39530,0.75330,22.97250,20.64620,20.64620,16.63970,13.50570,0.09770,8.36490,3.12630,28.78840,3.40470,4.76950,1.31930,1.70930,20.86720,0.8332,0.6589
