Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,748.34800,272.58700,475.76100,14.55100,-0.16500,252.66400,223.09700,-72.79700,150.30000,0.29000,150.01000,,148.51700,,143.09000,469.73710,223.09700,378.75600,391.02600,0.38000,0.38000,0.43080,0.75680,29.81190,29.81190,20.08420,19.12080,0.03580,1.34570,1.34360,0.70970,0.76480,29.13770,1.024,-2.4013
2024-06-30,734.16300,265.58000,468.58300,18.63100,39.80900,203.22000,265.36300,-79.80300,185.56000,0.33100,185.22900,,183.55500,,177.12800,496.78300,265.36300,378.57800,390.54200,0.47000,0.47000,0.39030,0.64020,36.14500,36.14500,25.27500,24.12650,0.03710,1.64440,1.64190,0.92800,1.00100,29.49090,1.0164,0.7865
2024-03-31,730.81800,279.01500,451.80300,15.72000,188.18500,53.23000,398.57300,-91.53900,307.03400,0.30400,306.73000,,305.03200,,293.79600,631.29200,398.57300,378.81200,390.56100,0.78000,0.77000,0.39010,0.63950,54.53790,54.53790,42.01240,40.20100,0.03670,2.70980,2.70570,1.53320,1.65030,29.75090,1.07800,1.45430
2023-12-31,727.49990,252.13500,475.36480,11.58100,155.50500,82.86390,392.50100,-68.44500,324.05590,0.25600,323.79990,,322.26900,,310.92000,626.30790,392.50120,378.77300,390.89700,0.82000,0.82000,0.39560,0.65470,53.95200,53.95210,44.54380,42.73820,0.03630,2.86410,2.85470,1.60860,1.72520,29.76380,0.8842,1.0731
2023-09-30,724.06700,260.11400,463.95300,14.09400,26.91200,211.91800,252.03500,-69.24900,182.78600,0.25800,182.52800,,181.28600,,171.73500,485.01610,252.03500,378.85300,391.35100,0.45000,0.45000,0.39900,0.66390,34.80820,34.80820,25.24440,23.71810,0.03600,1.61450,1.60920,0.90150,0.96710,29.66860,1.13,0.6491
2023-06-30,717.30900,258.53000,458.77900,18.87600,-0.08700,240.31800,218.46100,-72.04000,146.42100,0.33600,146.08500,,144.86200,,138.43000,447.01500,218.46100,378.64200,391.18700,0.37000,0.37000,0.39870,0.66300,30.45560,30.45560,20.41250,19.29850,0.03560,1.29470,1.29040,0.71910,0.77590,29.61890,0.9003,0.1408
2023-03-31,705.08800,275.71400,429.37400,16.16500,100.20900,131.78600,297.58800,-75.83700,221.75100,0.29800,221.45300,,220.07100,,211.26300,520.50700,297.58800,378.34100,390.66400,0.56000,0.56000,0.39190,0.64440,42.20580,42.20580,31.45010,29.96260,0.03510,1.94600,1.93960,1.09470,1.17950,29.94590,1.00670,1.16320
2022-12-31,699.70290,231.37000,468.33290,11.67700,-0.02100,225.97000,242.36290,-75.25900,167.10400,0.17500,166.92900,,165.35400,,158.24800,463.93890,242.36290,376.20900,389.45000,0.42000,0.41000,0.39480,0.65240,34.63800,34.63800,23.88210,22.61650,0.03460,1.45750,1.45270,0.81780,0.87910,30.07870,0.8579,0.5785
2022-09-30,695.09900,250.13800,444.96100,13.37200,196.55100,30.95000,414.01100,-77.66700,336.34400,0.15200,336.19200,,335.16500,,322.25200,639.71500,414.01100,375.85000,389.30000,0.86000,0.86000,0.39970,0.66580,59.56140,59.56140,48.38790,46.36060,0.03430,2.98600,2.97610,1.65390,1.78660,29.93800,1.1031,2.075
2022-06-30,687.03000,244.76400,442.26600,16.42300,107.89700,132.33200,309.93400,-75.79700,234.13700,0.29100,233.84600,,232.67800,,223.32800,542.90700,309.93400,375.76900,389.36300,0.59000,0.59000,0.41780,0.71750,45.11220,45.11220,34.07960,32.50630,0.03340,2.10240,2.09530,1.13090,1.22000,29.52450,0.8298,1.2831
2022-03-31,653.34800,256.30900,397.03900,17.23800,-0.10200,247.30100,149.73800,-74.39700,75.34100,0.28200,75.05900,,73.79800,,69.99300,388.60200,149.73800,375.50900,389.62800,0.19000,0.19000,0.42510,0.73950,22.91860,22.91860,11.53150,10.71300,0.03140,0.67100,0.66880,0.35430,0.38450,29.34970,0.94460,0.49920
2021-12-31,645.12990,235.39400,409.73590,13.40400,467.79100,-232.14700,641.88290,-80.29900,561.58400,0.23600,561.34790,,560.97790,,526.20200,873.42690,641.88320,373.83300,388.08900,1.42000,1.40000,0.42710,0.74560,99.49670,99.49670,87.04980,81.56530,0.03050,5.03120,5.01450,2.65000,2.87260,29.79060,0.7285,0.5378
2021-09-30,623.20600,237.14200,386.06400,13.04100,363.92800,-135.49000,521.55400,-72.78200,448.77200,0.28400,448.48800,,447.33200,,431.17800,745.67790,521.55400,374.30800,388.37400,1.15000,1.15000,0.42830,0.74900,83.68890,83.68890,72.01020,69.18710,0.03020,4.12810,4.11390,2.16490,2.35210,28.99620,1.0332,0.4603
2021-06-30,598.05900,229.60200,368.45700,14.67800,223.73800,-8.38700,376.84400,-48.30100,328.54300,0.24200,328.30100,,328.04000,,315.61400,587.27700,376.84400,373.81200,387.82000,0.84000,0.84000,0.43670,0.77530,63.01120,63.01120,54.93490,52.77310,0.02920,3.09330,3.08250,1.60300,1.73630,28.42770,0.5911,0.6606
2021-03-31,597.60200,246.65400,350.94800,15.38300,-0.04300,215.38800,135.56000,-73.43700,62.12300,0.15300,61.97000,,60.36400,,56.76600,344.26400,135.56000,372.28000,386.91600,0.15000,0.15000,0.43240,0.76170,22.68400,22.68400,10.39540,9.49900,0.02960,0.57410,0.57200,0.29930,0.32470,28.29650,0.89440,0.65180
2020-12-31,613.43510,223.49600,389.93910,11.09300,179.58900,33.33320,356.60590,-126.66700,229.93910,0.35000,229.58900,,262.98400,,252.08400,583.20590,356.60590,371.79100,385.87400,0.68000,0.68000,0.42770,0.74740,58.13260,58.13260,37.48380,41.09380,0.03020,2.45180,2.44330,1.29630,1.39830,28.91060,0.5977,1.2427
2020-09-30,622.43300,228.53400,393.89900,10.85900,-0.02500,211.48900,182.41000,-86.53700,95.87300,0.26200,95.61100,,95.36500,,90.51300,395.14600,182.41000,371.86900,385.65200,0.24000,0.24000,0.43840,0.78080,29.30600,29.30600,15.40290,14.54180,0.03020,0.88980,0.88680,0.46240,0.49800,28.89100,1.0363,0.6585
2020-06-30,653.53200,223.09800,430.43400,11.83500,144.26600,73.54490,356.88900,-84.17900,272.71000,0.18700,272.52300,,271.48100,,260.11600,574.88210,356.88900,371.79500,385.91300,0.70000,0.70000,0.43730,0.77710,54.60930,54.60930,41.72860,39.80160,0.03150,2.51370,2.50500,1.31060,1.40960,29.11660,0.6573,1.4425
2020-03-31,682.30500,241.25700,441.04800,14.51800,207.97700,18.96300,422.08500,-88.20400,333.88100,0.05300,333.82800,,332.67100,,307.83300,646.44400,422.08500,371.58200,386.94900,0.83000,0.83000,0.44490,0.80150,61.86160,61.86160,48.93430,45.11660,0.03260,3.09940,3.08870,1.59030,1.71450,28.94540,0.98840,1.69470
2019-12-31,683.70290,226.69200,457.01090,11.63000,178.23700,48.27500,408.73590,-109.46600,299.27000,-3.03000,302.30000,,301.30600,,288.99200,636.57290,408.73590,370.46100,386.33300,0.78000,0.78000,0.46150,0.85700,59.78270,59.78270,43.77190,42.26870,0.03230,2.86760,2.85750,1.42310,1.53870,28.37060,0.9432,0.6531
2019-09-30,685.12000,224.45200,460.66800,11.41700,130.56500,92.33000,368.33800,-90.97400,277.36400,0.26500,277.09900,,277.84600,,266.33300,583.78910,368.33800,370.76800,386.89600,0.72000,0.71000,0.46350,0.86400,53.76260,53.76260,40.48400,38.87390,0.03250,2.67940,2.66980,1.31970,1.43230,28.02650,1.039,0.3011
2019-06-30,669.37400,224.27600,445.09800,14.32900,138.85600,75.98100,369.11700,-116.51400,252.60300,0.24600,252.35700,,321.29900,,308.19600,597.06800,369.11700,370.34200,386.10700,0.83000,0.83000,0.46800,0.87970,55.14360,55.14360,37.73720,46.04240,0.03190,3.10670,3.09550,1.53070,1.64680,27.98940,0.8193,0.5712
2019-03-31,662.49400,232.90800,429.58600,15.38100,-0.02100,219.61700,209.96900,-99.76800,110.20100,0.23800,109.96300,,109.25700,,103.76600,426.13200,209.96900,369.55800,385.18400,0.28000,0.28000,0.46580,0.87200,31.69370,31.69370,16.63430,15.66290,0.03190,1.06810,1.06420,0.52610,0.56850,27.71270,0.96980,0.08890
2018-12-31,651.99000,219.18800,432.80200,12.39300,-0.02400,214.27290,218.52910,-95.34800,123.18100,0.11100,123.07000,,122.38800,,116.41500,429.70700,218.52910,368.05200,383.69500,0.32000,0.31000,0.45880,0.84790,33.51720,33.51720,18.89310,17.85530,0.03200,1.18110,1.17680,0.60010,0.63690,28.15240,0.8147,0.5418
2018-09-30,652.86700,220.17600,432.69100,12.64000,113.97000,93.28800,339.40300,-114.29200,225.11100,0.28000,224.83100,,223.84600,,214.16400,561.08300,339.40300,368.02800,383.88400,0.58000,0.58000,0.45740,0.84300,51.98660,51.98660,34.48040,32.80360,0.03180,2.14620,2.13860,1.08970,1.16040,28.41150,0.9324,0.4604
2018-06-30,639.80800,216.71000,423.09800,12.50200,-0.05100,205.49500,217.60300,-98.88300,118.72000,0.27400,118.44600,,118.41000,,112.83000,419.98700,217.60300,367.93000,383.42300,0.31000,0.31000,0.45660,0.84030,34.01070,34.01070,18.55560,17.63500,0.03140,1.13830,1.13420,0.58030,0.61630,28.34760,0.8451,0.2451
2018-03-31,633.01600,223.56000,409.45600,16.27800,142.21300,70.37400,339.08200,-117.34400,221.73800,0.21300,221.52500,,220.54800,,211.03600,546.48800,339.08200,367.80000,383.01800,0.57000,0.57000,0.45140,0.82270,53.56610,53.56610,35.02880,33.33820,0.03110,2.10290,2.09550,1.08200,1.14960,28.58430,0.94260,1.33880
