Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.60700,11.60700,33.26300,11.22200,-32.87800,3.76500,-29.11300,0.05400,-29.16700,-29.16700,-29.16700,-33.44200,-32.87800,108.50700,108.50700,-0.27000,-0.27000,8.00400,100.00000,-283.26010,-283.26010,-250.82280,-251.28800,0.03290,,,-12.72720,-12.72720,-8.27630,-12.72720,2.13350,-0.3067,-0.3078
2024-06-30,19.87500,19.87500,38.65400,10.77300,-29.55200,4.06600,-25.48600,0.06500,-25.55100,-25.55100,-25.55100,-30.12400,-29.55200,108.31400,108.31400,-0.24000,-0.24000,7.48630,100.00000,-148.68930,-148.68930,-128.23140,-128.55850,0.05210,,,-10.31640,-10.31640,-6.69830,-10.31640,2.31380,-0.2175,-0.2204
2024-03-31,6.47100,6.47100,38.06500,10.66100,-42.25500,4.38100,-37.87400,0.04000,-37.91400,-37.91400,-37.91400,-43.00100,-42.25500,108.17100,108.17100,-0.35000,-0.35000,8.22730,100.00000,-652.99020,-652.99020,-585.28820,-585.90640,0.01590,,,-14.33680,-14.33680,-9.33330,-14.33680,2.47770,-0.35000,-0.35180
2023-12-31,5.43100,5.43100,31.33900,9.10600,-35.01400,4.29800,-30.71600,0.04700,-30.76300,-30.76300,-30.76300,-36.76100,-35.01400,94.57200,94.57200,-0.30000,-0.30000,7.54360,100.00000,-644.70620,-644.70620,-565.56800,-566.43340,0.01350,,,-12.15410,-12.15410,-7.64170,-12.15410,2.47650,-0.3147,-0.3175
2023-09-30,10.73200,10.73200,27.14900,9.20900,-25.62600,3.38600,-22.24000,0.02300,-22.26300,-22.26300,-22.26300,-24.27400,-25.62600,97.03300,97.03300,-0.23000,-0.23000,8.54270,100.00000,-238.78120,-238.78120,-207.23070,-207.44500,0.02510,,,-8.04900,-8.04900,-5.19930,-8.04900,2.71580,-0.2607,-0.2596
2023-06-30,14.59800,14.59800,28.67100,9.17400,-23.24700,2.60100,-20.64600,0.06400,-20.71000,-20.71000,-20.71000,-23.51900,-23.24700,88.35500,88.35500,-0.23000,-0.23000,5.97660,100.00000,-159.24790,-159.24790,-141.43030,-141.86870,0.03850,,,-9.72550,-9.72550,-5.45970,-9.72550,2.40720,-0.2763,-0.2838
2023-03-31,5.76600,5.76600,28.03900,8.01300,-30.28600,2.27800,-28.00800,,-28.00800,-28.00800,-28.00800,-30.59800,-30.28600,88.19400,88.19400,-0.32000,-0.32000,6.39070,100.00000,-525.25150,-525.25150,-485.74400,-485.74400,0.01430,,,-12.32400,-12.32400,-6.93660,-12.32400,2.57640,-0.39580,-0.40280
2022-12-31,6.41100,6.41100,29.09100,7.88700,-30.56700,1.55800,-29.00900,0.05100,-29.06000,-29.06000,-29.06000,-29.77800,-30.56700,87.82000,87.82000,-0.33000,-0.33000,6.75620,100.00000,-476.78980,-476.78990,-452.48790,-453.28340,0.01470,3.20550,28.07670,-11.64840,-11.64840,-6.65800,-11.64840,2.82920,-0.3226,-0.3346
2022-09-30,6.92000,6.92000,28.74400,8.09900,-29.92300,0.87300,-29.05000,,-29.05000,-29.05000,-29.05000,-29.73400,-29.92300,87.89200,87.89200,-0.33000,-0.33000,7.82650,100.00000,-432.41320,-432.41320,-419.79770,-419.79770,0.01490,3.46000,26.01160,-10.63820,-10.63820,-6.25870,-10.63820,3.09690,-0.2227,-0.26
2022-06-30,5.77100,5.77100,23.74100,7.23200,-25.20200,0.34700,-24.85500,0.00300,-24.85800,-24.85800,-24.85800,-24.88100,-25.20200,87.84000,87.84000,-0.28000,-0.28000,9.75930,100.00000,-436.70070,-436.70070,-430.68790,-430.73990,0.01290,2.88550,31.19040,-8.32200,-8.32200,-5.54370,-8.32200,3.39440,-0.3584,-0.3789
2022-03-31,5.75800,5.75800,24.33000,6.80700,-25.37900,0.17100,-25.20800,,-25.20800,-25.20800,-25.20800,-25.07000,-25.37900,87.67100,87.67100,-0.29000,-0.29000,11.74810,100.00000,-440.76070,-440.76070,-437.79090,-437.79090,0.01220,2.87900,31.26090,-7.86870,-7.86870,-5.34610,-7.86870,3.65250,-0.33840,-0.35620
2021-12-31,5.71600,5.71600,21.63400,6.06600,-21.98400,0.11500,-21.86900,0.17700,-22.04600,-22.04600,-22.04600,-21.72800,-21.98400,62.10800,62.10800,-0.28000,-0.28000,12.09970,100.00000,-384.60470,-384.60470,-382.59280,-385.68940,0.01140,2.85800,31.49060,-6.39480,-6.39480,-4.40780,-6.39480,3.93560,-0.3509,-0.3642
2021-09-30,6.78700,6.78700,21.92300,4.43300,-19.56900,0.04100,-19.52800,0.06200,-19.59000,-19.59000,-19.59000,-19.34400,-19.56900,70.16100,70.16100,-0.28000,-0.28000,12.29790,100.00000,-288.33060,-288.33060,-287.72650,-288.64000,0.01280,0.84840,106.08520,-5.36110,-5.36110,-3.69530,-5.36110,4.17400,-0.172,-0.1808
