Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,273.75500,273.75500,231.97700,-23.41200,15.56400,11.09500,26.65900,7.41900,19.24000,19.24000,16.89400,18.36600,15.56400,72.32500,76.90600,0.23000,0.22000,1.09800,100.00000,5.68540,5.68540,9.73830,6.17120,0.23740,3.11060,28.93360,4.86960,4.86960,1.66860,4.86960,5.27480,1.7885,1.763
2024-06-30,264.58600,264.58600,215.82400,-26.26000,20.06800,1.70800,21.77600,6.85500,14.92100,14.92100,13.16100,22.50200,20.06800,72.14900,75.78900,0.18000,0.17000,1.54280,100.00000,7.58470,7.58470,8.23020,4.97420,0.25180,3.55010,25.35130,3.88110,3.88110,1.41990,3.88110,5.14010,1.8667,1.8364
2024-03-31,217.48500,217.48500,182.88400,-26.42400,5.80200,4.22900,10.03100,-7.45400,17.48500,17.48500,16.56600,8.17700,5.80200,70.22900,75.10200,0.24000,0.22000,2.35540,100.00000,2.66780,2.66780,4.61230,7.61710,0.21480,2.55230,35.26220,4.45180,4.45180,1.72700,4.45180,5.25170,-2.19700,-2.26840
2023-12-31,214.87800,214.87800,198.12310,-23.81000,-9.34910,5.14500,-4.20400,2.26000,-6.46400,-6.46400,-5.66000,-7.05510,-9.34900,68.50100,68.50100,-0.08000,-0.08000,0.95500,100.00000,-4.35090,-4.35090,-1.95650,-2.63410,0.18210,3.37670,26.65300,-1.78340,-1.78340,-0.54790,-1.78340,5.09330,1.4533,1.3756
2023-09-30,272.17900,272.17900,267.46500,-22.72600,-20.02600,9.94300,-10.08300,1.28600,-11.36900,-11.36900,-10.73200,-18.01200,-20.02600,68.75200,68.75200,-0.16000,-0.16000,1.05780,100.00000,-7.35770,-7.35770,-3.70450,-3.94300,0.24290,5.84780,15.39050,-2.99110,-2.99110,-1.01470,-2.99110,5.34170,2.0423,1.9739
2023-06-30,179.87100,179.87100,163.91600,-23.60500,-9.58600,-5.62900,-15.21500,-1.96900,-13.24600,-13.24600,-11.97400,-7.65000,-9.58600,68.50500,68.50500,-0.17000,-0.17000,2.54510,100.00000,-5.32940,-5.32940,-8.45880,-6.65700,0.17670,3.47740,25.88110,-3.26510,-3.26510,-1.30130,-3.26510,5.70890,0.9468,0.8646
2023-03-31,187.82000,187.82000,164.01900,-23.11900,-1.39100,1.74600,0.35500,-3.20800,3.56300,3.56300,3.66600,0.68200,-1.39100,67.00900,71.46300,0.05000,0.05000,3.79390,100.00000,-0.74060,-0.74060,0.18900,1.95190,0.18990,3.83670,23.45790,0.82460,0.82460,0.36030,0.82460,6.08130,-2.12900,-2.14440
2022-12-31,207.18300,207.18300,156.51900,-19.06200,29.42500,2.87600,32.30100,9.62900,22.67200,22.67200,20.05500,31.60200,29.42500,65.76600,70.32000,0.30000,0.27000,1.16570,100.00000,14.20240,14.20240,15.59060,9.67990,0.17030,3.67740,24.47360,4.94010,4.94010,1.86310,4.94010,6.68790,1.7496,1.7211
2022-09-30,233.50600,233.50600,176.45600,-20.08300,35.04900,2.62500,37.67400,9.11500,28.55900,28.55900,25.61200,36.96700,35.04900,65.87400,69.82900,0.39000,0.37000,1.22390,100.00000,15.00990,15.00990,16.13410,10.96850,0.20160,3.66720,24.54220,6.41920,6.41920,2.46530,6.41920,6.48550,1.7984,1.7822
2022-06-30,242.52000,242.52000,155.77000,-22.71000,62.19900,-3.04600,59.15300,15.29600,43.85700,43.85700,38.96300,64.04000,62.19900,66.29000,69.81200,0.59000,0.56000,1.61560,100.00000,25.64700,25.64700,24.39100,16.06590,0.21720,3.20100,28.11590,9.85240,9.85240,3.92820,9.85240,6.46740,0.8132,0.8083
