Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,68.00300,36.34200,31.66100,,4.97600,-2.90800,4.04400,27.61700,1.85200,29.46900,6.41500,23.05400,,23.05400,17.70700,38.78200,31.45700,203.53200,206.47500,0.09000,0.09000,3.04100,0.00120,0.00150,46.55820,40.61140,46.25820,43.33490,26.03860,0.06930,1.85040,52.92060,1.70070,2.79250,9.22740,2.34880,2.78910,3.80570,0.0842,-0.0375
2024-06-30,72.16500,35.65100,36.51400,,4.28700,1.63400,2.65300,33.86100,1.61500,35.47600,7.34700,28.12900,,28.12900,21.93800,41.59700,33.86100,177.57800,180.51700,0.12000,0.12000,4.03380,0.00170,0.00200,50.59790,46.92160,46.92160,49.15960,30.39980,0.09800,2.95540,151.92630,0.59240,4.56550,9.69240,3.82060,4.55780,3.46770,0.22130,0.13060
2024-03-31,42.68100,29.64300,13.03800,,3.40700,-0.42900,1.76000,11.27800,1.40200,12.68000,5.05500,7.62500,,7.62500,5.52900,19.48800,13.35400,176.99700,179.13800,0.04000,0.03000,4.28170,0.00180,0.00220,30.54760,26.42390,31.28790,29.70880,12.95420,0.06070,4.00850,18.77740,4.79300,1.27720,2.74110,1.08490,1.27480,3.36700,0.0579,-0.0326
2023-12-31,58.50800,35.20100,23.30700,,3.22800,-8.60000,5.62400,17.68300,1.51000,19.19300,5.12300,14.07000,,14.07000,10.51000,31.70600,23.88700,176.90600,179.43700,0.06000,0.06000,3.73450,0.00020,0.00070,39.83560,30.22320,40.82690,32.80410,17.96340,0.08140,2.95980,195.67890,0.45990,2.33060,4.91230,1.95660,2.33020,3.41010,0.1322,0.0405
2023-09-30,53.99200,33.04900,20.94300,,3.81000,0.43000,3.98300,16.96000,1.68800,18.64800,3.87800,14.77000,,14.77000,11.05000,23.28400,16.35700,176.84400,179.75100,0.06000,0.06000,4.09110,0.00030,0.00080,38.78910,31.41210,30.29520,34.53850,20.46600,0.07940,4.15760,32.08080,2.80540,2.56430,5.34040,2.17070,2.56350,3.25750,0.1605,0.0766
2023-06-30,60.00600,36.70500,23.30100,,3.65000,-1.65100,5.30100,18.00000,1.43400,19.43400,6.22100,13.21300,,13.21300,9.21700,26.08800,18.00000,176.92800,179.84800,0.05000,0.05000,4.76960,0.00040,0.00090,38.83110,29.99700,29.99700,32.38680,15.36010,0.09020,5.38280,36.79090,2.44630,2.33250,4.84510,1.98690,2.33140,3.20020,0.16060,0.07730
2023-03-31,34.14700,24.37100,9.77600,,3.04500,-1.14500,5.25100,4.52500,-0.35800,4.16700,1.88600,2.28100,,2.28100,0.23500,8.99000,3.46400,176.86300,178.99000,0.00000,0.00000,5.31150,0.00050,0.00100,28.62920,13.25160,10.14440,12.20310,0.68820,0.05050,2.92110,14.29940,6.29400,0.39340,0.82520,0.33700,0.39320,3.28010,0.032,-0.0215
2022-12-31,58.65100,36.90700,21.74400,,3.17100,-4.31800,4.47900,17.26500,-0.06900,17.19600,2.25900,14.93700,,14.93700,11.91600,28.29700,20.27500,176.72300,178.93900,0.07000,0.07000,4.77110,0.00070,0.00120,37.07350,29.43680,34.56890,29.31920,20.31680,0.08610,5.02140,45.32540,1.98560,2.58310,5.35230,2.19370,2.58140,3.27130,0.1439,0.0559
2022-09-30,51.73900,37.37800,14.36100,,3.47600,-16.70300,21.77500,-7.41400,1.02300,-6.39100,3.81100,-10.20200,,-10.20200,-1.71200,-1.21300,-9.01000,176.69300,179.24600,-0.01000,-0.01000,4.72970,0.00080,0.00150,27.75660,-14.32960,-17.41430,-12.35240,-3.30890,0.07980,4.81240,24.23370,3.71380,-1.85830,-3.86740,-1.57370,-1.85690,3.11070,0.0789,0.0152
2022-06-30,63.59200,38.69000,24.90200,,3.55700,0.69700,5.53100,19.37100,0.80000,20.17100,6.08700,14.08400,,14.08400,10.16900,24.72500,16.70000,177.24500,179.58300,0.06000,0.06000,4.48530,0.00090,0.00180,39.15900,30.46140,26.26120,31.71940,15.99100,0.09000,4.59010,16.53890,5.44170,2.35340,5.00770,1.99330,2.35130,3.38140,0.22370,0.12300
