Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,
2024-03-31,-1.46970,-1.46970,-0.96140,-2.43110,-2.43110,-2.43110,-1.93870,-1.46970,-1.46970,7.50000,7.50000,-0.26000,-0.26000,0.21940,-0.16810,19.06700,19.06700,-11.50700,19.06700,-1.70000,-0.00940,-0.00940
2023-12-31,-1.09080,-1.09080,-0.14570,-1.23650,-1.23650,-1.23650,0.24450,-1.09080,-1.09080,7.50000,7.50000,0.03000,0.03000,0.27140,-0.19240,12.40550,12.40550,-4.37510,12.40550,-1.32900,-0.0603,-0.0603
2023-09-30,-4.10380,-4.10380,-0.48130,-4.58500,-4.58500,-4.58500,-3.53970,-4.10380,-4.10380,7.50000,7.50000,-0.47000,-0.47000,0.00490,-0.28180,53.72420,53.72420,-18.86290,53.72430,-1.13790,-0.043,-0.043
2023-06-30,-0.63750,-0.63750,0.45770,-0.17980,-0.17980,-0.17980,-0.13880,-0.63750,-0.63750,7.50000,7.50000,-0.02000,-0.02000,0.04610,-0.12360,1.31220,1.31220,-0.75140,1.31220,-1.82660,-0.0354,-0.0354
2023-03-31,-0.90990,-0.90990,0.72160,-0.18830,-0.18830,-0.18830,-0.05830,-0.90990,-0.90990,7.50000,7.50000,-0.01000,-0.01000,0.06990,-0.11120,1.42060,1.42060,-0.80240,1.42060,-1.76770,-0.05120,-0.05120
2022-12-31,-0.51510,-0.51510,3.04920,2.53410,2.53410,2.53410,0.50680,-0.51510,-0.51510,7.50000,7.50000,0.07000,0.07000,0.07530,,-22.54680,-22.54680,0.83320,-22.54680,-1.49860,-0.0074,-0.0074
2022-09-30,-0.17290,-0.17290,2.22730,2.05440,2.05440,2.05440,0.41090,-0.17290,-0.17290,7.50000,7.50000,0.05000,0.05000,0.55480,,-18.06700,-18.06690,0.68050,-18.06700,-1.51610,-0.0467,-0.0467
2022-06-30,-0.14830,-0.14830,2.46050,2.31220,2.31220,2.31220,0.46240,-0.14830,-0.14830,7.50000,7.50000,0.06000,0.06000,1.03100,,-18.97750,-18.97750,0.76810,-18.97750,-1.62450,-0.033,-0.033
2022-03-31,-0.39090,-0.39090,5.10660,4.71580,4.71580,4.71580,0.94320,-0.39090,-0.39090,7.50000,7.50000,0.13000,0.13000,1.32270,-0.03380,-33.26670,-33.26680,1.56770,-33.26670,-1.89010,-0.04280,-0.04280
2021-12-31,-0.57320,-0.57320,1.58510,1.01190,1.01190,1.01190,6.12670,-0.57320,-0.57320,7.41950,7.41950,0.10000,0.10000,2.15930,,-5.36730,-5.36730,0.33610,-5.36730,-2.51380,-0.0075,-0.0075
2021-09-30,-0.11910,-0.11910,5.11230,4.99320,4.99320,4.99320,4.99320,-0.11910,-0.11910,7.50000,7.50000,0.13000,0.13000,59.61670,,-25.59150,-25.59150,1.65770,-25.59150,-2.60150,-0.0108,-0.0108
2021-06-30,-0.17100,-0.17100,6.56450,6.39340,6.39340,6.39340,1.27870,-0.17100,-0.17100,7.50000,7.50000,0.17000,0.17000,27.19010,,127.86870,127.86870,2.12170,127.86870,0.47870,-0.0195,-0.0195
2021-03-31,-0.06790,-0.06790,-1.39170,-1.45960,-1.45960,-1.45960,-1.45960,-0.06790,-0.06790,6.90280,6.90280,-0.07000,-0.07000,14.74760,,-29.19190,-29.19200,-0.48410,-29.19190,0.45110,-0.03700,-0.03700
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
