Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,,
2024-06-30,34591.09000,26934.24000,7656.85000,1381.64500,3173.09400,4554.74000,3102.11100,478.52160,3580.63400,928.94080,2651.69300,,2651.69300,2525.82400,4304.83800,3102.11100,1607.96900,1607.96900,1.57080,1.57080,1.37000,0.31030,0.80690,22.13530,8.96800,8.96800,10.35130,7.30200,0.17260,1.57290,1.37870,65.27660,3.02480,3.27430,1.32320,2.08620,54.53590,-0.32340,-0.87570
2024-03-31,36151.25000,28495.09000,7656.15400,1959.96600,3707.40500,5667.37000,1988.78500,451.00120,2439.78800,786.38650,1653.40200,,1653.40200,1519.30100,3367.01500,1988.78900,1633.85300,1633.85300,0.94900,0.94900,1.42640,0.31780,0.78150,21.17810,5.50130,5.50130,6.74880,4.20260,0.17600,1.69050,1.37920,65.25320,1.84240,1.99580,0.80480,1.25700,55.75210,1.3883,0.9157
2023-12-31,36652.68000,28668.62000,7984.06300,1544.94000,3856.40200,5401.34000,2582.71900,36.90360,2619.62500,778.41640,1841.20900,,1841.20900,1722.49400,4106.56600,2582.71900,1622.39300,1622.39300,1.06170,1.06170,1.44820,0.30410,0.74340,21.78300,7.04650,7.04650,7.14720,4.69950,0.19650,1.80200,1.56650,57.45470,2.19520,2.37510,0.98710,1.52750,,0.1683,-0.1934
2023-09-30,34392.33000,26867.63000,7524.69700,1423.04900,4016.98000,5440.03000,2084.66800,429.42150,2514.09100,644.32890,1869.76200,,1869.76200,1747.30100,3308.12700,2084.66800,1639.27300,1639.27300,1.06590,1.06590,1.44750,0.29300,0.71070,21.87900,6.06140,6.06140,7.31000,5.08050,0.18010,1.65280,1.49870,60.05010,2.13740,2.30510,0.97910,1.51110,,0.7355,0.457
2023-06-30,33762.47000,26483.60000,7278.86900,1445.07200,2954.33200,4399.41000,2879.46500,879.48210,3758.94500,963.44670,2795.49900,,2795.49900,2650.40400,4235.05300,2879.46500,1657.39500,1657.39500,1.59910,1.59910,1.44040,0.28470,0.43010,21.55910,8.52860,8.52860,11.13350,7.85010,0.17470,1.58680,1.50460,59.81680,3.11440,3.36470,1.44650,2.22780,,0.86380,0.56490
2023-03-31,33477.08000,26957.70000,6519.38300,2116.27700,3992.86100,6109.14000,410.23830,-173.32290,236.91890,-451.99800,688.91710,,688.91710,571.51770,1938.38100,410.23440,1696.30700,1696.30700,0.34610,0.34610,1.43990,0.27550,0.66640,19.47420,1.22540,1.22540,0.70770,1.70720,0.18340,1.68100,1.52850,58.88220,0.80940,0.87570,0.37740,0.58640,51.14150,2.1058,1.664
2022-12-31,31511.12000,25131.04000,6380.08200,1567.32500,2821.27000,4388.59000,1991.48800,447.69050,2439.17700,556.71810,1882.45800,,1882.45800,1737.05100,3230.81800,1991.48800,1693.23100,1693.23100,1.02590,1.02590,1.47320,0.27710,0.67130,20.24710,6.32000,6.32000,7.74070,5.51250,0.18380,1.67630,1.68310,53.47390,2.32510,2.51720,1.09820,1.68090,,1.5266,0.9609
2022-09-30,30641.43000,24780.54000,5860.89500,1436.91800,2759.07600,4195.99000,1664.90000,339.77520,2004.67400,527.52960,1477.14500,,1477.14500,1362.92400,2994.47100,1664.90000,1707.71100,1707.71100,0.79810,0.79810,1.43670,0.28590,0.69630,19.12740,5.43350,5.43350,6.54240,4.44800,0.16480,1.51940,1.52290,59.09770,1.72250,1.85810,0.79430,1.23000,,2.873,2.2951
2022-06-30,29487.54000,23594.11000,5893.42600,1398.25100,2784.11200,4182.36000,1711.06400,116.94760,1828.01100,568.44480,1259.56600,,1259.56600,1148.98600,2954.08300,1711.06400,1710.63900,1710.63900,0.67170,0.67170,1.46900,0.30400,0.72160,19.98620,5.80270,5.80270,6.19930,3.89650,0.15220,1.46390,1.43130,62.87940,1.42380,1.54120,0.65030,0.99100,,2.78230,2.36600
2022-03-31,33464.81000,26602.58000,6862.23000,1939.53700,3211.86200,5151.41000,1710.82600,207.64780,1918.47900,693.40580,1225.07200,,1225.07200,1053.04700,3118.98400,1710.82400,1719.96200,1719.96200,0.61860,0.61860,1.47250,0.31630,0.75210,20.50580,5.11230,5.11230,5.73280,3.14670,0.15680,1.55800,1.45130,62.01430,1.27780,1.38720,0.57420,0.87360,56.04800,3.8334,3.5225
2021-12-31,32461.31000,25739.78000,6721.52900,1801.51000,2900.86700,4702.38000,2019.15200,487.45840,2506.61000,679.71200,1826.89800,,1826.89800,1698.04800,3246.74700,2019.15200,1716.93400,1716.93400,0.98900,0.98900,1.37630,0.30890,0.75620,20.70630,6.22020,6.22020,7.72180,5.23100,0.16580,1.62550,1.58350,56.83590,2.06850,2.25320,0.93310,1.42950,,3.2866,3.0575
2021-09-30,30979.66000,24709.73000,6269.92800,1650.99500,2808.16000,4459.15000,1810.77300,455.45500,2266.22800,711.21050,1555.01700,,1555.01700,1516.94300,3236.73400,1810.77300,1726.35700,1726.35700,0.87870,0.87870,1.35360,0.32440,0.79350,20.23890,5.84500,5.84500,7.31520,4.89660,0.15540,1.54170,1.50760,59.69800,1.75230,1.91450,0.78010,1.18380,,1.5331,1.224
2021-06-30,32613.22000,25902.42000,6710.79500,1612.75700,2884.82700,4497.59000,2213.21100,620.16500,2833.37600,670.12400,2163.25200,,2163.25200,2024.85900,3589.95900,2213.21100,1726.66400,1726.66400,1.17270,1.17270,1.26220,0.31680,0.80370,20.57690,6.78620,6.78620,8.68780,6.20870,0.16300,1.63950,1.50820,59.67190,2.47520,2.70610,1.08140,1.69110,,0.03820,-0.36000
2021-03-31,33521.84000,26333.32000,7188.51200,2218.30300,3032.98100,5251.28000,1937.23400,378.38540,2315.62500,282.15580,2033.46900,,2033.46900,1940.33900,3537.44900,1937.23600,1726.63800,1726.63800,1.12410,1.12410,1.32610,0.33470,0.82380,21.44430,5.77900,5.77900,6.90780,5.78830,0.16270,1.81250,1.37350,65.52780,2.30800,2.52890,0.98680,1.53550,51.02620,1.2454,0.7855
2020-12-31,36207.06000,28233.25000,7973.80900,1649.77000,3657.78200,5307.55000,2666.25800,1043.40500,3709.66100,836.10240,2873.55800,,2873.55800,2726.89000,4167.62000,2666.25800,1726.97300,1726.97300,1.57900,1.57900,1.28540,0.33420,0.88960,22.02280,7.36390,7.36390,10.24570,7.53140,0.18150,2.03020,1.62270,55.46370,3.49030,3.85320,1.44050,2.32370,,1.8604,1.3702
2020-09-30,34322.87000,27112.03000,7210.84200,1562.43000,2988.62700,4551.05000,2659.78500,589.95340,3249.74000,875.78860,2373.95100,,2373.95100,2264.66700,4036.45800,2659.78500,1726.64400,1726.64400,1.31160,1.31160,1.29600,0.35280,0.92110,21.00890,7.74930,7.74930,9.46810,6.59810,0.17810,1.91070,1.55690,57.80760,3.04500,3.36580,1.23210,1.97060,,3.1189,2.8079
2020-06-30,19751.11000,16454.48000,3296.62700,1515.10000,2838.85300,4353.95000,-1057.32600,374.39940,-682.92690,60.87780,-743.80470,,-743.80470,-752.10030,332.27050,-1057.32600,1726.58500,1726.58500,-0.43560,-0.43560,1.27300,0.34620,0.93940,16.69090,-5.35330,-5.35330,-3.45770,-3.80790,0.10560,1.07120,0.92580,97.21720,-0.98290,-1.08600,-0.39770,-0.64260,,-0.38660,-0.82210
2020-03-31,31840.86000,25427.04000,6413.82000,2061.58100,4400.68600,6462.28000,-48.45310,82.96170,34.51860,234.58830,-200.06930,,-200.06930,-274.21140,1516.92700,-48.44530,1752.00600,1752.00600,-0.14790,-0.14790,1.26100,0.33750,0.90150,20.14340,-0.15220,-0.15210,0.10840,-0.86120,0.16910,1.77100,1.37760,65.32980,-0.26250,-0.28900,-0.10630,-0.17390,44.15090,1.966,1.3778
2019-12-31,34477.86000,27292.28000,7185.57600,2159.64500,3492.76200,5652.41000,1533.16800,368.77280,1901.94400,690.39560,1211.54800,,1211.54800,1071.17400,3357.15800,1533.16800,1753.15000,1753.15000,0.61100,0.61100,1.29700,0.32330,0.83910,20.84110,4.44680,4.44680,5.51640,3.10680,0.18290,1.89380,1.48530,60.59480,1.50600,1.64760,0.64270,1.01910,,1.0104,0.512
2019-09-30,34680.66000,27500.95000,7179.70900,1631.05300,3501.39400,5132.44000,2047.26200,646.23840,2693.50300,738.89430,1954.60900,,1954.60900,1827.95200,3549.61400,2047.26200,1759.67700,1759.67700,1.03880,1.03880,1.24370,0.32110,0.83320,20.70230,5.90320,5.90320,7.76660,5.27080,0.18350,1.81510,1.47650,60.95350,2.44100,2.68360,1.03430,1.65720,46.88940,1.1551,0.8534
2019-06-30,36365.90000,28815.00000,7550.90600,1545.65300,3707.78600,5253.43000,2297.46900,339.81220,2637.28000,911.99290,1725.28700,,1725.28700,1567.94800,3844.61400,2297.46900,1759.62000,1759.62000,0.89110,0.89110,1.26430,0.32890,0.84280,20.76370,6.31760,6.31760,7.25210,4.31160,0.19680,2.03110,1.50000,60.00130,2.22740,2.44390,0.93360,1.49480,,1.01150,0.54850
2019-03-31,36034.59000,28982.24000,7052.34600,2064.77600,4649.15200,6713.93000,338.41800,612.72930,951.15230,1026.77100,-75.61820,,-75.61820,-149.24900,2220.03800,338.41800,1763.98300,1763.98300,-0.08110,-0.08110,1.22840,0.32600,0.85590,19.57110,0.93910,0.93910,2.63960,-0.41420,0.19610,2.02940,1.45870,61.70050,-0.09810,-0.10740,-0.04110,-0.06610,43.81330,1.4371,0.9146
