Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,2086.40000,1281.40000,804.99990,521.20000,,521.20000,283.79980,-16.80000,267.00000,63.20000,203.80000,203.80000,52.10000,255.90000,323.09980,283.79980,56.70000,57.50000,4.51000,4.45000,2.33530,0.15450,0.18270,38.58320,13.60240,13.60240,15.48600,12.79720,12.26520,0.89410,3.62900,6.80940,53.60240,14.98200,38.84120,8.73330,12.66780,23.89890,11.6222,11.5281
2022-12-31,2035.00000,1321.40000,713.60000,513.30000,-162.40000,675.70000,37.90000,233.50000,271.40000,99.80000,171.60000,171.60000,229.50000,401.10000,77.40000,37.90000,56.40000,57.20000,7.11000,7.01000,1.17720,,0.20990,35.06630,1.86240,1.86240,3.80340,13.33660,19.71010,0.46340,4.49150,7.54540,48.37370,9.01260,15.03420,3.90750,9.01260,33.80380,-11.3819,-11.4342
2021-12-31,2062.90000,1374.10000,688.79990,467.10000,,467.10000,221.70000,12.00000,233.70000,36.30000,197.40000,197.40000,238.00000,435.40000,260.09990,221.70000,58.40000,59.20000,7.46000,7.36000,1.95500,0.31460,0.45900,33.38990,10.74700,10.74700,12.60850,11.32870,21.10620,0.45980,3.05970,4.15320,87.88380,10.75690,-91.47360,4.39980,7.37250,31.72940,-2.1369,-2.2298
2020-12-31,2936.90000,1930.70000,1006.20000,698.10000,,743.30000,262.90010,-38.40000,224.50000,43.40000,181.10000,181.10000,,181.00000,390.40010,262.90010,58.30000,58.80000,3.10000,3.08000,,,,34.26060,8.95160,8.95160,13.29290,7.64410,6.16300,,,,,,,,,,5.2636,4.7602
2019-12-31,3074.50000,1942.20000,1132.30000,949.20000,,949.20000,183.10010,-39.20000,143.90000,31.30000,112.60000,112.60000,21.00000,133.30000,183.10010,183.10010,,,,0.00000,1.63620,0.36320,0.57030,36.82880,5.95540,5.95540,5.95540,4.68040,4.33570,0.69500,4.24710,5.40140,67.57460,5.33090,7.62720,2.54540,4.85700,,0.0,0.0
2018-12-31,3345.50000,2156.20000,1189.30000,748.00000,,748.00000,441.30000,-29.90000,411.40000,75.90000,335.50000,335.50000,,335.60000,441.30000,441.30000,,,,0.00000,1.84130,0.38160,0.61710,35.54930,13.19090,13.19090,13.19090,12.29710,10.03140,0.82750,5.23990,6.29090,58.02030,16.19130,21.96980,8.29890,13.58630,,0.0,0.0
2017-12-31,2786.00000,1770.90000,1015.10000,626.70000,,626.70000,388.39990,-20.90000,367.50000,195.00000,172.50000,172.50000,,171.80000,388.39990,388.39990,,,,0.00000,1.81310,0.26820,0.36640,36.43580,13.94110,13.94110,13.94110,13.19100,6.16650,0.77530,5.06990,6.28330,58.09080,9.51300,12.79200,4.80030,9.36180,,0.0,0.0
2016-12-31,2748.00000,1758.30000,989.70000,803.00000,,803.00000,186.70000,-22.60000,164.10000,40.30000,123.80000,123.80000,,122.80000,186.70000,186.70000,,,,0.00000,2.52630,0.39410,0.65050,36.01530,6.79400,6.79400,6.79400,5.97160,4.46870,0.80160,5.13370,6.63130,55.04220,7.19810,10.80560,3.61140,6.54680,,0.0,0.0
2015-12-31,2740.50000,1786.10000,954.40000,581.50000,,581.50000,372.89990,-36.40000,336.50000,106.50000,230.00000,230.00000,,228.90000,372.89990,372.89990,,,,0.00000,2.10110,0.39280,0.64700,34.82580,13.60700,13.60700,13.60700,12.27880,8.35250,0.82130,4.73890,6.55470,55.68560,13.73710,19.98610,6.89260,12.13460,,0.0,0.0
2014-12-31,2925.00000,1908.70000,1016.30000,700.00000,,700.00000,316.30000,-35.10000,281.20000,87.60000,193.60000,193.60000,,192.70000,316.30000,316.30000,,,,0.00000,1.86750,0.41170,0.69980,34.74530,10.81370,10.81370,10.81370,9.61370,6.58800,0.84760,5.16280,6.78030,53.83280,12.71930,18.08330,5.61030,10.63850,,0.0,0.0
2013-12-31,2595.30000,1711.80000,883.50000,535.60000,,535.60000,347.90010,-21.90000,326.00000,105.10000,220.90000,220.90000,,219.50000,347.90010,347.90010,,,,0.00000,1.71790,0.38150,0.61680,34.04230,13.40500,13.40500,13.40500,12.56120,8.45760,0.72910,4.64050,5.63800,64.73940,15.74260,18.18600,6.20570,11.24840,,0.0,0.0
2012-12-31,2579.06800,1709.94900,869.11910,558.67800,,558.67800,310.44120,-25.83600,284.60500,88.41600,196.18900,196.18900,21.63200,216.99300,310.44120,310.44120,,,,0.00000,2.30620,0.30090,0.43030,33.69900,12.03700,12.03700,12.03700,11.03520,8.41360,0.89240,4.84780,7.02640,51.94670,15.68290,21.15530,6.78880,14.79030,,0.0,0.0
2011-12-31,2500.36900,1653.23800,847.13090,810.56000,,810.56000,36.57080,-21.81000,14.76100,-8.05500,22.81600,22.81600,3.70000,26.31500,36.57080,36.57080,,,,0.00000,1.93630,0.32670,0.48530,33.88020,1.46260,1.46260,1.46260,0.59040,1.05240,0.87930,4.58360,6.83920,53.36900,2.08180,2.77550,0.80240,1.86870,,0.0,0.0
2010-12-31,2179.31900,1437.37600,741.94310,508.64300,,508.64300,233.30000,-24.23300,209.06700,56.08700,152.98000,152.98000,1.21000,154.17000,233.30000,233.30000,,,,0.00000,1.98310,0.28650,0.40150,34.04470,10.70520,10.70520,10.70520,9.59320,7.07420,0.80520,4.50480,6.50700,56.09320,13.57860,15.40540,5.65190,10.99180,,0.0,0.0
2009-12-31,2196.34300,1466.03000,730.31300,522.04400,,522.04400,208.26900,-23.34300,184.92600,50.84600,134.08000,134.08000,,133.85600,208.26900,208.26900,,,,0.00000,2.24160,0.30840,0.44600,33.25130,9.48250,9.48250,9.48250,8.41970,6.09450,0.80960,5.15210,6.91190,52.80760,13.10860,15.00280,4.94230,10.37560,,0.0,0.0
