Date,revenue,gross-profit,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2021-12-31,53.41600,53.41600,53.41600,53.41600,53.41600,10.42600,10.42600,53.41600,53.41600,2.35960,2.35960,4.40000,4.40000,2.56750,0.06130,100.00000,100.00000,100.00000,100.00000,19.51850,0.19500,0.68210,131.94190,5.64780,6.68440,3.80540,5.64790,46.37050
2021-09-30,67.85500,67.85500,67.85500,67.85500,67.85500,9.56800,9.56800,67.85500,67.85500,2.05560,2.05560,4.60000,4.60000,,,100.00000,100.00000,100.00000,100.00000,14.10070,,,,,,,,
2021-06-30,20.79000,20.79000,20.79000,20.79000,20.79000,6.07600,6.07600,20.79000,20.79000,2.05550,2.05550,3.00000,3.00000,1.87680,0.13770,100.00000,100.00000,100.00000,100.00000,29.22560,0.14570,0.47750,188.46750,6.67810,9.76060,4.25790,6.67810,
2021-03-31,18.13900,18.13900,18.13900,18.13900,18.13900,4.40400,4.40400,18.13900,18.13900,2.05550,2.05550,2.10000,2.10000,,,100.00000,100.00000,100.00000,100.00000,24.27920,,,,,,,,
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,
