Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00500,0.00500,,3.47600,16.73000,,20.20600,-20.20600,26.59800,6.39200,,6.39200,6.39200,6.39200,-20.20600,-20.20600,19.90800,19.93500,0.32000,0.32000,2.12210,1.63800,-2.56750,,-404120.00000,-404120.00000,127840.00000,127840.00000,0.00030,0.00170,-123.58830,-123.58850,40.15830,78.84540,-0.15990,-0.5479,-0.5491
2024-06-30,,,,,,-0.46140,,-0.46140,0.78850,0.32710,0.00860,0.31850,0.31850,0.31850,-0.46140,-0.46140,7.18800,7.18800,0.04000,0.04000,0.02370,,-0.14040,,,,,,,,-1.65890,-1.65890,4.87440,-1.65890,-2.67130,-0.0875,-0.0875
2024-03-31,,,,,,-0.38990,,-0.38990,-0.81470,-1.20450,0.00880,-1.21330,-1.21330,-1.21330,-0.38990,-0.38990,7.18800,7.18800,-0.17000,-0.17000,0.03760,,-0.10620,,,,,,,,6.24310,6.24310,-18.59690,6.24310,-2.70380,-0.03490,-0.03490
2023-12-31,,,,,,-1.32040,,5.09260,-0.76710,3.03650,0.09110,2.94540,2.94540,2.94540,5.09260,3.80360,7.18700,7.18700,1.42000,1.42000,0.17120,-0.13450,-0.27610,,,,,,,,-2.61720,-2.61720,12.13410,-2.96920,-33.73530,7.569,7.7856
2023-09-30,1.28900,1.25400,0.03500,0.84400,4.07200,,5.15900,-5.12400,-0.42800,-5.55200,,-5.55200,-5.55200,-5.55200,-5.12400,-5.12400,3.08800,3.08800,-1.80000,-1.80000,0.05890,,-0.10710,2.71530,-397.51750,-397.51750,-430.72150,-430.72150,0.05740,,41.69410,41.69400,-24.73740,41.69410,-1.85250,-7.6345,-7.8511
2023-06-30,,,,,,-0.21370,,-0.21370,0.49250,0.27880,0.03170,0.24710,0.24710,0.24710,-0.21370,-0.21370,7.18800,7.18800,0.03000,0.03000,0.24360,,-0.11770,,,,,,,,-2.03880,-2.03880,1.10170,-2.03880,-1.68600,-0.075,-0.075
2023-03-31,,,,,,-0.56950,,-0.56950,1.99170,1.42210,0.53020,0.89190,0.89190,0.89190,-0.56950,-0.56950,5.94800,5.94800,0.15000,0.15000,0.92440,,-0.01560,,,,,,,,-8.10170,-8.10170,3.92590,-8.10170,-1.53150,-0.10140,-0.10140
2022-12-31,,,,,,-0.42890,,-0.42890,3.27870,2.84980,0.49820,2.35160,2.35160,2.35160,-0.42890,-0.42890,14.37600,14.37600,0.21000,0.21000,0.71730,,-0.00880,,,,,,,,-23.31620,-23.31620,0.80790,-23.31620,-1.40310,-0.0892,-0.0892
2022-09-30,,,,,,-0.41200,,-0.41200,2.15640,1.74440,0.26150,1.48290,1.48290,1.48290,-0.41200,-0.41200,35.93800,35.93800,0.04000,0.04000,0.68300,,-0.03410,,,,,,,,-14.03900,-14.03900,0.51200,-14.03900,-1.46950,0.0617,0.0617
2022-06-30,,,,,,-0.23820,,-0.23820,2.58340,2.34520,0.00000,2.34520,2.34520,2.34520,-0.23820,-0.23820,7.18800,7.18800,0.33000,0.33000,0.91730,,-0.03960,,,,,,,,-21.20030,-21.20030,0.81390,-21.20030,-1.53900,-0.0411,-0.0411
2022-03-31,,,,,,-0.26470,,-0.26470,3.93170,3.66700,0.00000,3.66700,3.66700,3.66700,-0.26470,-0.26470,7.18800,7.18800,0.10000,0.10000,1.16370,,-0.03800,,,,,,,,-27.34990,-27.34990,1.27150,-27.34990,-1.86530,-0.04600,-0.04600
2021-12-31,,,,,,-0.55750,,-0.55750,0.16030,-0.39720,,-0.39720,-0.39720,-0.39720,-0.55750,-0.55750,6.86600,7.18800,-0.23000,-0.24000,1.55100,,-0.00830,,,,,,,,2.32620,2.32620,-0.13780,2.32620,-2.37540,-0.0465,-0.0465
2021-09-30,,,,,,-0.17280,,-0.17280,4.67260,4.49980,,4.49980,4.49980,4.49980,-0.17280,-0.17280,7.18800,7.18800,0.13000,0.13000,3.60290,,-0.00850,,,,,,,,-26.98170,-26.98180,1.55900,-26.98170,-2.32020,-0.0051,-0.0051
2021-06-30,,,,,,-0.21670,,-0.21670,-2.03770,-2.25440,,-2.25440,-2.25440,-2.25440,-0.21670,-0.21670,6.82290,7.18750,-0.07000,-0.06000,4.70000,,0.02830,,,,,,,,-45.08810,-45.08810,-0.78070,-45.08810,0.50990,-0.0075,-0.0075
2021-03-31,,,,,,-0.07580,,-0.07580,3.49650,3.42070,,3.42070,3.42070,3.42070,-0.07580,-0.07580,6.25000,6.25000,0.35000,0.35000,6.31100,,0.02830,,,,,,,,68.41440,68.41440,1.36050,68.41440,0.53600,-0.08740,-0.08740
