Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.04760,0.15730,-0.10970,2.79560,2.60300,5.39850,-5.50820,0.08080,-5.42740,-5.42740,-5.42740,-5.42740,-5.27120,-5.50820,1.98200,1.98200,-2.74000,-2.74000,2.42980,,,-230.47030,-11575.74000,-11575.74000,-11405.93000,-11405.93000,0.00560,-81.62540,-105.16510,-63.99370,-81.62530,3.28030,-0.6293,-0.5951
2024-06-30,0.00870,0.01490,-0.00630,3.19910,2.60690,5.80600,-5.81220,-0.00670,-5.81900,-5.81900,-5.81900,-5.81900,-5.58190,-5.81220,1.41700,1.41700,-4.11000,-4.11000,3.74340,,,-72.21000,-67076.79000,-67076.79000,-67154.67000,-67154.67000,0.00070,-59.97180,-66.75640,-48.78070,-59.97170,5.48180,0.3607,0.2311
2024-03-31,0.00550,0.11380,-0.10830,3.15470,2.70340,5.85810,-5.96640,-0.00370,-5.97010,-5.97010,-5.97010,-5.97010,-5.74080,-5.96640,0.77080,0.77080,-8.00000,-8.00000,3.70420,,,-1963.77700,-108223.50000,-108223.50000,-108290.90000,-108290.90000,0.00060,-74.89570,-86.20080,-60.96690,-74.89570,9.01160,-7.57700,-7.85490
2023-12-31,0.04040,0.10060,-0.06020,3.02290,2.31280,5.33570,-5.39600,0.03840,-5.35760,-5.35760,-5.35760,-5.35760,-5.14200,-5.39600,0.39990,0.39990,-18.00000,-18.00000,4.55110,,,-149.26030,-13371.22000,-13371.22000,-13276.07000,-13276.07000,0.00310,-50.37580,-56.09560,-41.10650,-50.37580,13.99370,-19.5955,-20.199
2023-09-30,0.02520,0.04240,-0.01720,2.92920,2.66330,5.59250,-5.60970,0.13820,-5.47150,-5.47150,-5.47150,-5.47150,-5.37740,-5.60970,0.49600,0.49600,-11.03000,-11.03000,6.37580,,,-68.24280,-22251.89000,-22251.89000,-21703.73000,-21703.73000,0.00220,-53.62760,-60.50450,-47.37050,-53.62760,28.98030,-8.201,-8.7772
2023-06-30,0.55100,0.46260,0.08830,3.73780,2.84590,6.58380,-6.49540,0.14200,-6.35340,-6.35340,-6.35340,-6.35340,-6.24850,-6.49540,0.49000,0.49000,-12.97000,-12.97000,8.21330,,,16.03190,-1178.94300,-1178.94300,-1153.16700,-1153.16700,0.03540,-45.57010,-47.46560,-40.84280,-45.57010,37.46440,-6.6426,-6.4378
2023-03-31,0.87280,0.61670,0.25610,3.03010,3.07090,6.10100,-5.84490,0.21610,-5.62880,-5.62880,-5.62880,-5.62880,-5.61680,-5.84490,0.37690,0.37690,-15.00000,-15.00000,20.06900,,,29.34300,-669.66890,-669.66890,-644.90810,-644.90810,0.04290,-28.98360,-29.76410,-27.68090,-28.98360,52.35770,-14.26950,-15.45760
2022-12-31,,,,2.81860,2.94740,,-5.95280,0.14470,-5.54610,-5.54610,-5.54610,-5.54610,-5.75950,-5.69080,0.34950,0.34950,-14.63640,-14.63640,17.13660,,,,,,,,,-22.99630,-23.45640,-21.74530,-22.99630,71.59720,-15.2941,-16.1936
2022-09-30,,,,2.72590,2.55240,,-5.27830,0.01900,-5.25940,-5.25940,-5.25940,-5.25940,-5.09590,-5.27830,0.37010,0.37010,-14.00000,-14.00000,29.82360,,,,,,,,,-18.27010,-18.50430,-17.68890,-18.27010,77.71750,-10.6122,-11.1257
2022-06-30,,,,2.25570,2.35720,,-4.61290,0.00100,-4.61200,-4.61200,-4.61200,-4.61200,-4.45290,-4.61290,0.33780,0.33780,-13.63640,-13.63640,30.63080,,,,,,,,,-13.86120,-13.93740,-13.34940,-13.86120,90.09010,-9.2248,-9.6716
