Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,42.99600,23.92100,19.07500,40.82200,40.85700,-21.78200,0.69100,-21.09100,0.08600,-21.17700,-21.17700,-21.17700,-18.89000,-21.78200,7.90000,7.90000,-2.68000,-2.68000,3.38540,44.36460,-50.66050,-50.66050,-49.05340,-49.25340,0.19380,0.41630,7.58040,11.87270,-16.62960,-16.62960,-9.54290,-16.62960,16.05860,-1.3701,-1.4501
2024-06-30,51.58200,25.52700,26.05500,45.29100,46.24500,-20.19000,1.60900,-18.58100,0.55200,-19.13300,-19.13300,-19.13300,-17.70200,-20.19000,7.82420,7.82420,-2.40000,-2.40000,4.09910,50.51180,-39.14160,-39.14160,-36.02230,-37.09240,0.21540,0.47570,4.89440,18.38840,-13.28970,-13.28970,-7.99010,-13.28970,18.26260,-1.9687,-2.1345
2024-03-31,39.32700,20.87100,18.45600,47.46600,48.26600,-29.81000,2.71800,-27.09200,0.23900,-27.33100,-27.33100,-27.33100,-24.95600,-29.81000,7.76910,7.76910,-3.60000,-3.60000,3.96540,46.92960,-75.80040,-75.80040,-68.88910,-69.49680,0.14440,0.34430,6.89580,13.05130,-17.05340,-17.05340,-10.03480,-17.05340,20.57710,-3.37250,-3.51690
2023-12-31,71.98900,44.61500,27.37400,56.37700,85.01200,-57.63800,0.56100,-57.07700,-0.29700,-56.78000,-56.78000,-56.78000,-51.76300,-57.63800,7.58360,7.58360,-7.65000,-7.65000,4.36990,38.02530,-80.06500,-80.06500,-79.28570,-78.87320,0.23020,0.77240,8.79200,10.23660,-30.63740,-30.63740,-18.15770,-30.63740,23.89490,-0.6324,-0.7959
2023-09-30,57.24400,32.35100,24.89300,53.72100,54.95500,-30.06200,-1.37900,-31.44100,0.13400,-31.57500,-31.57500,-31.57500,-24.94100,-30.06200,7.60500,7.60500,-4.15000,-4.15000,4.60050,43.48580,-52.51560,-52.51560,-54.92450,-55.15860,0.15060,0.40470,10.75810,8.36580,-13.35780,-13.35780,-8.30810,-13.35780,30.99100,-0.6895,-0.9506
2023-06-30,70.48000,40.33200,30.14800,58.73100,59.77200,-29.62400,0.96300,-28.66100,0.27600,-28.93700,-28.93700,-28.93700,-24.65500,-29.62400,7.54150,7.54150,-3.80000,-3.80000,5.60770,42.77530,-42.03180,-42.03180,-40.66540,-41.05700,0.17370,0.43440,15.43250,5.83190,-10.96740,-10.96740,-7.13050,-10.96740,34.86180,0.1236,-0.4807
2023-03-31,54.35200,32.53500,21.81700,54.25700,57.49600,-35.67900,0.73400,-34.94500,0.22100,-35.16600,-35.16600,-35.16600,-30.59000,-35.67900,7.50410,7.50410,-4.60000,-4.60000,6.34380,40.14020,-65.64430,-65.64430,-64.29390,-64.70050,0.12660,0.29710,9.20910,9.77300,-12.21860,-12.21860,-8.19090,-12.21860,38.28100,-2.78690,-3.19130
2022-12-31,84.17800,47.87500,36.30300,58.44500,61.76600,-25.46300,-0.12800,-25.59100,-0.72400,-24.86700,-24.86700,-24.86700,-21.90100,-25.46300,7.43770,7.43770,-3.20000,-3.20000,6.17720,43.12650,-30.24900,-30.24900,-30.40110,-29.54100,0.18210,0.40990,9.14380,9.84270,-7.85020,-7.85020,-5.37820,-7.85020,42.26210,-1.1707,-2.0436
2022-09-30,72.65100,40.12000,32.53100,57.29800,58.04500,-25.51400,0.12000,-25.39400,-0.15300,-25.24100,-25.24100,-25.24100,-21.44200,-25.51400,7.46340,7.46340,-3.40000,-3.40000,5.53040,44.77710,-35.11860,-35.11860,-34.95340,-34.74280,0.17570,0.31720,7.96440,11.30030,-7.59410,-7.59410,-6.10320,-7.59410,44.50810,-2.3122,-3.4234
2022-06-30,78.17400,49.98300,28.19100,57.52000,57.52000,-29.32900,0.30300,-29.02600,0.34200,-29.36800,-29.36800,-29.36800,-25.69500,-29.32900,7.43240,7.43240,-4.00000,-4.00000,6.33850,36.06190,-37.51760,-37.51760,-37.13000,-37.56750,0.18240,0.40870,15.32820,5.87150,-8.28860,-8.28860,-6.85310,-8.28860,47.60540,-3.2095,-4.3096
