Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,974.00000,194.00000,780.00000,83.00000,248.00000,,378.00000,402.00000,-144.00000,258.00000,97.00000,161.00000,,161.00000,,161.00000,507.00000,402.00000,616.00000,622.00000,0.26000,0.26000,0.31970,0.77280,4.06480,80.08210,41.27310,41.27310,26.48870,16.52980,0.06300,,5.93900,15.15400,7.67400,-1.52190,1.04070,1.74340,3.40580,0.2574,0.2541
2024-06-30,965.00000,190.00000,775.00000,81.00000,235.00000,,358.00000,417.00000,-141.00000,276.00000,95.00000,181.00000,,181.00000,,181.00000,523.00000,417.00000,621.00000,627.00000,0.29000,0.29000,0.29610,0.78490,4.32590,80.31090,43.21240,43.21240,28.60100,18.75650,0.06250,,6.34870,14.17620,9.18780,-1.68030,1.17320,1.97600,3.20330,0.42110,0.41790
2024-03-31,973.00000,190.00000,783.00000,80.00000,226.00000,,377.00000,406.00000,-185.00000,221.00000,83.00000,138.00000,,138.00000,,138.00000,517.00000,406.00000,637.00000,642.00000,0.22000,0.22000,0.49820,0.79750,4.02060,80.47280,41.72660,41.72660,22.71330,14.18290,0.06160,,5.96930,15.07710,6.44860,-1.28880,0.87380,1.30570,3.43500,2.1824,2.1777
2023-12-31,951.00000,182.00000,769.00000,77.00000,294.00000,,434.00000,335.00000,-154.00000,181.00000,37.00000,144.00000,,144.00000,,144.00000,459.00000,335.00000,639.00000,645.00000,0.23000,0.22000,0.67110,0.78970,3.82800,80.86230,35.22610,35.22610,19.03260,15.14200,0.05840,,5.94380,15.14200,5.95530,-1.36390,0.88440,1.25230,3.79590,0.4876,0.4938
2023-09-30,945.00000,180.00000,765.00000,85.00000,580.00000,,743.00000,22.00000,-166.00000,-144.00000,-291.00000,147.00000,,147.00000,,147.00000,147.00000,22.00000,640.00000,644.00000,0.23000,0.23000,0.43740,0.79450,3.93870,80.95240,2.32800,2.32800,-15.23810,15.55560,0.05760,,6.42860,14.00000,6.08950,-1.38110,0.89570,1.25140,3.76600,0.1935,0.2059
2023-06-30,943.00000,179.00000,764.00000,90.00000,237.00000,,405.00000,359.00000,-158.00000,201.00000,14.00000,187.00000,,187.00000,,187.00000,484.00000,359.00000,640.00000,643.00000,0.29000,0.29000,0.39560,0.79960,4.09070,81.01800,38.07000,38.07000,21.31500,19.83030,0.05970,,6.50340,13.83880,8.00170,-1.71780,1.18450,1.60320,3.65730,0.35150,0.34530
2023-03-31,947.00000,190.00000,757.00000,88.00000,237.00000,,400.00000,357.00000,-193.00000,164.00000,-751.00000,915.00000,,915.00000,,915.00000,483.00000,357.00000,614.00000,624.00000,1.47000,1.46000,0.43280,0.81240,4.43730,79.93660,37.69800,37.69800,17.31790,96.62090,0.05940,,5.63690,15.96620,41.59090,-8.23290,5.73780,7.80120,3.43750,0.548,0.546
2022-12-31,936.00000,178.00000,758.00000,91.00000,194.00000,,390.00000,368.00000,-152.00000,216.00000,51.00000,165.00000,,165.00000,,165.00000,493.00000,368.00000,647.00000,651.00000,0.26000,0.25000,0.47810,0.88240,7.68240,80.98290,39.31620,39.31620,23.07690,17.62820,0.06040,,5.57140,16.15380,12.59540,-1.37200,1.06430,1.48100,2.05010,0.4517,0.4508
2022-09-30,748.00000,119.00000,629.00000,73.00000,277.00000,,388.00000,241.00000,-46.00000,195.00000,126.00000,69.00000,,69.00000,,69.00000,290.00000,241.00000,590.00000,595.00000,0.12000,0.12000,0.57420,0.85340,5.92340,84.09090,32.21930,32.21930,26.06950,9.22460,0.04710,,4.92110,18.28880,4.06360,-0.58670,0.43450,0.59580,2.56880,-0.1426,-0.1459
2022-06-30,707.00000,102.00000,605.00000,61.00000,260.00000,,344.00000,261.00000,-32.00000,229.00000,29.00000,200.00000,,200.00000,,200.00000,290.00000,261.00000,578.00000,604.00000,0.35000,0.33000,0.62080,1.12380,-11.13040,85.57290,36.91660,36.91660,32.39040,28.28850,0.11320,,6.93140,12.98440,-66.88960,-4.81580,3.20150,8.28160,-0.52360,0.35600,0.35260
