Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5651.00000,4878.00000,773.00000,-330.00000,330.00000,443.00000,-229.00000,214.00000,56.00000,158.00000,158.00000,156.00000,443.00000,443.00000,66.00000,67.00000,2.37000,2.33000,0.31120,0.45170,7.83930,7.83930,3.78690,2.76060,0.04700,1.40860,1.40860,0.13140,0.97030,170.30550,15.9253,15.9253
2024-06-30,4878.00000,4334.00000,544.00000,-293.00000,293.00000,251.00000,18.00000,269.00000,65.00000,204.00000,204.00000,203.00000,251.00000,251.00000,66.00000,67.00000,3.07000,3.03000,0.34020,0.51570,5.14560,5.14560,5.51460,4.16150,0.04440,2.07630,2.07630,0.18560,1.36990,149.15290,14.4329,14.4329
2024-03-31,6337.00000,5773.00000,564.00000,-248.00000,248.00000,316.00000,-44.00000,272.00000,60.00000,212.00000,212.00000,210.00000,316.00000,316.00000,66.00000,67.00000,3.20000,3.16000,0.31660,0.46320,4.98660,4.98660,4.29230,3.31390,0.05980,2.21800,2.21800,0.20000,1.51590,145.28490,85.61190,85.61190
2023-12-31,5007.00000,4423.00000,584.00000,-318.00000,318.00000,266.00000,-102.00000,164.00000,4.00000,160.00000,160.00000,158.00000,266.00000,266.00000,66.30000,67.10000,2.40000,2.38000,0.32560,0.48270,5.31260,5.31260,3.27540,3.15560,0.05130,1.74460,1.74460,0.16390,1.17660,139.75710,18.2086,18.2086
2023-09-30,5153.00000,4530.00000,623.00000,-253.00000,253.00000,370.00000,10.00000,380.00000,91.00000,289.00000,289.00000,287.00000,370.00000,370.00000,66.00000,67.00000,4.34000,4.29000,0.35310,0.54580,7.18030,7.18030,7.37430,5.56960,0.05890,3.54470,3.54470,0.33060,2.29310,123.77030,15.3244,15.3244
2023-06-30,4156.00000,3571.00000,585.00000,-244.00000,244.00000,341.00000,-76.00000,265.00000,58.00000,207.00000,207.00000,205.00000,341.00000,341.00000,67.00000,68.00000,3.09000,3.05000,0.38050,0.61430,8.20500,8.20500,6.37630,4.93260,0.04670,2.62190,2.62190,0.23250,1.62420,119.23820,3.5882,3.5882
2023-03-31,4251.00000,3609.00000,642.00000,-264.00000,264.00000,378.00000,-27.00000,351.00000,98.00000,253.00000,253.00000,252.00000,378.00000,378.00000,67.00000,68.00000,3.77000,3.72000,0.36600,0.61120,8.89200,8.89200,8.25690,5.92800,0.04770,3.27890,3.27890,0.28390,2.07870,115.96030,23.14710,23.14710
2022-12-31,4357.00000,3662.00000,695.00000,-270.00000,270.00000,425.00000,-44.00000,381.00000,88.00000,293.00000,293.00000,291.00000,425.00000,425.00000,66.90000,67.70000,4.36000,4.31000,0.35580,0.55240,9.75440,9.75440,8.74450,6.67890,0.05130,4.08590,4.08590,0.34510,2.63210,107.54990,3.9993,4.2787
2022-09-30,4050.00000,3578.00000,472.00000,-274.00000,274.00000,198.00000,-275.00000,-77.00000,-2.00000,-75.00000,-75.00000,-76.00000,198.00000,198.00000,67.00000,68.00000,-1.13000,-1.13000,0.52920,1.12400,4.88890,4.88890,-1.90120,-1.87650,0.04900,-2.00370,-2.00370,-0.09070,-0.94340,56.01030,12.2794,12.1764
2022-06-30,3903.00000,3412.00000,491.00000,-282.00000,282.00000,209.00000,-62.00000,147.00000,41.00000,106.00000,106.00000,105.00000,209.00000,209.00000,67.00000,68.00000,1.57000,1.55000,0.38210,0.61850,5.35490,5.35490,3.76630,2.69020,0.04610,1.78780,1.78780,0.12530,1.10460,88.48330,1.1617,1.0736
2022-03-31,3917.00000,3356.00000,561.00000,-193.00000,193.00000,368.00000,-101.00000,267.00000,70.00000,197.00000,197.00000,197.00000,368.00000,368.00000,67.00000,68.00000,2.93000,2.91000,0.28340,0.39550,9.39490,9.39490,6.81640,5.02940,0.04360,2.12470,2.12470,0.21950,1.52250,138.41290,2.39710,2.30880
2021-12-31,4368.00000,2853.00000,1515.00000,-195.00000,195.00000,1320.00000,-569.00000,751.00000,42.00000,709.00000,709.00000,709.00000,1320.00000,1320.00000,67.80000,68.30000,10.48000,10.40000,0.21980,0.28180,30.21980,30.21980,17.19320,16.23170,0.04740,5.44800,5.44800,0.76920,4.25030,193.74430,5.0387,5.2593
2021-09-30,4043.00000,3804.00000,239.00000,-229.00000,229.00000,10.00000,-44.00000,-34.00000,-12.00000,-22.00000,-22.00000,-22.00000,10.00000,10.00000,68.00000,68.00000,-0.32000,-0.32000,0.19760,0.24630,0.24730,0.24730,-0.84100,-0.54420,0.04420,-0.17070,-0.17070,-0.02410,-0.13700,190.60650,22.4231,22.3474
2021-06-30,4137.00000,3370.00000,767.00000,-240.00000,240.00000,527.00000,-45.00000,482.00000,138.00000,344.00000,344.00000,344.00000,527.00000,527.00000,68.00000,69.00000,5.06000,5.02000,0.19090,0.23600,12.73870,12.73870,11.65100,8.31520,0.04650,2.55880,2.55880,0.38680,2.07020,197.71460,-1.026,-1.1121
2021-03-31,4119.00000,3671.00000,448.00000,-214.00000,214.00000,234.00000,-48.00000,186.00000,47.00000,139.00000,139.00000,139.00000,234.00000,234.00000,68.00000,68.00000,2.04000,2.03000,0.22810,0.29550,5.68100,5.68100,4.51570,3.37460,0.04860,1.14970,1.14970,0.16390,0.88740,177.83330,34.79410,34.73530
2020-12-31,4143.00000,3705.00000,438.00000,-222.00000,222.00000,216.00000,-47.00000,169.00000,37.00000,132.00000,132.00000,132.00000,216.00000,216.00000,65.40000,65.80000,2.14000,2.12000,0.19930,0.24900,5.21360,5.21360,4.07920,3.18610,0.04890,0.91970,0.91970,0.15590,0.73640,211.19240,9.6186,9.4431
2020-09-30,3643.00000,3100.00000,543.00000,-211.00000,211.00000,332.00000,-47.00000,285.00000,72.00000,213.00000,213.00000,213.00000,332.00000,332.00000,68.00000,68.00000,3.13000,3.12000,0.21280,0.27040,9.11340,9.11340,7.82320,5.84680,0.04440,1.61190,1.61190,0.25940,1.26880,194.50660,0.5708,0.4927
2020-06-30,3606.00000,3177.00000,429.00000,-188.00000,188.00000,241.00000,-46.00000,195.00000,37.00000,158.00000,158.00000,158.00000,241.00000,241.00000,63.00000,64.00000,2.49000,2.48000,0.22160,0.28460,6.68330,6.68330,5.40770,4.38160,0.04470,1.25870,1.25870,0.19570,0.97980,184.77690,5.2651,5.1885
2020-03-31,3204.00000,3058.00000,146.00000,-195.00000,195.00000,-49.00000,-47.00000,-96.00000,-8.00000,-88.00000,-88.00000,-88.00000,-57.00000,-49.00000,62.00000,63.00000,-1.41000,-1.41000,0.24270,0.32050,-1.52930,-1.52930,-2.99630,-2.74660,0.04240,-0.94610,-0.94610,-0.11630,-0.71650,150.87760,35.03180,34.93650
2019-12-31,3785.00000,3193.00000,592.00000,-234.00000,234.00000,358.00000,-50.00000,308.00000,73.00000,235.00000,235.00000,235.00000,363.00000,358.00000,62.70000,63.90000,3.76000,3.67000,0.20440,0.25700,9.45840,9.45840,8.13740,6.20870,0.04930,2.02570,2.02570,0.30630,1.61160,185.15390,8.5408,8.3837
2019-09-30,3628.00000,3018.00000,610.00000,-210.00000,210.00000,400.00000,-53.00000,347.00000,84.00000,263.00000,263.00000,263.00000,401.00000,400.00000,63.00000,64.00000,4.19000,4.12000,0.22690,0.29340,11.02540,11.02540,9.56450,7.24920,0.04790,2.28220,2.28220,0.34710,1.76450,184.05870,12.4062,12.3125
2019-06-30,3467.00000,2934.00000,533.00000,-222.00000,222.00000,311.00000,-51.00000,260.00000,58.00000,202.00000,202.00000,202.00000,305.00000,311.00000,63.00000,64.00000,3.23000,3.18000,0.24000,0.31580,8.97030,8.97030,7.49930,5.82640,0.04810,1.88630,1.88630,0.28040,1.43360,170.63980,9.8438,9.7344
2019-03-31,3420.00000,2953.00000,467.00000,-202.00000,202.00000,265.00000,-48.00000,217.00000,47.00000,170.00000,170.00000,170.00000,259.00000,265.00000,63.00000,64.00000,2.70000,2.65000,0.22380,0.28830,7.74850,7.74850,6.34500,4.97080,0.05130,1.75800,1.75800,0.25490,1.36460,154.61290,5.31250,5.14060
2018-12-31,3278.85400,2894.50100,384.35230,-199.50510,199.50500,184.84770,-46.72200,138.12600,27.92900,110.19700,110.19700,110.19700,195.84870,184.84770,63.70000,65.10000,1.75000,1.67000,0.24810,0.32990,5.63760,5.63760,4.21260,3.36080,0.05080,1.30410,1.30410,0.17080,0.98060,134.52420,7.1748,7.0479
2018-09-30,3227.53100,2663.85100,563.68020,-200.26200,200.26200,363.41820,-40.75700,322.66100,21.46200,301.19900,301.19900,301.19900,344.57620,363.41820,63.27900,64.29600,4.76000,4.68000,0.24530,0.32500,11.25990,11.25990,9.99710,9.33220,0.05130,3.51080,3.51080,0.47830,2.64970,136.28570,8.167,8.0719
2018-06-30,3195.90800,2709.19600,486.71220,-194.95900,194.95900,291.75320,-44.46500,247.28800,42.91400,204.37400,204.37400,204.37400,308.33220,291.75320,64.07100,65.25000,3.19000,3.13000,0.24480,0.32410,9.12900,9.12900,7.73760,6.39490,0.05350,2.37600,2.37600,0.34200,1.79440,135.09390,5.5472,5.4041
2018-03-31,3173.70700,2799.45200,374.25490,-191.27400,191.27400,182.98100,-45.05600,137.92500,37.69500,100.23000,100.23000,100.23000,162.24300,182.98100,64.49000,65.87200,1.55000,1.52000,0.23640,0.30950,5.76550,5.76550,4.34590,3.15810,0.05210,1.11260,1.11260,0.16440,0.84970,139.63480,3.39670,3.31640
2017-12-31,3232.67400,2703.09900,529.57450,-228.72100,228.72100,300.85380,-45.17500,255.67900,-961.02800,1216.70700,1216.70700,1216.70700,322.69670,300.85400,64.42700,65.75300,18.89000,18.48000,0.22560,0.29140,9.30670,9.30670,7.90920,37.63780,0.05340,12.71440,12.71440,2.01060,9.84560,148.47540,13.3198,13.1569
2017-09-30,3145.31000,2592.20300,553.10720,-168.41700,168.41700,384.69020,-44.52800,340.16200,112.57100,227.59100,227.59100,227.59100,344.54120,384.69020,64.48800,65.65300,3.53000,3.47000,0.25620,0.34440,12.23060,12.23060,10.81490,7.23590,0.05360,2.81080,2.81080,0.38780,2.09080,125.79420,6.8249,5.8357
2017-06-30,3129.27600,2599.48000,529.79590,-154.35600,154.35600,375.43990,-36.12500,339.31500,107.12500,232.19000,232.19000,232.19000,358.37190,375.43990,64.44900,65.60800,3.60000,3.54000,0.25920,0.34980,11.99770,11.99770,10.84320,7.41990,0.05380,2.91290,2.91290,0.39940,2.15800,123.59910,3.643,4.3831
2017-03-31,3008.74000,2593.21800,415.52200,-158.50600,158.50600,257.01590,-49.17200,207.84400,62.33200,145.51200,145.51200,145.51200,240.38990,257.01590,64.35300,65.67100,2.26000,2.22000,0.27320,0.37580,8.54230,8.54230,6.90800,4.83630,0.05590,1.96110,1.96110,0.27040,1.42540,115.23750,6.35540,6.09820
2016-12-31,3069.29700,2550.26800,519.02910,-175.63400,175.63500,343.39450,-47.85300,295.54310,105.39400,190.14910,190.14910,190.14900,312.77350,343.39530,64.27400,64.98900,2.95000,2.91000,0.30340,0.43540,11.18810,11.18810,9.62900,6.19520,0.05780,2.68080,2.68080,0.35810,1.86760,110.30720,6.8182,6.1313
2016-09-30,2900.57700,2410.87400,489.70310,-152.55600,152.55600,337.14720,-49.54700,287.60000,88.88100,198.71900,198.71900,198.71900,330.62420,337.14720,64.14600,64.81500,3.10000,3.07000,0.25860,0.38640,11.62350,11.62350,9.91530,6.85100,0.05290,2.48600,2.48600,0.36240,1.84300,124.49740,6.561,6.561
2016-06-30,3039.06800,2499.03200,540.03610,-159.89500,159.89500,380.14110,-26.91800,353.22300,117.12000,236.10300,236.10300,236.10300,359.84010,380.14110,64.12600,64.79600,3.68000,3.64000,0.26890,0.40740,12.50850,12.50850,11.62270,7.76890,0.05640,3.11460,3.11460,0.43820,2.27700,118.31820,3.5226,3.5226
2016-03-31,2512.56800,2208.43200,304.13600,-157.42400,157.42400,146.71190,-39.13200,107.58000,31.10800,76.47200,76.47200,76.47200,137.05790,146.71190,64.56800,65.21700,1.18000,1.17000,0.22920,0.34200,5.83910,5.83910,4.28170,3.04360,0.04810,1.13820,1.13820,0.14650,0.87730,104.87580,5.65150,5.65150
