Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9.94300,8.14100,1.80200,22.00600,11.45200,,34.75900,-32.95700,-18.93900,-51.89600,-51.89600,-57.43100,-57.43100,-31.80400,-32.95700,197.77340,197.77340,-0.29000,-0.29000,2.91170,0.86920,6.65530,18.12330,-331.45930,-331.45930,-521.93510,-577.60240,0.04600,0.67970,132.40670,-422.13250,-422.13120,-26.56190,-55.22580,0.06880,-0.1336,-0.1351
2024-06-30,17.37500,5.49100,11.88400,21.48100,11.74700,,34.68600,-22.80200,-3.27800,-26.08000,-26.08000,-27.79900,-27.79900,-21.48500,-22.80200,197.74660,197.74660,-0.14000,-0.14000,4.40290,0.30200,0.43510,68.39710,-131.23450,-131.23450,-150.10070,-159.99420,0.08200,2.12880,42.27800,-41.16180,-41.16180,-13.12050,-28.72900,0.34150,-0.0736,-0.0826
2024-03-31,10.24400,6.77000,3.47400,17.06100,11.03700,,29.62800,-26.15400,1.32700,-24.82700,-24.82700,-25.50800,-25.50800,-24.98400,-26.15400,196.97450,196.97450,-0.13000,-0.13000,6.88950,0.17390,0.21190,33.91250,-255.31040,-255.31040,-242.35650,-249.00430,0.04780,0.95840,93.90960,-27.78170,-27.78170,-11.89210,-22.95020,0.46440,-0.14360,-0.15110
2023-12-31,20.46300,11.99100,8.47200,16.30300,9.34300,,27.11700,-18.64500,1.93200,-16.71300,-16.71300,-18.67400,-18.67400,-17.54200,-18.64500,176.02320,176.02320,0.06000,0.06000,6.21630,0.14760,0.17420,41.40160,-91.11570,-91.11570,-81.67420,-91.25740,0.08470,1.83410,49.07050,-16.31330,-16.31330,-7.72850,-13.90600,0.58210,-0.1363,-0.1484
2023-09-30,19.60500,14.37100,5.23400,16.64500,11.80800,,29.82900,-24.59500,-0.26800,-24.86300,-24.86300,-25.32600,-25.32600,-23.64400,-24.59500,195.86950,195.86950,-0.13000,-0.13000,5.25980,0.03930,0.05600,26.69730,-125.45270,-125.45270,-126.81970,-129.18130,0.07960,1.94400,46.29690,-19.71280,-19.71280,-10.28060,-18.93890,0.65530,-0.1141,-0.1234
2023-06-30,12.91700,10.82700,2.09000,18.90800,12.45200,,32.70800,-30.61800,3.70200,-26.91600,-26.91600,-26.78600,-26.78600,-29.77800,-30.61800,195.53760,195.53760,-0.14000,-0.14000,6.40560,0.03840,0.04890,16.18020,-237.03650,-237.03650,-208.37660,-207.37010,0.04810,1.66330,54.11010,-17.72840,-17.72840,-9.97490,-17.04710,0.77220,-0.0122,-0.0276
2023-03-31,9.64600,7.79000,1.85600,16.28600,16.83500,,34.37800,-32.52200,-30.18200,-62.70400,-62.70400,-63.31200,-67.42900,-31.26500,-32.52200,116.53100,116.53100,-0.58000,-0.58000,7.06190,0.03390,0.03990,19.24110,-337.15530,-337.15530,-650.05180,-699.03590,0.03300,1.03980,86.55710,-37.40410,-37.40410,-21.68200,-36.13620,0.86600,-0.29010,-0.30190
2022-12-31,11.56200,9.05600,2.50600,13.33300,7.32200,,21.88200,-19.37600,-1.65200,-21.02800,-21.02800,-21.38200,-31.12900,-18.14900,-19.37600,9.30210,9.30210,-3.28000,-3.28000,2.21320,-0.01570,-0.01730,21.67440,-167.58360,-167.58350,-181.87170,-269.23550,0.06540,0.98860,91.03530,4.98740,4.98740,-12.09010,5.06550,-41.13630,-1.3769,-1.8182
2022-09-30,8.07200,5.97500,2.09700,14.26000,7.25800,,22.72900,-20.63200,-1.16800,-21.80000,-21.80000,-22.26700,-32.01500,-19.42100,-20.63200,9.22980,9.22980,-3.47000,-3.47000,0.06610,,-0.14440,25.97870,-255.59960,-255.59960,-270.06940,-396.61800,0.05340,,,436.70540,436.70010,-14.72150,436.70540,-1.35970,-3.1199,-3.2967
2022-06-30,9.85200,7.42700,2.42500,13.23700,7.14600,,21.54600,-19.12100,0.09700,-19.02400,-19.02400,-15.92900,-25.58300,-17.95800,-19.12100,9.22220,9.22220,-2.77000,-2.77000,0.10620,,-0.03650,24.61430,-194.08240,-194.08240,-193.09780,-259.67320,0.06540,,,145.76240,145.76250,-10.57570,145.76240,-2.91410,-2.6438,-2.9694
2022-03-31,7.85700,5.82900,2.02800,12.36100,5.07800,,18.49800,-16.47000,-0.02600,-16.49600,-16.49600,-16.77800,-26.30100,-15.41100,-16.47000,9.21950,9.21950,-2.85000,-2.85000,0.11970,,-0.01540,25.81140,-209.62200,-209.62200,-209.95290,-334.74610,0.05220,,,117.47390,117.47390,-11.14870,117.47390,-3.80860,-1.96520,-2.17030
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0254,0.0254
2021-09-30,,,,,0.30470,-0.13480,,-0.43950,0.90860,0.46910,0.46910,0.46910,0.46910,-0.43950,-0.43950,3.75000,3.75000,0.04000,0.04000,3.45140,,-0.00190,,,,,,,,,-4.54600,-4.54600,0.30990,-4.54600,-2.75170,-0.0254,-0.0254
2021-06-30,,,,,0.00040,,,-0.00040,,-0.00040,-0.00040,-0.00040,-0.00040,-0.00040,-0.00040,4.01580,4.01580,0.00000,0.00000,,,,,,,,,,,,,,,,,0,0
