Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.98000,2.27600,,-7.25600,0.26970,-6.98620,0.00880,-6.99500,-6.99500,-6.99500,-7.17850,-7.25600,77.01700,77.01700,-0.08800,-0.08800,2.99050,-105.36610,-105.36600,-39.33310,-105.36600,0.08610,-0.0448,-0.0451
2024-06-30,3.33050,2.45660,,-5.78710,0.55460,-5.23250,0.06940,-5.30200,-5.30200,-5.30200,-5.71680,-5.78710,76.09000,76.09000,-0.07310,-0.07310,4.99150,-39.62640,-39.62650,-22.62620,-39.62650,0.17410,-0.0636,-0.0651
2024-03-31,4.25730,2.21130,,-6.46860,1.35810,-5.11050,,-5.11050,-5.11050,-5.11050,-6.37740,-6.46860,75.24500,75.24500,-0.06670,-0.06670,8.13600,-30.01440,-30.01440,-19.83890,-30.01440,0.22580,-0.07360,-0.07400
2023-12-31,3.41910,3.07590,,-6.49490,3.65790,-2.83710,0.03170,-2.86870,-2.86870,-2.86870,-6.41700,-6.49490,67.62400,67.62400,-0.03250,-0.03250,9.00940,-14.04960,-14.04960,-9.97550,-14.04960,0.27440,-0.0732,-0.0733
2023-09-30,4.33090,3.90310,,-8.23410,0.84220,-7.39190,0.00520,-7.39710,-7.39710,-7.39710,-8.15700,-8.23410,69.80300,69.80300,-0.10600,-0.10600,4.52560,-34.20300,-34.20290,-21.53440,-34.20290,0.29470,-0.0504,-0.0504
2023-06-30,2.75280,2.57280,,-5.32560,-0.17400,-5.49970,0.03500,-5.53460,-5.53460,-5.53460,-5.25380,-5.32560,64.46800,64.46800,-0.08930,-0.08930,11.69180,-33.45920,-33.45920,-23.27790,-33.45920,0.25180,-0.0952,-0.0951
2023-03-31,2.61600,2.36170,,-4.97780,0.21950,-4.75820,,-4.75820,-4.75820,-4.75820,-4.90610,-4.97780,62.34500,62.34500,-0.07600,-0.07600,13.87650,-24.99710,-24.99710,-18.22070,-24.99710,0.29750,-0.09280,-0.09290
2022-12-31,3.61500,7.01500,,-6.34970,0.00860,-6.34110,0.04320,-6.38420,-6.38420,-6.38420,-6.27260,-6.34970,58.03000,58.03000,-0.10420,-0.10420,9.04540,-31.31780,-31.31780,-22.23130,-31.31780,0.33240,-0.0808,-0.0808
2022-09-30,2.81850,1.82460,,-4.64310,1.26830,-3.37480,0.00200,-3.37680,-3.37680,-3.37680,-4.57150,-4.64310,58.32500,58.32500,-0.06130,-0.06130,10.42110,-15.52010,-15.52010,-11.31240,-15.52010,0.37060,-0.05,-0.05
2022-06-30,2.50900,,-2.22570,-4.73470,0.76440,-3.97030,0.01940,-3.98970,-3.98970,-3.98970,-4.65890,-4.73470,57.66900,57.66900,-0.07050,-0.07050,15.49020,-16.55610,-16.55610,-12.66130,-16.55610,0.41640,-0.0915,-0.0917
2022-03-31,2.92780,,-2.05460,-4.98240,-0.36990,-5.35230,,-5.35230,-5.35230,-5.35230,-4.90540,-4.98240,56.57600,56.57600,-0.09480,-0.09480,17.95880,-19.35880,-19.35880,-15.25100,-19.35880,0.48080,-0.08730,-0.08780
2021-12-31,2.91750,,-2.99050,-5.90800,-0.19410,-6.10200,0.03380,-6.13580,-6.13580,-6.13580,-5.82930,-5.90800,53.51300,53.51300,-0.11100,-0.11100,16.69390,-21.30230,-21.30230,-16.76090,-21.30230,0.52330,-0.1018,-0.1031
2021-09-30,2.60460,,-2.28490,-4.88950,1.02480,-3.86470,0.00570,-3.87040,-3.87040,-3.87040,-4.82780,-4.88950,54.96100,54.96100,-0.07150,-0.07150,19.04460,-11.40700,-11.40700,-9.26380,-11.40700,0.61720,-0.0474,-0.0503
2021-06-30,2.60800,,-2.86680,-5.47480,-0.42500,-5.89980,,-5.89980,-5.89980,-5.89980,-5.33880,-5.47480,54.32520,54.32520,-0.10580,-0.10580,21.47070,-15.58750,-15.58760,-12.86840,-15.58760,0.68870,-0.0968,-0.0969
2021-03-31,2.17910,,-2.48150,-4.66050,-0.42160,-5.08220,,-5.08220,-5.08220,-5.08220,-4.57620,-4.66050,49.66700,49.66700,-0.10270,-0.10270,22.15270,-14.40520,-14.40520,-11.87650,-14.40520,0.66760,-0.08850,-0.08850
2020-12-31,3.08020,,-3.06240,-6.14260,-0.95320,-7.10590,,-7.10590,-7.10590,-7.10590,-6.06370,-6.14260,40.33900,40.33900,-0.18270,-0.14540,12.45290,-38.45570,-38.45560,-27.71510,-38.45560,0.40020,-0.1144,-0.1144
2020-09-30,2.89340,,-1.84800,-4.74140,-0.33490,-5.06620,,-5.06620,-5.06620,-5.06620,-4.65230,-4.74140,41.72000,41.72000,-0.12010,-0.12010,9.09180,-32.18120,-32.18130,-21.60140,-32.18130,0.37190,-0.1079,-0.1082
2020-06-30,1.80310,,-2.19950,-4.00270,-0.92330,-4.92600,,-4.92600,-4.92600,-4.92600,-3.92270,-4.00270,39.60400,39.60400,-0.12270,-0.12270,8.81140,-28.46040,-28.46040,-19.72990,-28.46040,0.42400,-0.1069,-0.1069
2020-03-31,1.88640,,-2.23220,-4.11850,4.41660,0.29800,,0.29800,0.29800,0.29800,-4.03350,-4.11850,35.86600,37.23300,0.00750,-0.02980,7.89020,1.70560,1.70560,1.15670,1.70560,0.46200,-0.07920,-0.07940
2019-12-31,2.13650,,-3.11990,-5.25640,-9.38790,-14.64440,,-14.64440,-14.64440,-14.64440,-5.17110,-5.25640,22.13800,22.13800,-0.61170,-0.61170,1.47100,18010.60000,18010.71000,-98.85390,18010.79000,-0.00250,-0.2543,-0.2544
2019-09-30,1.22590,,-1.38950,-2.61530,-0.05800,-2.67330,,-2.67330,-2.67330,-2.67330,-2.52570,-2.61530,22.64200,22.64200,-0.12120,-0.12120,3.78020,-102.24530,-102.24540,-21.66770,-102.24540,0.10440,-0.1219,-0.1219
2019-06-30,2.62360,,-1.34610,-3.96970,0.04140,-3.92830,,-3.92830,-3.92830,-3.92830,-3.88370,-3.96970,20.18100,20.18100,-0.19440,-0.19440,3.21110,-138.69930,-138.69910,-34.33400,-138.69910,0.13910,-0.1632,-0.1634
2019-03-31,2.40500,,-1.34800,-3.75300,0.03760,-3.71540,,-3.71540,-3.71540,-3.71540,-3.64800,-3.75300,18.42600,18.42600,-0.20310,-0.20310,3.39050,-86.64420,-86.64430,-30.00240,-86.64430,0.22510,-0.13820,-0.13830
2018-12-31,1.88190,,-1.80090,-3.68280,0.04930,-3.63350,-0.00170,-3.63180,-3.63180,-3.63160,-3.66100,-3.68280,16.01600,16.01600,-0.23000,-0.23000,5.13490,-75.98440,-75.98420,-31.66780,-75.98420,0.27470,-0.2259,-0.2256
2018-09-30,1.47680,,-1.12380,-2.60060,0.04740,-2.55320,0.00010,-2.55330,-2.55330,-2.55330,-2.58050,-2.60060,16.54100,16.54100,-0.15310,-0.15310,5.46370,-36.86290,-36.86280,-18.37960,-36.86280,0.40950,-0.1461,-0.1476
2018-06-30,1.58520,,-1.27010,-2.85530,0.01590,-2.83940,0.42450,-3.26390,-3.26390,-3.26390,-2.83920,-2.85530,15.40690,15.40690,-0.20930,-0.20930,5.17870,-38.40180,-38.40190,-20.35150,-38.40190,0.51450,0.0412,0.0395
2018-03-31,2.32210,,-1.39450,-3.71660,0.02130,-3.69530,-0.00010,-3.69520,-3.69520,-3.69540,-3.70090,-3.71660,14.97890,14.97890,-0.22540,-0.22540,3.33540,-98.46530,-98.46540,-33.06000,-98.46540,0.25040,-0.24340,-0.24570
2017-12-31,1.98330,,-1.69080,-3.67420,0.02620,-3.64800,0.10890,-3.75690,-3.75690,-3.75720,-3.66030,-3.67420,13.94130,13.94130,-0.29710,-0.29710,3.40690,-58.79220,-58.79210,-26.83270,-58.79210,0.42790,-0.1903,-0.1909
2017-09-30,1.37780,,-1.04490,-2.42270,0.02530,-2.39740,0.00010,-2.39750,-2.39750,-2.39720,-2.40360,-2.42270,14.69100,14.69100,-0.15190,-0.15190,5.21400,-24.90190,-24.90190,-20.23640,-24.90190,0.65000,-0.1626,-0.163
2017-06-30,2.17060,,-1.07430,-3.24490,0.01050,-3.23440,0.00010,-3.23450,-3.23450,-3.23450,-3.22610,-3.24490,13.40990,13.40990,-0.21190,-0.21190,5.20200,-30.48210,-30.48210,-24.74090,-30.48210,0.72380,-0.2376,-0.2421
2017-03-31,1.71380,,-0.98250,-2.69630,0.03830,-2.65790,0.00000,-2.65800,-2.65800,-2.65800,-2.67810,-2.69630,12.76850,12.76850,-0.21840,-0.21840,3.08230,-48.35660,-48.35660,-33.11320,-48.35660,0.43050,-0.23350,-0.23380
2016-12-31,2.59110,,-1.36930,-3.96030,0.02110,-3.93920,0.00710,-3.94630,-3.94630,-3.94650,-3.94110,-3.96030,12.62340,12.62340,-0.35890,-0.35890,3.54870,-48.88400,-48.88390,-35.40730,-48.88390,0.63220,-0.2226,-0.2234
2016-09-30,1.64290,,-0.93770,-2.58070,0.02430,-2.55640,0.00000,-2.55630,-2.55630,-2.55630,-2.54770,-2.58070,12.69420,12.69420,-0.21850,-0.21850,6.44470,-21.32350,-21.32350,-18.07470,-21.32350,0.94190,-0.176,-0.1763
2016-06-30,1.15700,,-0.87340,-2.03030,0.02760,-2.00280,-0.00010,-2.00260,-2.00260,-2.00260,-1.99350,-2.03030,12.59410,12.59410,-0.14740,-0.14740,7.55020,-13.88450,-13.88450,-12.07760,-13.88450,1.15200,-0.1708,-0.1711
2016-03-31,1.98730,,-0.99170,-2.97910,0.05080,-2.92830,0.00010,-2.92840,-2.92840,-2.92820,-2.94560,-2.97910,12.44650,12.44650,-0.20770,-0.20770,8.85210,-19.62550,-19.62550,-17.44810,-19.62550,1.19380,-0.17710,-0.17710
2015-12-31,1.46000,1.17000,,-2.63000,0.04000,-2.58000,0.00470,-2.58470,-2.62000,-2.62000,-2.59000,-2.63000,12.27400,12.27400,-0.18990,-0.18990,9.94810,-13.56810,-13.55410,-12.21450,-13.55410,,-0.2988,-0.303
2015-09-30,1.30000,0.89000,,-2.19000,0.04000,-2.16000,-0.00310,-2.15690,-3.69400,-3.69400,-2.16000,-2.19000,12.42200,12.42200,-0.28490,-0.28490,9.34800,-17.41630,-17.41630,-15.57990,-17.42450,,-0.1303,-0.1311
2015-06-30,2.01000,1.15000,,-3.16000,0.03000,-3.13000,0.00080,-3.13080,-3.13100,-3.13100,-3.12000,-3.16000,12.06200,12.06200,-0.28490,-0.28490,10.72980,-12.77960,-12.77440,-11.60060,-12.77960,,-0.319,-0.3197
