Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-03-31,1.96000,0.95000,,-2.91000,0.04000,-2.87000,0.00000,-2.87000,-2.94200,-2.94200,-2.88000,-2.91000,10.48300,10.48300,-0.28490,-0.28490,7.24640,-13.40320,-13.39710,-11.57810,-13.40320,,-0.21080,-0.21170
2014-12-31,2.20000,1.15000,,-3.35000,0.05000,-3.31000,-0.00020,-3.30980,-4.80300,-4.80300,-3.31000,-3.35000,9.94820,9.94820,-0.47480,-0.47480,4.94750,-38.39330,-38.36260,-30.84780,-38.39330,,-0.1791,-0.1792
2014-09-30,3.28000,1.01000,,-4.29000,0.03000,-4.26000,-0.00090,-4.25910,-4.06200,-4.06200,-4.26000,-4.29000,9.32880,9.32880,-0.47480,-0.47480,5.32010,-29.91160,-29.88960,-24.44040,-29.91160,,-0.4112,-0.423
2014-06-30,3.25000,1.10000,,-4.35000,0.04000,-4.32000,0.00370,-4.32370,-4.30700,-4.30700,-4.31000,-4.35000,9.11710,9.11710,-0.47480,-0.47480,5.33930,-28.69420,-28.67510,-23.43310,-28.69420,,-0.5775,-0.5775
2014-03-31,3.79000,1.26000,,-5.05000,0.07000,-4.97000,0.00360,-4.97360,-5.03600,-5.03600,-5.02000,-5.05000,8.96610,8.96610,-0.56980,-0.56980,4.66670,-30.50270,-30.48430,-24.09570,-30.48430,,-0.62350,-0.62460
2013-12-31,4.38000,1.22000,,-5.60000,0.09000,-5.52000,0.00490,-5.52490,-6.43900,-6.43900,-5.56000,-5.60000,8.93340,8.93340,-0.75970,-0.75970,4.61240,-29.85160,-29.83780,-23.49140,-29.85170,,-0.4983,-0.4983
2013-09-30,4.81000,1.17000,,-5.98000,0.10000,-5.88000,0.00000,-5.88000,-5.85500,-5.85500,-5.94000,-5.98000,8.92510,8.92510,-0.66480,-0.66480,6.52120,-22.01960,-22.01130,-18.69410,-22.01960,,-0.679,-0.6902
2013-06-30,3.71000,1.29000,,-5.00000,0.10000,-4.90000,0.00000,-4.90000,-4.87400,-4.87400,-4.98000,-5.00000,8.92510,8.92510,-0.56980,-0.56980,7.14910,-14.73840,-14.73400,-12.69930,-14.73400,,-0.4872,-0.5017
2013-03-31,5.07000,1.55000,,-6.62000,0.07000,-6.55000,0.00000,-6.55000,-6.59600,-6.59600,-6.60000,-6.62000,8.39940,8.39940,-0.75970,-0.75970,7.80290,-17.19500,-17.19500,-15.01140,-17.19500,,-0.99290,-0.99410
2012-12-31,6.83000,1.81000,,-8.64000,0.07000,-8.57000,0.02300,-8.59300,-8.27100,-8.27100,-8.62000,-8.64000,8.12950,8.12950,-1.04460,-1.04460,2.97390,-55.88510,-55.88510,-37.44230,-55.92290,,-0.7878,-0.789
2012-09-30,8.16000,1.18000,,-9.34000,0.07000,-9.27000,0.01000,-9.28000,-9.31400,-9.31400,-9.31000,-9.34000,8.06670,8.06670,-1.13960,-1.13960,4.27000,-41.43240,-41.45080,-31.88630,-41.45080,,-1.0071,-1.0095
2012-06-30,8.96000,1.21000,,-10.17000,0.09000,-10.08000,-0.00300,-10.07700,-10.16100,-10.16100,-10.14000,-10.17000,8.06000,8.06000,-1.23460,-1.23460,6.89710,-32.39080,-32.37020,-27.73200,-32.38050,,-1.3404,-1.3478
2012-03-31,7.47000,1.08000,,-8.55000,0.11000,-8.44000,0.00000,-8.44000,-8.42100,-8.42100,-8.53000,-8.55000,7.85040,7.85040,-1.04460,-1.04460,7.73760,-20.42940,-20.42940,-17.81090,-20.42940,,-1.08020,-1.08400
2011-12-31,9.56000,2.02000,,-11.67000,0.13000,-11.56000,0.04000,-11.60000,-11.79900,-11.79900,-11.65000,-11.67000,7.68510,7.68510,-1.51950,-1.51950,5.48020,-39.50120,-39.50120,-32.37040,-39.50120,,-0.876,-0.8951
2011-09-30,5.43000,1.04000,,-6.47000,0.10000,-6.37000,0.00000,-6.37000,-6.10900,-6.10900,-6.44000,-6.47000,7.49960,7.49960,-0.85470,-0.85470,12.32680,-15.09510,-15.09140,-13.87460,-15.09140,,-0.8838,-0.8919
2011-06-30,5.66000,1.10000,,-6.76000,-0.63000,-7.40000,0.00000,-7.40000,-6.75700,-6.75700,-6.73000,-6.76000,7.49830,7.49830,-0.85470,-0.85470,11.83100,-14.37050,-14.36740,-13.15870,-14.37050,,-0.6775,-0.6828
2011-03-31,3.01000,1.14000,,-4.15000,0.12000,-4.02000,0.00000,-4.02000,-4.15100,-4.15100,-4.14000,-4.15000,7.36640,7.36640,-0.56980,-0.56980,23.10130,-7.78070,-7.78070,-7.44970,-7.78070,,-0.53080,-0.53210
2010-12-31,3.25000,3.97000,,-7.25000,-7.80000,-15.03000,0.00780,-15.03780,-7.25500,-7.25500,-7.23000,-7.25000,6.52940,6.52940,-1.13960,-1.13960,17.43800,-17.82120,-17.81680,-16.81730,-17.82120,,-0.4133,-0.4157
2010-09-30,2.40000,1.24000,,-3.65000,7.52000,3.85000,0.00000,3.85000,-3.99700,-3.99700,-3.63000,-3.65000,6.03060,6.03060,-0.66480,-0.66480,11.18970,-21.50080,-21.50080,-19.66060,-21.50080,,-0.8722,-0.8743
2010-06-30,3.46000,1.10000,,-4.57000,0.34000,-4.23000,0.00000,-4.23000,-4.20700,-4.20700,-4.56000,-4.57000,6.48180,6.48180,-0.66480,-0.66480,7.05650,-18.85700,-18.84860,-16.26840,-18.84860,,-0.6649,-0.6705
2010-03-31,2.72000,0.91000,,-3.64000,-0.32000,-3.97000,0.00000,-3.97000,4.04700,4.04700,-3.63000,-3.64000,6.48120,6.48120,0.66480,0.66480,10.01070,15.47020,15.46430,13.96480,15.47020,,-0.73130,-0.73190
2009-12-31,2.86000,1.20000,,-4.07000,-0.11090,-4.15000,0.01000,-4.16000,-4.17000,-4.17000,-4.06000,-4.07000,,,,0.00000,8.20970,-15.10320,-15.10320,-13.30990,-15.10320,,2.1387,2.1396
2009-09-30,1.77000,0.67000,,-2.45000,0.01000,-2.45000,0.00000,-2.45000,-2.53100,-2.53100,-2.43000,-2.45000,5.20880,5.20880,-0.47480,-0.47480,3.22260,-39.11910,-38.99850,-27.15670,-39.05860,,-0.5151,-0.5155
2009-06-30,2.77000,0.84000,,-3.70000,0.00090,-3.71000,0.00000,-3.71000,-4.01000,-4.01000,-3.62000,-3.70000,5.08740,5.08740,-0.75970,-0.75970,3.88770,-49.20250,-49.08200,-36.68800,-49.08200,,-0.7573,-0.7572
2009-03-31,2.81000,0.99000,,-3.90000,-0.03000,-3.95000,0.00000,-3.95000,-3.34800,-3.34800,-3.80000,-3.90000,4.61740,4.61740,-0.75970,-0.75970,2.21550,-60.65220,-61.54410,-34.16330,-60.65220,,-0.86630,-0.86690
