Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,690.16400,690.16400,52.33700,,130.23210,,130.23200,26.26100,103.97100,103.97100,91.64600,678.89010,347.69510,111.37700,111.80400,0.82000,0.82000,0.43410,0.72430,2.62670,100.00000,18.86970,50.37860,18.86970,13.27890,0.02150,1.35460,1.35450,0.32340,0.37350,68.91640,4.1274,-3.3844
2024-06-30,667.28800,667.28800,54.26900,,127.74100,,127.74100,24.79500,102.94600,102.94600,90.43800,652.55510,331.03700,111.37200,111.74100,0.81000,0.81000,0.49690,0.72920,2.69310,100.00000,19.14330,49.60930,19.14330,13.55310,0.02150,1.40880,1.40880,0.33190,0.38150,65.60820,3.6971,-7.0936
2024-03-31,663.31000,663.31000,56.01800,,135.32900,,135.32900,27.46300,107.86600,107.86600,97.44100,644.73600,330.03200,111.17500,111.53000,0.88000,0.87000,0.47920,0.72930,2.69360,100.00000,20.40210,49.75530,20.40210,14.69010,0.02150,1.49160,1.49150,0.34890,0.40380,64.93790,3.32940,-2.32220
2023-12-31,716.56700,716.56700,61.08400,,266.39890,,266.39900,45.34800,221.05090,221.05090,210.62600,756.57090,449.39200,111.00500,111.43900,1.89000,1.88000,0.39900,0.72820,2.67910,100.00000,37.17710,62.71460,37.17710,29.39380,0.02350,3.08730,3.08730,0.72590,0.83910,64.48920,4.1594,-6.3668
2023-09-30,659.36400,659.36400,51.48900,,165.01800,,165.01800,32.56800,132.45000,132.45000,122.02500,640.46800,340.48200,111.02700,111.34700,1.10000,1.10000,0.36810,0.72820,2.67860,100.00000,25.02680,51.63790,25.02680,18.50650,0.02220,1.90280,1.90270,0.44640,0.51720,62.69690,3.5973,12.676
2023-06-30,672.90400,672.90400,54.54700,,163.95100,,163.95100,31.55000,132.40100,132.40100,121.97600,649.74400,349.77100,111.02100,111.23900,1.10000,1.10000,0.40660,0.73390,2.75740,100.00000,24.36470,51.97930,24.36470,18.12680,0.02260,1.93210,1.93210,0.44490,0.51420,61.72060,4.7851,-7.8288
2023-03-31,636.14200,636.14200,53.51000,,158.26600,,158.26600,29.54600,128.72000,128.72000,118.29500,614.02800,322.95200,110.94400,111.20000,1.07000,1.06000,1.03000,0.74250,2.88340,100.00000,24.87900,50.76730,24.87900,18.59570,0.02170,1.90850,1.90850,0.43840,0.49140,60.75380,3.13390,-8.31730
2022-12-31,601.61100,601.61100,51.66700,30.87600,180.17690,,180.17700,34.86600,145.31100,145.31100,134.88600,607.41690,327.95990,111.62700,111.62700,1.12000,1.12000,1.11930,0.73720,2.80470,100.00000,29.94910,54.51360,29.94910,22.42080,0.02120,2.18640,2.18630,0.51170,0.57460,59.93550,3.7532,-2.2981
2022-09-30,561.33400,561.33400,45.48200,,137.83900,,137.83900,27.45800,110.38100,110.38100,99.95600,540.39390,273.34900,110.89200,111.09000,0.90000,0.90000,1.84830,0.74190,2.87500,100.00000,24.55560,48.69630,24.55560,17.80690,0.01990,1.69080,1.69080,0.39110,0.43630,58.87200,2.4254,-3.8246
2022-06-30,557.69600,557.69600,45.07000,,144.93200,,144.93200,28.65500,116.27700,116.27700,105.85200,536.19900,277.34200,110.86800,111.04400,0.95000,0.95000,1.64490,0.74010,2.84740,100.00000,25.98760,49.73000,25.98760,18.98020,0.02020,1.80570,1.80560,0.42060,0.46930,58.07120,3.9671,-8.7793
