Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,15.34200,15.34200,47.99800,15.77800,-48.43400,6.21400,-42.22000,,-42.22000,-42.22000,-42.22000,-49.50600,-48.43400,97.51960,97.51960,-0.43000,-0.43000,3.29320,100.00000,-315.69550,-315.69550,-275.19230,-275.19230,0.02970,,,-35.49900,-35.49900,-8.18180,-35.49900,1.21450,-0.5092,-0.5112
2024-06-30,15.08300,15.08300,46.31400,14.37500,-45.60600,7.00300,-38.60300,0.07300,-38.67600,-38.67600,-38.67600,-47.28300,-45.60600,96.67490,96.67490,-0.40000,-0.40000,3.51910,100.00000,-302.36690,-302.36690,-255.93710,-256.42110,0.02640,,,-25.68690,-25.68690,-6.77660,-25.68690,1.54710,-0.6302,-0.6335
2024-03-31,15.89300,15.89300,45.16700,14.43400,-43.70800,7.63600,-36.07200,0.00700,-36.07900,-36.07900,-36.07900,-45.99600,-43.70800,93.81020,93.81020,-0.38000,-0.38000,3.52530,100.00000,-275.01420,-275.01420,-226.96780,-227.01190,0.02500,,,-20.16630,-20.16630,-5.67730,-20.16630,1.85620,-0.65390,-0.65960
2023-12-31,15.19000,15.19000,47.72300,14.92000,-47.45300,7.68500,-39.76800,1.66600,-41.43400,-41.43400,-41.43400,-50.00300,-47.45300,83.73370,83.73370,-0.50000,-0.50000,3.17960,100.00000,-312.39650,-312.39650,-261.80390,-272.77170,0.02440,,,-30.88450,-30.88450,-6.66330,-30.88450,1.58060,-0.554,-0.5568
2023-09-30,9.10900,9.10900,46.32800,13.36400,-50.58300,7.36000,-43.22300,1.25200,-44.47500,-44.47500,-44.47500,-52.91700,-50.58300,83.92800,83.92800,-0.53000,-0.53000,3.94560,100.00000,-555.30790,-555.30790,-474.50870,-488.25340,0.01350,0.87040,103.39770,-27.36000,-27.36000,-6.61440,-27.36000,1.93200,-0.5498,-0.5486
2023-06-30,56.21400,56.21400,46.17700,13.62600,-3.58900,6.35700,2.76800,1.39300,1.37500,1.37500,1.37500,-4.68100,-3.58900,83.49710,83.56630,0.02000,0.02000,4.89900,100.00000,-6.38450,-6.38450,4.92400,2.44600,0.07930,7.18390,12.52800,0.70040,0.70040,0.19400,0.70040,2.34170,-0.5114,-0.5259
2023-03-31,16.54900,16.54900,51.88700,14.77700,-50.11500,5.15900,-44.95600,0.90100,-45.85700,-45.85700,-45.85700,-50.60900,-50.11500,83.10230,83.10230,-0.55000,-0.55000,6.90840,100.00000,-302.82800,-302.82800,-271.65390,-277.09830,0.02210,3.52180,25.55500,-25.05640,-25.05640,-6.12780,-25.05640,2.19570,-0.58420,-0.59650
2022-12-31,14.44000,14.44000,54.49300,15.38500,-55.43800,3.73100,-51.70700,0.72100,-52.42800,-52.42800,-52.42800,-54.75700,-55.43800,82.46760,82.46760,-0.64000,-0.64000,7.74380,100.00000,-383.91920,-383.91930,-358.08150,-363.07460,0.01830,5.58180,16.12400,-24.44860,-24.44860,-6.65630,-24.44860,2.58690,-0.5927,-0.602
2022-09-30,14.85200,14.85200,48.34800,14.25200,-47.74800,2.33300,-45.41500,0.73300,-46.14800,-46.14800,-46.14800,-46.15400,-47.74800,82.60280,82.60280,-0.56000,-0.56000,4.81680,100.00000,-321.49200,-321.49200,-305.78370,-310.71910,0.01770,2.28810,39.33410,-18.23280,-18.23280,-5.51330,-18.23280,3.06050,-0.594,-0.6172
2022-06-30,79.85100,79.85100,54.53400,15.84200,9.47500,1.45000,10.92500,1.04200,9.88300,9.88300,9.88300,11.68000,9.47500,82.39480,82.58840,0.12000,0.12000,5.53530,100.00000,11.86590,11.86590,13.68170,12.37680,0.08980,9.05750,9.93650,3.42550,3.42550,1.11090,3.42550,3.49530,-0.7052,-0.7142
