Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.02800,0.01500,0.01300,126.13900,30.56900,156.70800,-156.69500,13.37000,-143.32500,0.55300,-143.87800,-143.87800,-143.87800,-147.79200,-156.69500,695.01100,695.01100,-0.21000,-0.21000,16.12110,,,46.42860,-559624.90000,-559624.90000,-511874.90000,-513850.00000,0.00270,33428.57000,-18.42140,-19.00240,-14.92110,-18.42140,1.08920,-0.1562,-0.1703
2024-06-30,0.02800,0.01500,0.01300,112.99600,31.30400,144.30000,-144.28700,21.00500,-123.28200,0.01000,-123.29200,-123.29200,-123.29200,-135.60200,-144.28700,689.32400,689.32400,-0.18000,-0.18000,19.87310,,,46.42860,-515310.70000,-515310.70000,-440292.80000,-440328.60000,0.00210,42640.71000,-13.78210,-14.18310,-11.43910,-13.78210,1.25310,-0.1417,-0.1538
2024-03-31,0.02500,0.01500,0.01000,115.63600,30.27100,145.90700,-145.89700,51.34600,-94.55100,0.03600,-94.58700,-94.58700,-94.58700,-137.39000,-145.89700,681.74900,681.74900,-0.14000,-0.14000,24.88730,,,40.00000,-583588.00000,-583588.00000,-378204.00000,-378348.00000,0.00360,24980.40000,-9.69990,-9.89290,-8.12350,-9.69990,1.38260,-0.15640,-0.16650
2023-12-31,,,,102.12300,26.95100,,-129.27400,13.16000,-115.08200,0.02100,-115.10300,-115.10300,-115.10300,-121.13300,-128.24200,647.90800,647.90800,-0.15000,-0.15000,23.39040,,,,,,,,,,-11.12790,-11.35400,-9.06730,-11.12790,1.48130,-0.1511,-0.1654
2023-09-30,,,,100.55900,27.60800,,-128.16700,129.72000,1.55300,0.02800,1.52500,1.52500,1.52500,-120.34000,-128.16700,672.56000,691.45500,0.00000,0.00000,22.77870,,,,,,,,,,0.13750,0.14030,0.11300,0.13750,1.59690,-0.0972,-0.1079
2023-06-30,,,,88.84900,27.12000,,-115.96900,-170.05400,-286.02300,0.05600,-286.07900,-286.07900,-286.07900,-108.51100,-115.96900,636.67900,636.67900,-0.45000,-0.45000,27.77650,,,,,,,,,,-26.37760,-26.96370,-20.05180,-26.37760,1.56600,-0.1063,-0.114
2023-03-31,,,,75.51800,24.19800,,-99.71600,-13.64300,-113.35900,0.03400,-113.39300,-113.39300,-113.39300,-92.64900,-99.71600,605.18500,605.18500,-0.19000,-0.19000,33.41820,,,,,,,,,,-10.60250,-10.85730,-9.30420,-10.60250,1.69890,-0.12980,-0.14430
2022-12-31,,,,76.13500,25.22200,,-101.35700,34.47000,-66.88700,0.05700,-66.94400,-66.94400,-66.94400,-94.78400,-101.35700,585.54400,585.54400,-0.10000,-0.10000,35.89640,,,,,,,,,,-5.74750,-5.88180,-5.17750,-5.74750,1.87080,-0.0898,-0.1418
2022-09-30,,,,73.87000,23.25100,,-97.12100,17.92000,-79.20100,0.00500,-79.20600,-79.20600,-79.20600,-90.77200,-97.12100,583.97000,583.97000,-0.14000,-0.14000,38.33190,,,,,,,,,,-6.82720,-6.99730,-6.21800,-6.82720,1.90320,-0.1161,-0.1252
2022-06-30,,,,74.20500,25.17700,,-99.38200,49.83300,-49.54900,0.02500,-49.57400,-49.57400,-49.57400,-93.52100,-99.38200,581.26600,581.26600,-0.09000,-0.09000,39.23910,,,,,,,,,,-4.03480,-4.13440,-3.65500,-4.03480,2.02350,-0.0909,-0.1049
2022-03-31,,,,72.07100,22.27200,,-94.34300,32.02900,-62.31400,0.00500,-62.31900,-62.31900,-62.31900,-89.13100,-94.34300,579.09100,579.09100,-0.11000,-0.11000,68.41410,,,,,,,,,,-4.92860,-5.02920,-4.37850,-4.92860,2.08710,-0.10610,-0.12480
2021-12-31,,,,57.25800,19.93400,,-77.19200,71.69100,-5.50100,-10.54600,5.04500,5.04500,5.04500,-72.71600,-77.19200,294.85200,294.85200,0.54000,0.54000,95.21530,,,,,,,,,,0.38310,0.39060,0.33900,0.38310,2.17940,-0.2826,-0.3386
2021-09-30,,,,52.09200,15.60700,,-67.69900,-11.15900,-78.85800,,-78.85800,-78.85800,-78.85800,-63.52700,-67.69900,385.56100,385.56100,-0.20000,-0.20000,181.83530,0.00110,0.00210,,,,,,,,-6.04430,-6.13220,-5.14750,-6.03740,2.15890,0.3116,0.3875
2021-06-30,,,,54.03400,14.33600,,-68.37000,3.36900,-65.00100,0.00500,-65.00600,-65.00600,-65.00600,-64.40800,-68.37000,111.89900,111.89900,-0.58000,-0.58000,0.74560,,,,,,,,,,-1300.11700,-1300.12000,-9.40920,-1300.11800,0.19350,-0.4257,-0.5095
2021-03-31,,,,34.18400,11.64400,,-45.82800,4.32700,-41.50100,0.00400,-41.50500,-41.50500,-41.50500,-42.49500,-45.82800,111.01300,111.01300,-0.37000,-0.37000,2.23800,,,,,,,,,,-830.09940,-830.10000,-6.00370,-830.09920,0.19280,-0.26720,-0.31300
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.7214,0.8908
2020-09-30,,,,30.71300,5.51500,,-36.22800,8.20600,-28.02200,0.00600,-28.02800,-28.02800,-28.02800,-36.22800,-36.22800,104.76100,104.76100,-0.27000,-0.27000,3.57440,,,,,,,,,,-560.55980,-560.56000,-4.04030,-560.55980,0.25100,-0.7214,-0.8908
