Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,21.25800,5.81000,-27.06800,3.91200,-23.15600,-23.15600,-23.15600,-23.15600,-26.27600,-27.06800,48.26750,48.26750,-0.48000,-0.48000,17.44270,-8.02900,-8.02900,-7.58140,-8.02900,6.10320,-0.249,-0.2494
2024-06-30,18.82600,5.77700,-24.60300,4.65300,-19.95000,-19.95000,-19.95000,-19.95000,-25.12800,-24.60300,48.07500,48.07500,-0.41000,-0.41000,14.39160,-6.54240,-6.54240,-6.10010,-6.54240,6.46410,-0.3554,-0.3554
2024-03-31,19.97000,6.01700,-25.98700,3.24900,-22.73800,-22.73800,-22.73800,-22.73800,-26.56900,-25.98700,42.04560,42.04560,-0.54000,-0.54000,13.47130,-7.15680,-7.15680,-6.63350,-7.15680,6.79120,-0.55560,-0.55610
2023-12-31,17.90500,4.82400,-22.72900,3.35900,-19.37000,-19.37000,-19.37000,-19.37000,-24.43900,-22.72900,35.54620,35.54620,-0.29000,-0.29000,10.27850,-7.87700,-7.87700,-7.12480,-7.87700,5.95530,-0.5346,-0.5355
2023-09-30,19.60600,4.64200,-24.24800,3.47900,-20.76900,-20.76900,-20.76900,-20.76900,-26.15400,-24.24800,41.03090,41.03090,-0.51000,-0.51000,22.23740,-7.93470,-7.93470,-7.57880,-7.93470,6.35230,-0.386,-0.3864
2023-06-30,15.18300,4.95100,-20.13400,3.41300,-16.72100,-16.72100,-16.72100,-16.72100,-20.89100,-20.13400,40.96100,40.96100,-0.41000,-0.41000,30.95820,-5.99330,-5.99330,-5.79580,-5.99330,6.77970,0.3228,0.3216
2023-03-31,11.88000,4.53800,-16.41800,1.69400,-14.72400,-14.72400,-14.72400,-14.72400,-16.35100,-16.41800,18.51460,18.51460,-0.80000,-0.80000,27.23480,-5.05260,-5.05260,-4.86160,-5.05260,7.08930,-1.12580,-1.12750
2022-12-31,8.19700,1.96600,-10.16300,0.61300,-9.55000,-9.55000,-9.55000,-9.55000,-10.09900,-10.16300,3.12430,3.12430,-2.91000,-2.91000,8.00340,12.43090,-13.09580,-11.46490,-13.09580,20.42680,-2.8547,-2.8923
2022-09-30,7.82900,3.10500,-10.93400,0.38000,-10.55400,-10.55400,-10.55400,-10.55400,-10.87400,-10.93400,3.22870,3.22870,-3.27000,-3.27000,32.51050,-18.42340,-18.42340,-17.85670,-18.42340,8.71690,-1.7792,-1.7774
2022-06-30,7.93700,1.07900,-9.01600,0.12700,-8.88900,-8.88900,-8.88900,-8.88900,-8.96400,-9.01600,3.10400,3.10400,-2.86000,-2.86000,19.45970,-14.48570,-14.48570,-13.74600,-14.48570,9.33750,-2.0315,-2.1242
