,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2025-02-27,2024-12-31,$0.50,$0.60
1,2024-11-04,2024-09-30,$0.37,$0.37
2,2024-08-05,2024-06-30,$0.54,$0.64
3,2024-05-06,2024-03-31,$0.31,$0.45
4,2024-03-04,2023-12-31,$0.02,$-0.38
5,2023-11-06,2023-09-30,$-0.07,$0.11
6,2023-08-07,2023-06-30,$0.01,$0.35
7,2023-05-08,2023-03-31,$0.10,$0.20
8,2023-03-09,2022-12-31,$-0.24,$0.22
9,2022-11-07,2022-09-30,--,$0.24
10,2022-08-09,2022-06-30,$0.30,$0.30
11,2022-05-09,2022-03-31,$0.26,$0.51
12,2022-03-08,2021-12-31,$0.24,$0.47
13,2021-11-08,2021-09-30,$-0.05,$0.30
14,2021-08-04,2021-06-30,$0.24,$0.24
15,2021-05-07,2021-03-31,$0.29,$0.29
16,2021-03-09,2020-12-31,--,$-0.03
17,2020-11-06,2020-09-30,$0.04,$0.04
18,2020-08-07,2020-06-30,$0.08,$0.17
19,2020-05-08,2020-03-31,$0.11,$0.36
20,2020-03-06,2019-12-31,$0.19,$0.47
21,2019-11-07,2019-09-30,$0.01,$0.01
22,2019-08-16,2019-06-30,$0.57,$0.58
23,2019-05-10,2019-03-31,$0.38,$0.44
24,2019-03-07,2018-12-31,$0.24,$1.27
25,2018-11-07,2018-09-30,$0.14,$0.15
26,2018-08-08,2018-06-30,$0.28,$0.29
27,2018-05-09,2018-03-31,$0.53,$0.54
28,2018-03-07,2017-12-31,$0.23,$0.34
29,2017-11-07,2017-09-30,$0.15,$0.18
30,2017-08-07,2017-06-30,--,$0.25
31,2017-05-10,2017-03-31,--,$0.26
32,2017-03-07,2016-12-31,--,$0.19
33,2016-11-07,2016-09-30,--,$0.06
34,2016-07-25,2016-06-30,--,$0.15
35,2016-05-04,2016-03-31,--,$-0.02
36,2016-02-24,2015-12-31,--,$-0.13
37,2015-10-27,2015-09-30,--,$-0.12
38,2015-07-29,2015-06-30,--,$0.08
39,2015-04-28,2015-03-31,--,$0.03
40,2015-02-03,2014-12-31,--,$0.02
