Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,147.35700,122.64900,24.70800,1.10200,12.47100,13.57300,11.13500,-1.71800,9.41700,1.71500,7.70200,7.70200,7.70200,15.42300,11.13500,12.64200,12.80000,0.60000,0.60000,7.61710,0.20890,0.26400,16.76740,7.55650,7.55650,6.39060,5.22680,0.21030,0.29540,1.50800,59.68360,1.74230,1.78410,1.09920,1.37840,34.58160,1.32950,0.98980
2023-09-30,160.59600,130.81400,29.78200,1.09800,12.54200,13.64000,16.14190,-1.31200,14.83000,1.70200,13.12800,13.12800,13.12800,20.75790,16.14200,12.56700,12.78000,1.02000,1.01000,7.02140,0.21970,0.28160,18.54470,10.05130,10.05130,9.23440,8.17460,0.22740,0.31590,1.47790,60.89670,3.02260,3.09710,1.85880,2.35850,34.11280,-0.8341,-1.1973
2023-06-30,143.90100,117.83900,26.06200,1.00800,11.83200,12.84000,13.22200,-1.77300,11.44900,2.69000,8.75900,8.75900,8.75900,18.03300,13.22200,12.61100,12.79600,0.69000,0.68000,6.51300,0.20450,0.25710,18.11110,9.18830,9.18830,7.95620,6.08680,0.20910,0.28620,1.57820,57.02800,2.11830,2.17370,1.27270,1.68500,32.47730,1.0687,0.7192
2023-03-31,152.78600,121.90800,30.87800,1.04700,12.70200,13.74900,17.12900,-1.49000,15.63900,3.29000,12.34900,12.34900,12.34900,21.70400,17.12900,12.54400,12.78700,0.98000,0.96000,6.85300,0.22190,0.28510,20.21000,11.21110,11.21110,10.23590,8.08250,0.22220,0.30670,1.49970,60.01390,3.04340,3.11820,1.79580,2.36820,31.87170,-0.9837,-1.2925
2022-12-31,132.67300,109.63500,23.03800,0.97300,10.95200,11.92500,11.11300,-1.12900,9.98400,2.24500,7.73900,7.73900,7.73900,15.68600,11.11300,12.45500,12.69900,0.62000,0.61000,5.60660,0.19760,0.24620,17.36450,8.37620,8.37620,7.52530,5.83310,0.19930,0.28070,1.43990,62.50340,1.98870,2.04020,1.16240,1.59580,30.88940,-0.55900,-0.82050
2022-09-30,143.81000,111.88900,31.92100,1.01600,12.09800,13.11400,18.80710,0.47700,19.28400,2.94800,16.33600,16.33600,16.33600,23.51910,18.80700,12.34600,12.50600,1.32000,1.29000,5.74220,0.18030,0.21990,22.19660,13.07770,13.07770,13.40940,11.35940,0.22740,0.31290,1.51520,59.39840,4.35060,4.46600,2.58360,3.56640,30.08720,-1.7323,-2.0208
2022-06-30,130.16500,96.94300,33.22200,0.95700,11.84700,12.80400,20.41800,0.33900,20.75700,5.14900,15.60800,15.60800,15.60800,25.20100,20.41800,12.33900,12.45900,1.25000,1.24000,3.15770,0.02220,0.15400,25.52300,15.68620,15.68620,15.94670,11.99090,0.21180,0.28170,1.63580,55.01990,4.40810,4.53400,2.53990,4.31040,28.41220,-1.6722,-1.9727
2022-03-31,117.05600,93.64300,23.41300,0.94400,11.78200,12.72600,10.68700,0.58000,11.26700,2.78300,8.48400,8.48400,8.48400,15.50700,10.68700,12.33100,12.47400,0.68000,0.67000,4.03430,0.02290,0.08580,20.00150,9.12980,9.12980,9.62530,7.24780,0.20700,0.32060,1.51330,59.47310,2.45690,2.53060,1.50020,2.40050,27.71570,-1.0574,-1.412
2021-12-31,99.43000,81.65300,17.77700,0.90500,11.36200,12.26700,5.51000,0.79600,6.30600,1.64700,4.65900,4.65900,4.65900,10.26400,5.51000,12.36900,12.58700,0.37000,0.37000,5.45200,0.02360,0.03300,17.87890,5.54160,5.54160,6.34220,4.68570,0.18740,0.30080,1.69950,52.95730,1.36950,1.41200,0.87800,1.33710,27.31290,-1.89350,-2.15850
2021-09-30,95.27800,78.57800,16.70000,0.92100,11.00500,11.92600,4.77400,-0.67200,4.10200,1.54800,2.55400,2.55400,2.55400,9.60800,4.77400,12.50000,12.50000,0.20000,0.20000,4.87250,0.02360,0.02420,17.52770,5.01060,5.01060,4.30530,2.68060,0.17440,0.31620,1.60790,55.97350,0.74390,0.76710,0.46740,0.72630,27.33010,-1.3094,-1.4575
2021-06-30,88.14300,74.48500,13.65800,0.83100,11.47500,12.30600,1.35200,-0.65300,0.69900,0.27700,0.42200,0.42200,0.42200,6.26600,1.35200,12.51500,12.67600,0.03000,0.03000,6.41260,0.02740,0.02820,15.49530,1.53390,1.53390,0.79300,0.47880,0.15640,0.32280,1.65920,54.24320,0.14300,0.14830,0.07490,0.13910,23.37280,0.6834,0.5236
