Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,26.22500,-25.62900,-54.60900,-200.09600,-254.70500,0.86500,-255.57000,-255.57000,-255.57000,-51.55600,-54.60900,62.16600,62.16600,-4.11000,-4.11000,3.50210,0.82940,4.86220,-152.58010,-152.58000,-17.34870,-26.02760,2.12590,-0.4466,-0.6768
2024-06-30,33.21700,-26.29400,-62.23500,-98.05200,-160.28700,5.14900,-165.43600,-165.43600,-165.43600,-59.17800,-62.23500,60.16630,60.16630,-2.75000,-2.75000,2.72760,0.86620,6.47600,-135.55110,-135.55110,-13.33180,-18.13150,1.88210,-0.9598,-1.0284
2024-03-31,152.16200,-14.63800,-170.80400,-7.66700,-178.47100,13.42300,-191.89400,-191.89400,-191.89400,-166.63000,-170.80400,60.16600,60.16600,-3.18900,-3.18900,2.80280,0.74460,2.91480,-72.52830,-72.52830,-14.80890,-18.52650,4.39750,-0.97400,-0.97400
2023-12-31,,38.24820,63.11920,-25.82440,37.30480,,36.39040,36.39040,36.39040,63.11920,63.11920,,,,0.00000,0.90570,,,10.73400,10.73400,5.11400,10.73400,,0,0
2023-09-30,3.02200,-14.25800,-22.53500,-0.53500,-23.07000,,-23.07000,-23.07000,-23.07000,-17.28000,-22.53500,,,,0.00000,0.07340,,-0.14290,87.37500,87.37510,-35.54950,87.37500,-3.67330,0,0
2023-06-30,2.94800,-14.11300,-22.31500,0.00700,-22.30800,,-22.30800,-22.30800,-22.30800,-17.06100,-22.31500,,,,0.00000,0.02240,,-0.14140,143.99840,143.97980,-25.48800,143.99840,-2.15550,0,0
2023-03-31,3.13700,-14.79600,-23.18800,0.00500,-23.19300,,-23.19300,-23.19300,-23.19300,-17.93300,-23.18800,,,,0.00000,0.04120,,-0.11330,115.43840,115.43840,-26.56730,115.43840,-2.79510,0.00000,
2022-12-31,,-4.13790,-4.13790,-7.28110,-11.41900,0.22690,-11.64590,-11.64590,-11.64590,-4.13790,-4.13790,7.18750,7.18750,-0.32000,-0.32000,0.02800,,-0.09710,63.55100,63.55110,-4.00330,63.55100,-2.54940,-0.122,-0.122
2022-09-30,,-1.28150,-1.28150,1.61990,0.33840,0.53020,-0.19180,-0.19180,-0.19180,-1.28150,-1.28150,7.18750,7.18750,-0.01000,-0.01000,0.13160,,-0.27500,4.18440,4.18440,-0.06630,4.18440,-0.63750,-0.0291,-0.0291
2022-06-30,,-0.30630,-0.30630,3.13130,2.82490,,2.82490,2.82490,2.82490,-0.30630,-0.30630,7.18800,7.18800,0.08000,0.08000,0.42070,,-0.33860,-75.83710,-75.83800,0.97980,-75.83710,-0.51820,-0.0443,-0.0443
2022-03-31,,-0.42450,-0.42450,6.84630,6.42180,,6.42180,6.42180,6.42180,-0.42450,-0.42450,7.18800,7.18800,0.18000,0.18000,0.54940,,-0.19590,-99.32290,-99.32290,2.22710,-99.32290,-0.89950,-0.04310,-0.04310
2021-12-31,,-0.84640,-0.84640,0.17620,-0.67020,,-0.67020,-0.67020,-0.67020,-0.84640,-0.84640,7.18750,7.18750,0.00000,0.00000,0.68580,,-0.07390,5.17940,5.17940,-0.23230,5.17940,-1.80010,-0.1074,-0.1074
2021-09-30,,-0.30670,-0.30670,10.43800,10.13130,,10.13130,10.13130,10.13130,-0.30670,-0.30670,7.18750,7.18750,0.28000,0.28000,1.17430,,-0.02940,-81.62050,-81.62050,3.51130,-81.62050,-1.72690,-0.0217,-0.0217
2021-06-30,,-0.42460,-0.42460,-4.85620,-5.28080,,-5.28080,-5.28080,-5.28080,-0.42460,-0.42460,7.18750,7.18750,-0.15000,-0.15000,1.97140,,,-105.61540,-105.61540,-1.83070,-105.61530,0.50290,-0.091,-0.091
2021-03-31,,-0.10520,-0.10520,0.19800,0.09270,,0.09270,0.09270,0.09270,-0.10520,-0.10520,6.56600,6.56600,0.01000,0.01000,2.51080,,,1.85500,1.85470,0.03210,1.85470,0.53110,-0.05920,-0.05920
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
