Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,46.09800,39.93600,6.16200,6.99600,,7.47000,-1.30800,-1.48500,-2.79300,0.05100,-2.84400,-2.84400,,-2.84400,-0.74700,-1.30800,0.88460,0.88460,-3.22000,-3.22000,0.31800,,-2.49180,13.36720,-2.83740,-2.83740,-6.05880,-6.16950,0.74090,2.36070,38.12380,19.43290,6.39450,-4.57070,19.43290,-11.93720,-1.0183,-1.0259
2024-06-30,44.17700,38.36200,5.81500,5.93300,,6.40500,-0.59000,-1.33000,-1.92000,0.05000,-1.97000,-1.97000,,-1.97000,-0.05300,-0.59000,0.55500,0.55500,-3.55000,-3.55000,0.32600,,-2.82730,13.16300,-1.33550,-1.33550,-4.34620,-4.45930,0.69630,2.20150,40.88170,16.45230,4.66480,-3.10510,16.45230,-15.00500,-0.8999,-0.9423
2024-03-31,41.44400,36.13400,5.31000,7.09400,,7.57500,-2.26500,-0.24100,-2.50600,0.05000,-2.55600,-2.55600,,-2.55600,-1.58900,-2.26500,0.60710,0.60710,-5.69000,-5.69000,0.30900,,-3.17060,12.81250,-5.46520,-5.46520,-6.04670,-6.16740,0.66670,2.19210,41.05640,25.10810,6.25640,-4.11180,25.10810,-16.05680,-2.10190,-2.11180
2023-12-31,45.10000,38.74700,6.35300,14.10600,,14.62000,-8.26700,-7.54900,-15.81600,0.23600,-16.05200,-16.05200,,-16.05200,-6.30500,-8.26700,0.48210,0.48210,-21.55000,-21.55000,0.38720,,-4.24470,14.08650,-18.33040,-18.33040,-35.06870,-35.59200,0.63770,2.53610,35.48710,205.53130,41.27110,-22.69640,205.53140,-13.94640,0.4587,0.1123
2023-09-30,49.53700,41.87400,7.66300,8.64100,,9.15400,-1.49100,-2.74300,-4.23400,0.02100,-4.25500,-4.25500,,-4.25500,-0.85800,-1.49100,0.43500,0.43500,-9.78000,-9.78000,0.59260,0.53300,3.00880,15.46930,-3.00990,-3.00990,-8.54710,-8.58950,0.61490,1.96400,45.82390,-49.85940,15.90000,-5.28210,-23.28450,17.73850,22.4107,22.4457
2023-06-30,48.61500,41.58800,7.02700,7.67800,,8.06100,-1.03400,-1.83800,-2.87200,0.00700,-2.87900,-2.87900,,-2.87900,-0.90400,-1.03400,0.17600,0.17600,-16.37000,-16.37000,0.58850,0.52840,3.36280,14.45440,-2.12690,-2.12690,-5.90760,-5.92200,0.58690,1.81560,49.56990,-36.85830,10.17030,-3.47550,-17.38320,16.23570,-34.091,-34.3552
2023-03-31,47.62400,40.13800,7.48600,7.78900,,8.28000,-0.79400,-2.02100,-2.81500,0.04000,-2.85500,-2.85500,,-2.85500,0.15100,-0.79400,0.31770,0.31770,-6.30000,-6.30000,0.61120,0.45670,2.44880,15.71900,-1.66720,-1.66720,-5.91090,-5.99490,0.58180,1.94960,46.16220,-27.57390,10.90690,-3.48770,-14.97980,26.85170,-12.97720,-13.06530
2022-12-31,9.81800,8.42600,1.39200,2.13900,,1.95800,-0.56600,-13.15800,-13.72500,-0.27500,-13.45000,-13.45000,,-13.43800,-0.33800,-0.56600,0.21140,0.21140,-58.50000,-58.50000,0.68660,0.50910,3.21290,14.17810,-5.76490,-5.76490,-139.79430,-136.87110,0.12020,0.46070,195.34530,-161.02000,55.17500,-16.47090,-79.05250,31.77250,-9.6828,-7.7067
2022-09-30,66.12000,53.79500,12.32500,11.04300,,11.83000,0.49500,0.59900,1.09400,0.06200,1.03200,1.03200,,1.03200,1.70000,0.49500,0.24020,0.24020,4.30000,4.30000,0.71690,0.30750,1.40220,18.64040,0.74860,0.74860,1.65460,1.56080,0.69180,2.21400,40.64970,5.08200,-4.29950,1.07980,3.51940,83.46490,-7.1974,-8.4116
2022-06-30,59.05300,48.53400,10.51900,10.46500,,11.16300,-0.64400,-1.62400,-2.26700,-0.00300,-2.26400,-2.26400,,-2.26400,0.80000,-0.64400,0.17590,0.17590,-12.90000,-12.90000,0.58680,,1.61060,17.81280,-1.09050,-1.09050,-3.83890,-3.83380,0.58370,1.77740,50.63520,-12.37020,8.10450,-2.23800,-12.37020,103.87060,-10.9861,-12.5257
2022-03-31,49.89300,41.38000,8.51300,8.90900,,9.56400,-1.05100,-1.26700,-2.31800,-0.00600,-2.31200,-2.31200,,-2.32400,0.02400,-1.05100,0.17530,0.17530,-13.30000,-13.30000,0.58220,0.00590,1.08440,17.06250,-2.10650,-2.10650,-4.64590,-4.65800,0.68580,2.05800,43.73100,-11.09250,14.87870,-3.17800,-11.02740,118.42610,-16.29250,-16.53210
2021-12-31,50.78800,43.57900,7.20900,9.49400,,13.23400,-6.02500,-1.14800,-7.17300,-0.45800,-6.71500,-6.71500,,-6.77200,-1.84400,-6.02500,0.09520,0.10630,-61.40000,-47.50000,0.58710,0.01180,1.05900,14.19430,-11.86300,-11.86300,-14.12340,-13.33390,0.68920,2.45140,36.71380,-28.78890,47.44910,-9.11250,-28.44860,132.60380,-49.5062,-50.9471
2021-09-30,47.50100,37.87700,9.62400,8.46300,,9.15100,0.47300,8.37100,8.84400,0.13100,8.71300,8.71300,,7.55300,1.61400,0.47300,0.10790,0.11080,70.00000,68.90000,0.58030,0.01940,1.26510,20.26060,0.99580,0.99580,18.61860,15.90070,0.60060,1.96040,45.90850,39.84540,-45.24120,11.01740,39.07180,171.14350,-46.6355,-47.4094
2021-06-30,50.53000,41.51100,9.01900,9.41900,,10.12200,-1.10300,8.88400,7.78100,-0.06700,7.84800,7.84800,,4.85500,-0.01200,-1.10300,0.06440,0.07770,75.40000,66.60000,0.57910,0.70210,5.46560,17.84880,-2.18290,-2.18290,15.39880,9.60820,0.65070,2.10580,42.73980,1090.00200,-22.31000,10.10690,33.92410,105.57600,-45.0549,-45.1836
2021-03-31,48.95100,40.93600,8.01500,7.92900,,8.66000,-0.64500,-1.00600,-1.65100,0.03700,-1.68800,-1.68800,,-2.46600,0.46200,-0.64500,0.04810,0.04810,-51.00000,-51.00000,0.52590,2.00800,-4.61930,16.37350,-1.31760,-1.31760,-3.37280,-5.03770,0.61220,2.04690,43.96950,15.18120,3.13900,-2.11120,-15.30230,-170.29810,3.47020,3.47020
