Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,9.72800,3.24600,-12.97400,2.70700,-10.26700,,-10.26700,-10.26700,-10.26700,-12.91200,-12.97400,25.73000,25.73000,-0.40000,-0.40000,37.05530,0.00290,,,,,,-4.88370,-4.88370,-4.75250,-4.88370,8.16860,-0.1747,-0.1761
2024-06-30,,,7.90100,3.04300,-10.94400,1.93500,-9.00900,,-9.00900,-9.00900,-9.00900,-10.88400,-10.94400,23.35600,23.35600,-0.39000,-0.39000,58.92490,,,,,,,-4.14200,-4.14200,-4.06990,-4.14200,8.45560,2.6611,2.7118
2024-03-31,,,7.77800,2.15200,-9.93000,1.51300,-8.41700,0.00000,-8.41700,-8.41700,-8.41700,-9.86900,-9.93000,2.36900,2.36900,-3.55000,-3.55000,19.20290,,,,,,,11.12930,11.12930,-6.81190,11.12930,-31.72360,-3.36640,-3.42850
2023-12-31,,,8.01200,1.66400,-9.67600,1.74600,-7.93000,-0.16100,-7.76900,-7.76900,-7.76900,-9.64000,-9.67600,,,,0.00000,23.28700,-0.00680,,,,,,11.43580,11.43580,-5.95850,11.43580,-28.90890,-12.926,-12.8809
2023-09-30,,,6.49900,1.57000,-8.06900,1.70000,-6.36900,-0.11800,-6.25100,-6.25100,-6.25100,-8.02600,-8.06900,2.32500,2.32500,-2.69000,-2.69000,,,,,,,,,,,,,2.8377,2.8163
2023-06-30,50.00000,50.00000,9.46000,1.60300,38.93700,3.35600,42.29300,0.72900,41.56400,41.56400,5.86900,38.75600,38.93700,2.29200,3.51200,2.56000,0.84000,,,100.00000,77.87400,77.87400,84.58600,11.73800,,,,,,12.3903,12.3894
2023-03-31,,,3.63200,1.48300,-5.11500,0.29100,-4.82400,,-4.82400,-4.82400,-4.82400,-5.01600,-5.11500,2.27800,2.27800,-2.12000,-2.12000,,,,,,,,,,,,,-2.30200,-2.32480
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
