Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-06-30,336.77000,15.72000,321.05000,199.92200,,210.90500,110.14500,-15.14300,95.00200,19.90200,75.10000,75.10000,,73.88700,127.29300,121.12800,27.34420,28.66850,2.70000,2.58000,3.73040,0.77400,3.42550,95.33210,32.70630,35.96760,28.20980,21.93990,0.08200,,0.69750,129.02630,9.85890,23.07660,1.82870,2.22800,27.61950,-3.665,-3.6716
2021-03-31,600.15900,16.64800,583.51100,191.34400,,210.53300,372.97800,-18.86200,354.11600,97.51800,256.59800,256.59800,,252.90700,398.92600,392.16700,26.97230,28.71040,9.38000,8.81000,3.08150,0.76740,3.30870,97.22610,62.14650,65.34390,59.00370,42.14000,0.14600,,1.25200,71.88350,33.50630,78.57270,6.24050,7.79280,28.16030,-1.49400,-1.49750
2020-12-31,341.70200,10.26800,331.43400,137.08800,,148.87000,182.56400,51.34100,233.90500,62.06000,171.84500,171.84500,,170.11400,198.95000,194.34600,25.60700,26.50800,6.57000,6.57000,4.16290,0.76160,3.26570,96.99500,53.42790,56.87590,68.45290,49.78430,0.12830,,7.13440,12.61490,31.88460,141.82260,6.45370,7.60010,20.90790,-1.0733,-1.0944
2020-09-30,226.25300,33.07700,193.17600,97.14300,,109.67500,83.50100,-15.89800,67.60300,18.71100,48.89200,48.89200,,47.29100,99.36200,94.47600,25.44600,27.05000,1.86000,1.75000,4.42500,0.79880,3.97300,85.38050,36.90600,41.75680,29.87940,20.90180,0.09840,,3.46790,25.95270,12.22360,-226.55180,2.12570,2.45890,15.72750,2.7225,2.698
2020-06-30,266.46800,8.84500,257.62300,106.56200,-8.50000,126.28300,131.34000,-16.60300,114.73700,32.20800,82.52900,82.52900,,82.75300,147.48400,142.56100,25.62700,26.99300,3.23000,3.07000,5.31110,0.83520,5.07130,96.68070,49.28920,53.50020,43.05850,31.05550,0.11610,,3.68480,24.42450,24.54620,-90.87300,3.59560,4.04440,12.99950,0.487,0.4723
2020-03-31,-0.20600,20.72100,-20.92700,87.74400,-4.00000,100.21700,-121.14400,-15.64400,-136.78800,-37.53900,-99.24900,-99.24900,,-99.72000,-107.71500,-112.67100,26.02900,26.02900,-3.83000,-3.83000,4.68820,0.85870,6.08100,10158.74000,58807.77000,54694.66000,66401.94000,48407.77000,-0.00010,,-0.00360,-25046.65000,-37.73430,57.31110,-4.65760,-5.33100,10.12050,0.04010,0.02330
2019-12-31,165.23700,20.84900,144.38800,97.25600,,106.82100,37.56700,-12.20900,25.35800,7.84200,17.51600,17.51600,,16.86500,51.96300,47.13200,26.40100,27.52920,0.64000,0.62000,3.51730,0.80170,4.14070,87.38240,22.73520,28.52390,15.34640,10.20660,0.07130,,2.34570,38.36780,4.48840,-32.45450,0.75560,0.89000,14.46880,-2.6252,-2.648
2019-09-30,180.06300,8.84700,171.21600,101.09200,,111.36500,59.85100,-11.29800,48.55300,14.40900,34.14400,34.14400,,34.30200,74.59700,70.12400,26.55600,28.23300,1.29000,1.21000,4.50670,0.83510,5.06900,95.08670,33.23890,38.94420,26.96450,19.05000,0.08550,,2.39410,37.59180,11.40400,-5285.98000,1.62060,1.88030,11.12120,1.5837,1.5742
2019-06-30,164.68400,21.46800,143.21600,91.90700,,98.96100,44.25500,-12.65700,31.59800,9.28900,22.30900,22.30900,,22.15700,54.58800,49.75700,26.27800,26.89700,0.84000,0.82000,3.98120,0.83690,5.13640,86.96410,26.87270,30.21360,19.18710,13.45430,0.08320,,1.92170,46.83240,8.04860,-86.57640,1.12730,1.31250,10.29640,-0.2809,-0.2907
2019-03-31,142.12800,15.23500,126.89300,94.96400,,101.91500,24.97800,-13.89500,11.08300,3.10400,7.97900,7.97900,,8.02300,36.69500,31.78200,26.21700,26.68800,0.31000,0.30000,3.40490,0.83940,5.22950,89.28080,17.57430,22.36150,7.79790,5.64490,0.07410,,2.14070,42.04220,3.02320,-16.69350,0.41600,0.48570,9.95000,0.33440,0.26940
2018-12-31,102.03100,1.67900,100.35200,93.90500,,106.88600,-6.53410,-5.94000,-12.47400,-3.50900,-8.96500,-8.96500,,-8.80500,4.22890,0.18800,25.93700,26.76500,-0.35000,-0.33000,3.03180,0.85030,5.68700,98.35440,-6.40400,0.18420,-12.22570,-8.62970,0.05210,,1.27760,70.44420,-3.46590,15.99010,-0.45790,-0.51880,9.72300,-0.88,-0.9968
2018-09-30,99.68100,8.20800,91.47300,71.78200,,78.63500,12.83800,-8.07000,4.76800,2.04600,2.72200,2.72200,,2.81400,22.36100,19.26300,25.96900,26.85400,0.11000,0.10000,4.33670,0.84710,5.54670,91.76570,12.87910,19.32460,4.78330,2.82300,0.05190,,1.06210,84.73440,1.01130,2.77740,0.14170,0.15460,10.14650,4.9705,4.9539
