Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.25200,1.95700,,-2.20900,-0.05000,-2.25900,-2.25900,-2.25900,-2.17600,-2.19200,-2.20900,1.58600,1.58600,-1.37000,-1.37000,1.54320,,-159.53340,-133.27430,-54.56520,-133.27430,1.06600,-1.19100,-1.19100
2024-06-30,0.10100,2.28400,,-2.38500,0.06500,-2.32000,-2.32000,-2.32000,-2.32600,-2.36800,-2.38500,0.75370,0.75370,62.87110,62.87110,2.44710,,35.71980,-61.75140,-37.40730,-61.75140,2.37940,-5.0223,-5.0332
2024-03-31,0.59200,1.49300,,-2.08500,0.07400,-2.01100,-2.01100,-2.01100,-2.01300,-2.07700,-2.08500,1.27450,1.27450,-1.74830,-1.74830,5.03730,,46.44330,-33.95810,-27.00780,-33.95810,3.74400,23.1859,23.3315
2023-12-31,0.11100,0.90800,,-1.01900,-0.00400,-1.02300,-1.02300,-1.02300,-1.02500,-1.00400,-1.01900,0.12400,0.12400,-8.39160,-8.39160,0.63420,,9.82140,623.78030,-54.27060,623.78050,-0.56400,-0.8074,-0.9687
2023-09-30,1.85900,1.10300,,-2.96200,-0.00400,-2.96600,-2.96600,-2.96600,-3.13700,-2.94700,-2.96200,0.04900,0.04900,-63.92000,-63.92000,0.23470,,23.47630,146.39680,-200.81250,146.39680,-40.57230,-26.87760,-26.87760
2023-06-30,2.07600,1.27300,,-3.34900,0.01500,-3.33400,-3.33400,-3.33400,-3.33700,-2.25900,-3.34900,0.04630,0.04630,-64.33570,-64.33570,1.06100,,33.62920,-456.08730,-83.78990,-456.08740,15.10610,-40.6594,-40.8411
2023-03-31,2.00500,1.29700,,-3.30200,0.03700,-3.26500,-3.26500,-3.26500,-3.26600,-2.21200,-3.30200,0.04810,0.04810,-67.83220,-67.83220,2.15630,,47.60180,-86.23880,-48.44210,-86.23880,78.23740,-33.8983,-33.7867
2022-12-31,2.05900,1.44000,,-3.49900,0.04500,-3.45400,-3.45400,-3.45400,-3.45600,-2.40900,-3.49900,0.04700,0.04700,-73.42660,-73.42660,2.83360,,82.67100,-52.34920,-34.82910,-52.34920,137.89560,-29.4166,-28.8129
2022-09-30,3.17100,1.47500,,-4.64600,0.05000,-4.59600,-4.59600,-4.59600,-4.96000,-4.63100,-4.64600,0.04190,0.04190,-118.53150,-118.53150,2.31970,,156.53950,-47.78540,-34.79180,-47.78540,208.08450,-152.11220,-157.65310
2022-06-30,4.00400,1.45400,,-5.45800,0.01200,-5.44600,-5.44600,-5.44600,-5.44800,-5.44300,-5.45800,0.02790,0.02790,-62.23770,-62.23770,3.32280,,717.52440,-46.17210,-34.14850,-46.17210,314.57860,-184.2664,-184.2664
2022-03-31,3.47400,1.88400,,-5.35800,0.00200,-5.35600,-5.35600,-5.35600,-5.35800,-5.34300,-5.35800,0.02810,0.02810,-190.55940,-190.55940,3.11510,,169.06550,-57.06370,-41.85030,-57.06370,332.80110,-181.307,-181.307
2021-12-31,3.90200,1.99300,,-5.89500,0.00200,-5.89300,-5.89300,-5.89300,-5.89500,-5.88000,-5.89500,0.02780,0.02780,-212.23780,-212.23780,4.36240,,-452.95970,-41.78840,-33.26000,-41.78840,503.00630,-107.7554,-107.7554
2021-09-30,3.79300,2.17800,,-5.97100,0.00500,-5.96600,-5.96600,-5.96600,-8.43000,-5.95600,-5.97100,0.01960,0.01960,-437.06300,-437.06300,6.70040,,-108.71000,-31.13290,-26.70190,-31.13290,698.33140,-258.71130,-258.71130
2021-06-30,4.03100,2.66700,,-6.69800,-0.03200,-6.73000,-6.73000,-6.73000,-6.73600,-6.66300,-6.69800,0.01480,0.01480,314.68540,314.68540,4.24210,,154.71250,-63.60460,-49.69360,-63.60460,565.00460,-427.4149,-427.4543
2021-03-31,3.84300,2.76200,,-6.60500,-0.03000,-6.63500,-6.63500,-6.63500,-6.64300,-6.56700,-6.60500,0.01670,0.01670,-402.09790,-402.09790,6.54880,0.03120,183.89700,-41.16520,-35.19330,-41.16520,887.11500,-174.9597,-175.4695
2020-12-31,2.58400,2.79400,,-5.37800,-0.03500,-5.41300,-5.41300,-5.41300,-5.41900,-5.35300,-5.37800,0.01420,0.01420,-384.61540,-384.61540,6.49690,0.02690,127.39480,-30.78190,-26.41910,-30.78190,1188.45700,-251.319,-251.1078
2020-09-30,1.35700,1.53400,-0.50000,-19.48500,-0.03500,-19.52000,-19.52000,-19.52000,-22.70600,-19.45700,-19.48500,0.00980,0.00980,-2325.17500,-2325.17500,9.60860,0.02150,749.32840,-94.97400,-84.38890,-94.96940,1468.71400,-420.04640,-420.04640
