Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.76000,0.56000,0.20000,0.65300,-0.00100,0.65400,-0.45400,-0.37600,-0.82800,-0.82800,-0.82800,-0.53100,-1.39700,-0.84400,-0.45400,2.11600,2.11600,-0.66000,-0.66000,0.28500,,-5.04960,26.31580,-59.73690,-59.73690,-108.94740,-183.81580,0.04680,0.31230,7.23810,12.43420,33.65860,12.47360,-5.10360,33.65850,-0.78320,-0.106,-0.1605
2024-06-30,2.95200,2.79900,0.15300,1.41400,0.07900,1.33500,-1.18200,-0.30600,-1.48800,-1.48800,-1.48800,,-1.52500,-0.77600,-1.18200,1.74500,1.74500,-0.87000,-0.87000,0.28820,,-6.44620,5.18290,-40.04070,-40.04070,-50.40650,-51.65990,0.17790,0.91980,2.90270,31.00610,76.93910,22.10340,-8.96980,76.93900,-1.09700,-0.6041,-0.5578
2024-03-31,2.41100,2.22500,0.18600,1.35600,0.12000,1.23600,-1.05000,-0.24300,-1.29300,-1.29300,-1.29300,,-1.33100,-0.73100,-1.05000,1.70600,1.70600,-0.78000,-0.78000,0.29530,,-23.56090,7.71460,-43.55040,-43.55040,-53.62920,-55.20530,0.14160,0.69770,3.58250,25.12240,271.63550,24.04240,-7.59610,271.63860,-0.27870,-0.04750,-0.03930
2023-12-31,4.17900,3.95300,0.22600,2.33200,0.23500,2.09700,-1.87100,-0.61700,-2.48800,-2.48800,-2.48800,,-2.17500,-0.61600,-1.87100,1.09100,1.09100,-1.08000,-1.08000,1.07900,0.78100,4.24380,5.40800,-44.77150,-44.77150,-59.53580,-52.04600,0.23910,1.47170,25.63800,3.51040,-291.67750,74.82700,-14.23340,-63.87680,0.50000,-0.1159,-0.0123
2023-09-30,0.80600,0.63800,0.16800,0.47500,,0.47500,-0.30700,-1.49900,-1.80600,-1.80600,-1.80600,-0.35000,-2.19400,-1.01000,-0.30700,1.09700,1.09700,-2.00000,-2.00000,1.43120,0.52710,1.33230,20.84370,-38.08930,-38.08930,-224.06950,-272.20840,0.04290,0.17910,0.74010,121.60050,-68.04830,64.06530,-9.61660,-32.18100,1.72560,-0.8205,-0.914
2023-06-30,2.66100,2.63500,0.02600,1.56300,0.13500,1.42800,-1.40200,-0.24100,-1.64300,-1.64300,-1.64300,,-1.68000,-0.99200,-1.40200,0.85600,0.85600,-1.96000,-1.96000,0.28000,,-3.94160,0.97710,-52.68700,-52.68700,-61.74370,-63.13420,0.13500,0.72990,2.87370,31.31910,40.68850,17.08970,-8.33710,40.68850,-4.17150,-0.2271,-0.1078
2023-03-31,2.85300,2.21200,0.64100,1.87500,-0.00600,1.88100,-1.24000,-0.35800,-1.59800,-1.59800,-1.59800,,-1.63600,-0.83300,-1.24000,0.82400,0.82400,-2.00000,-2.00000,0.28450,,-5.24330,22.46760,-43.46300,-43.46300,-56.01120,-57.34320,0.14090,0.55450,3.31740,27.12930,53.10740,18.44410,-7.89020,53.10740,-3.61220,-0.51940,-0.55340
2022-12-31,2.30900,2.45700,-0.14800,1.83800,0.04300,1.79500,-1.94300,-7.76600,-9.70900,-9.70900,-9.70900,,-9.74700,-1.59700,-1.94300,0.76700,0.76700,-12.62000,-12.62000,0.50880,,-5.30340,-6.40970,-84.14900,-84.14900,-420.48500,-422.13070,0.10750,0.55310,2.76200,32.58550,640.43260,133.47540,-45.20860,640.43540,-1.87170,-1.339,-1.1436
2022-09-30,2.97700,2.78700,0.19000,2.14000,,2.14000,-1.95000,-0.78300,-2.73300,-2.73300,-2.73300,,-2.77100,-0.98000,-1.95000,0.77200,0.77200,-3.59000,-3.59000,0.64340,,0.66870,6.38230,-65.50220,-65.50220,-91.80380,-93.08030,0.09950,0.56020,3.26070,27.60160,-30.51930,62.69790,-9.13250,-30.51930,11.59450,-0.1591,-0.1228
2022-06-30,4.85700,3.40500,1.45200,2.47700,-0.10100,2.57800,-1.12600,-0.66200,-1.78800,-1.78800,-1.78800,,-1.82400,-0.21000,-1.12600,0.76400,0.76400,-2.39000,-2.39000,0.82890,,0.51280,29.89500,-23.18300,-23.18300,-36.81290,-37.55410,0.15290,0.65090,3.87630,23.21800,-15.42710,97.81180,-5.62720,-15.42710,15.00620,0.5372,-0.8511
2022-03-31,3.74000,2.79300,0.94700,2.57700,,2.57700,-1.63000,-0.40600,-2.03600,-2.03600,-2.03600,,-2.07400,-1.18700,-1.63000,0.74510,0.74510,-2.80000,-2.80000,1.34320,,0.54050,25.32090,-43.58290,-43.58290,-54.43850,-55.45450,0.10870,0.45900,2.98010,30.20050,-16.15750,221.30480,-5.91620,-16.15750,16.70560,-0.18250,-2.04680
2021-12-31,2.59400,1.99600,0.59800,2.30400,0.00200,2.30200,-1.70400,-0.51100,-2.21500,-2.21500,-2.21500,-0.01100,-2.25300,-1.26500,-1.70400,0.63540,0.63540,-4.40000,-4.00000,1.48500,,0.49400,23.05320,-65.69000,-65.69010,-85.38930,-86.85430,0.07730,0.30660,1.79390,50.16960,-16.53110,984.45530,-6.60010,-16.53110,18.11780,-5.2982,-5.4149
2021-09-30,3.20700,2.34700,0.86000,2.00400,-0.36000,2.36400,-1.50400,-0.38900,-1.89300,-1.89300,-1.89300,-0.01700,-4.19800,-1.02300,-1.50400,0.65280,0.65280,-6.40000,-6.40000,1.83660,0.19410,0.58550,26.81630,-46.89740,-46.89740,-59.02710,-130.90120,0.10890,0.38740,2.39690,37.54910,-16.74930,78.02970,-6.43000,-13.49830,16.04600,-3.8035,-3.7891
2021-06-30,3.44500,2.53600,0.90900,2.30200,,2.30200,-1.39300,-0.32800,-1.72100,-1.72100,-1.72100,-0.04700,-1.76800,-1.04900,-1.39300,0.61310,0.61310,-2.80000,-2.80000,1.28310,0.22340,0.75240,26.38610,-40.43540,-40.43540,-49.95650,-51.32080,0.12670,0.40360,2.26050,39.81420,-19.82950,33.40450,-6.32770,-15.39910,13.97810,-2.5963,-2.8553
2021-03-31,3.14800,2.60500,0.54300,2.78100,-0.06100,2.84200,-2.29900,2.07400,-0.22500,-0.22500,-0.22500,3.93300,3.70800,-1.99900,-2.29900,0.55450,0.59910,6.60000,6.20000,1.05230,,0.76080,17.24910,-73.03050,-73.03050,-7.14740,117.78910,0.11200,0.42320,3.15120,28.56100,-2.70600,4.00360,-0.80050,-2.70600,14.29060,2.33700,2.46060
2020-12-31,3.43900,3.36600,0.07300,2.09700,0.23500,1.86200,-1.78900,-0.62300,-2.41200,-2.41200,-2.41200,0.01300,-2.39900,-0.90700,-1.78900,0.50140,0.50140,-4.60000,-4.60000,0.42440,,-9.23740,2.12270,-52.02100,-52.02090,-70.13670,-69.75860,0.10840,0.50030,4.95530,18.16230,217.68920,15.92500,-7.60120,217.68950,-2.13450,-0.3446,-0.5549
2020-09-30,4.01800,2.61400,1.40400,3.15200,0.11200,3.04000,-1.63600,-0.21500,-1.85100,-1.85100,-1.85100,0.08400,-1.76700,-0.98400,-1.63600,0.50520,0.50520,-3.40000,-3.40000,0.44350,,11.37070,34.94280,-40.71680,-40.71680,-46.06770,-43.97710,0.12180,0.25320,3.06120,29.40070,-202.52540,13.96370,-5.61030,-202.52570,1.80110,-1.4304,-1.195
2020-06-30,3.63900,2.21800,1.42100,3.25700,0.02000,3.23700,-1.81600,-0.31900,-2.13500,-2.13500,-2.13500,-0.05100,-2.18600,-1.13000,-1.81600,0.49920,0.49920,-4.40000,-4.40000,1.03090,,4.18630,39.04920,-49.90380,-49.90380,-58.67000,-60.07150,0.10780,0.20630,3.12350,28.81340,-87.35520,17.77030,-6.32500,-87.35510,4.87980,-1.4981,-1.25
2020-03-31,2.91200,2.18700,0.72500,3.66900,-0.00100,3.67000,-2.94500,-0.30400,-3.24900,-3.24900,-3.24900,-0.25900,-3.50800,-2.19900,-2.94500,0.48780,0.48780,-7.20000,-7.20000,1.25980,,1.69660,24.89700,-101.13320,-101.13320,-111.57280,-120.46700,0.08490,0.19780,2.48790,36.17440,-75.88910,31.56460,-9.47060,-75.88900,8.76770,-2.72270,-2.79650
2019-12-31,0.24450,0.37770,-0.13320,1.05930,0.00090,1.05840,-1.19160,-2.84030,-4.03190,-4.03190,-4.03190,-3.43990,-7.47180,-0.62390,-1.19160,0.46380,0.46380,-16.00000,-16.00000,2.35780,0.28770,0.65200,-54.48440,-487.34730,-487.34750,-1648.93800,-3055.76300,0.00680,0.05290,0.18470,487.33360,-54.98280,54.70680,-11.24150,-39.16350,15.15870,-2.5177,-2.1743
