Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,2.90210,-2.90210,0.09510,-2.80700,-2.80700,-2.80700,-2.80700,-2.67600,-2.90210,13.93760,13.93760,-0.20000,-0.20000,3.06170,,,,,,,,,,,-46.63440,-46.64080,-31.72680,-46.63440,0.43110,-0.05,-0.05
2024-06-30,,,2.62090,-2.62090,0.04940,-2.57140,-2.57140,-2.57140,-2.57140,-2.53600,-2.62090,7.45790,7.45790,-0.34000,-0.34000,4.48600,,,,,,,,,,,-29.51400,-29.51730,-22.52600,-29.51400,0.62510,-0.23430,-0.23430
2024-03-31,,,2.48600,-2.48600,0.06060,-2.42540,-2.42540,-2.42540,-2.42540,-2.40150,-2.48600,2.51300,2.51300,-0.92000,-0.92000,3.40230,,,,,,,,,,,-42.06170,-42.06970,-29.41330,-42.06170,2.19280,-1.0257,-1.0278
2023-12-31,,,3.56710,-3.56710,0.10100,-3.46610,-3.46610,-3.46610,-3.46610,-3.47620,-3.56710,2.51700,2.51700,-1.37000,-1.37000,3.92710,,,,,,,,,,,-45.53940,-45.54680,-33.21080,-45.53940,2.93080,-0.917,-0.9192
2023-09-30,,,3.17530,-3.17530,0.14090,-3.03450,-3.03450,-3.03450,-3.03450,-3.08320,-3.17530,2.48360,2.48360,-1.22000,-1.22000,6.13100,,,,,,,,,,,-29.40550,-29.40940,-23.65430,-29.40550,4.13930,-1.0674,-1.0681
2023-06-30,,,3.40820,-3.40820,0.12600,-3.28220,-3.28220,-3.28220,-3.28220,-3.31660,-3.40820,2.43150,2.43150,-1.35000,-1.35000,7.30510,,,,,,,,,,,-25.03780,-25.04070,-20.77250,-25.03780,5.27840,-1.02090,-1.11570
2023-03-31,,,3.05170,-3.05170,0.01100,-2.46650,-2.46650,-2.46650,-2.46690,-2.99560,-2.47750,2.05400,2.05400,-0.88000,-0.88000,10.02640,,,,,,,,,,,-16.37340,-16.37520,-14.08720,-16.37340,6.55250,-1.8211,-1.8742
2022-12-31,,,2.84980,-2.84980,,-2.84980,-2.84980,-2.84980,-2.84980,-2.75790,-2.84980,2.29500,2.29500,-1.24000,-1.24000,7.45980,,,,,,,,,,,-16.49240,-16.49410,-13.75070,-16.49240,7.52280,-0.5911,-0.621
2022-09-30,,,3.66530,-3.66530,-0.14210,-3.80740,-3.80740,-3.80740,-3.80740,-3.61090,-3.66530,2.07500,2.07500,-1.84000,-1.84000,9.75690,,,,,,,,,,,-19.16340,-19.16530,-16.52010,-19.16340,8.65870,-0.9402,-1.2897
2022-06-30,,,2.90610,-2.90610,,-2.90610,-2.90610,-2.90610,-2.90570,-2.86760,-2.90610,1.54870,1.54870,-1.90000,-1.90000,9.66370,,,,,,,,,,,-19.47750,-19.48020,-16.96270,-19.47750,9.32860,-1.76210,-1.78870
