Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,155.75600,110.70700,45.04900,0.08600,44.96300,,44.96300,9.99800,34.96500,34.96500,34.96500,45.04900,45.04900,25.52000,26.22400,1.34000,1.29000,,,28.86760,28.92280,28.86760,22.44860,0.06890,4.79610,4.88480,1.54560,4.79610,27.48050,2.8394,2.7715
2024-09-30,148.50300,109.91300,38.59000,0.08700,38.50300,,38.50300,8.00600,30.49700,30.49700,30.49700,38.59000,38.59000,25.76700,26.48000,1.18000,1.15000,,,25.92740,25.98600,25.92740,20.53630,0.06520,4.33620,4.40600,1.33990,4.33620,26.58830,3.6744,3.6228
2024-06-30,131.06900,97.47000,33.59900,0.22500,33.37400,,33.37400,7.64500,25.72900,25.72900,25.72900,33.59900,33.59900,24.94700,25.61800,1.03000,1.00000,,,25.46290,25.63460,25.46290,19.63010,0.06500,4.83080,4.93770,1.27620,4.83080,21.31700,2.1443,2.0844
2024-03-31,118.53500,83.43900,35.09600,0.74000,34.35600,,34.35600,7.97400,26.38200,26.38200,26.38200,35.09600,35.09600,24.86200,25.46900,1.06000,1.04000,,0.08570,28.98390,29.60810,28.98380,22.25670,0.06290,5.25900,5.38700,1.39980,5.25900,20.12990,1.30060,1.24940
2023-12-31,105.39300,71.11100,34.28200,0.82400,33.45800,,33.45800,7.56400,25.89400,25.89400,25.89400,34.28200,34.28200,24.82200,25.32700,1.04000,1.03000,,0.11160,31.74590,32.52780,31.74590,24.56900,0.06170,5.49470,5.64220,1.51600,5.49470,19.02280,0.8673,0.8119
2023-09-30,90.93500,65.53300,25.40200,0.86700,24.53500,,24.53500,6.10300,18.43200,18.43200,18.43200,25.40200,25.40200,24.74000,25.24500,0.75000,0.73000,,0.12480,26.98080,27.93420,26.98080,20.26940,0.05590,4.37470,4.51070,1.13330,4.37470,17.03670,2.8002,2.74
2023-06-30,90.39600,66.31200,24.08400,1.06400,23.02000,,23.02000,5.45800,17.56200,17.56200,17.56200,24.08400,24.08400,24.83400,25.31000,0.71000,0.69000,,0.17260,25.46570,26.64280,25.46570,19.42790,0.05850,4.24500,4.38380,1.13570,4.24500,16.68580,0.2315,0.1453
2023-03-31,89.20200,65.55300,23.64900,1.02000,22.62900,,22.62900,5.31600,17.31300,17.31300,17.31300,23.64900,23.64900,24.97000,25.44300,0.69000,0.68000,,0.17640,25.36830,26.51170,25.36830,19.40880,0.06190,4.27850,4.36420,1.20150,4.27850,16.22360,0.68530,0.62020
2022-12-31,88.62400,63.24900,25.37500,0.39900,24.97600,,24.97600,6.21800,18.75800,18.75800,18.75800,25.37500,25.37500,25.24300,25.79600,0.75000,0.72000,,0.09460,28.18200,28.63220,28.18200,21.16580,0.06780,4.87530,4.98230,1.43580,4.87530,15.37360,2.9078,2.8501
2022-09-30,80.69200,75.22400,5.46800,0.27000,5.19800,,5.19800,0.91200,4.28600,4.28600,4.28600,5.46800,5.46800,25.20900,25.78800,0.17000,0.17000,,0.07180,6.44180,6.77640,6.44180,5.31160,0.06630,1.16520,1.19300,0.35230,1.16520,14.58030,0.4503,0.3954
2022-06-30,79.66000,61.25600,18.40400,0.11100,18.29300,,18.29300,3.70400,14.58900,14.58900,14.58900,18.40400,18.40400,25.21200,25.74700,0.58000,0.57000,,0.06080,22.96390,23.10320,22.96380,18.31410,0.07580,3.85890,3.95180,1.38790,3.85890,14.99070,1.3167,1.2531
2022-03-31,78.11000,58.93300,19.17700,0.09300,19.08400,,19.08400,4.54700,14.53700,14.53700,14.53700,19.17700,19.17700,25.36200,25.90000,0.57000,0.56000,,0.03940,24.43220,24.55130,24.43220,18.61090,0.08160,3.82150,3.91620,1.51830,3.82150,15.07610,1.89920,1.84530
2021-12-31,73.17100,51.73800,21.43300,0.04000,21.39300,,21.39300,4.76200,16.63100,16.63100,16.63100,21.39300,21.43300,25.46000,26.11200,0.66000,0.65000,,,29.23700,29.29170,29.23700,22.72900,0.07900,4.21930,4.32350,1.79650,4.21930,15.50080,1.9412,1.8947
2021-09-30,67.66100,67.53900,0.12200,0.00000,0.12200,,0.12200,-0.12400,0.24600,0.24600,0.24600,0.12200,0.12200,25.38900,26.04400,0.01000,0.01000,,,0.18030,0.18030,0.18030,0.36360,0.07720,0.06510,0.06700,0.02810,0.06510,14.86430,1.6925,1.6413
2021-06-30,57.71500,42.19800,15.51700,0.00000,15.51700,,15.51700,3.17700,12.34000,12.34000,12.34000,15.51700,15.51700,25.47600,26.10500,0.48000,0.47000,,,26.88560,26.88560,26.88560,21.38090,0.06960,3.27540,3.37250,1.48740,3.27540,14.85000,0.2265,0.1383
2021-03-31,49.24400,29.13800,20.10600,0.00000,20.10600,,20.10600,3.47600,16.63000,16.63000,16.63000,20.10600,20.10600,25.55300,26.25600,0.65000,0.63000,,,40.82930,40.82930,40.82930,33.77060,0.05960,4.41840,4.55370,2.01360,4.41840,14.70820,-0.49720,-0.49720
2020-12-31,42.29700,44.69900,-2.40200,0.00000,-2.40200,,-2.40200,-0.55700,-1.84500,-1.84500,-1.84500,-2.40200,-2.40200,24.87200,25.59900,-0.11000,-0.10000,,,-5.67890,-5.67890,-5.67890,-4.36200,0.05800,-0.50730,-0.52380,-0.25310,-0.50730,14.24870,0.5132,0.3574
2020-09-30,44.99800,66.84100,-21.84300,0.00000,-21.84300,,-21.84300,-6.15800,-15.68500,-15.68500,-15.68500,-21.84300,-21.84300,25.49200,25.49200,-0.62000,-0.62000,,,-48.54220,-48.54220,-48.54220,-34.85710,0.06430,-4.33410,-4.34310,-2.24150,-4.33410,14.18140,0.755,0.7542
2020-06-30,43.14900,27.84000,15.30900,0.00000,15.30900,,15.30900,3.29700,12.01200,12.01200,12.01200,15.30900,15.30900,24.34300,25.05700,0.49000,0.48000,,,35.47940,35.47940,35.47940,27.83840,0.07390,3.20110,3.20750,2.05670,3.20110,14.73390,0.0978,0.0962
2020-03-31,38.01900,22.86000,15.15900,0.00000,15.15900,,15.15900,3.38400,11.77500,11.77500,11.77500,15.15900,15.15900,24.11900,24.77900,0.49000,0.48000,,,39.87220,39.87220,39.87220,30.97140,0.08570,4.51460,4.52750,2.65420,4.51460,10.75990,0.87990,0.87900
