Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1441.80000,645.20000,796.60000,380.40000,549.50000,247.10000,-53.30000,193.80000,51.10000,142.70000,142.70000,,141.30000,420.50000,247.10000,123.90000,125.20000,1.14000,1.13000,0.88190,0.48940,1.11070,55.25040,17.13830,17.13830,13.44150,9.80020,0.11680,1.51200,59.52560,2.89680,-4.04160,1.15600,1.47920,39.75870,3.8165,2.833
2024-06-30,1430.50000,630.90000,799.60000,352.60000,517.40000,282.20000,-57.60000,224.60000,59.40000,165.20000,165.20000,,163.90000,449.09990,282.20000,123.70000,124.80000,1.32000,1.31000,0.79330,0.50160,1.16960,55.89650,19.72740,19.72740,15.70080,11.45750,0.11770,1.41300,63.69520,3.50530,-4.32600,1.35940,1.74710,38.09860,2.1435,1.0481
2024-03-31,1389.40000,627.70000,761.70000,372.60000,537.00000,224.70010,-58.10000,166.60000,40.50000,126.10000,126.10000,,124.90000,391.30010,224.70010,123.50000,124.80000,1.01000,1.00000,0.73440,0.50880,1.22810,54.82220,16.17250,16.17250,11.99080,8.98950,0.11340,1.38100,65.17130,2.75290,-3.11430,1.02930,1.35210,37.05990,2.02480,0.96790
2023-12-31,1326.50000,581.50010,744.99990,343.40000,500.09990,244.89980,-62.00000,182.90000,48.40000,134.50000,134.50000,,132.40000,403.69980,244.90000,122.90000,123.90000,1.07000,1.06000,0.67180,0.51050,1.25450,56.16290,18.46210,18.46210,13.78820,9.98120,0.10800,1.46060,61.61930,2.95450,-3.17880,1.09530,1.44620,36.92130,2.5997,1.4237
2023-09-30,1319.10000,585.20000,733.90000,333.10000,487.50000,246.40000,-55.70000,190.70000,26.40000,164.30000,164.30000,,162.20000,403.10000,246.40000,123.00000,123.90000,1.32000,1.31000,1.00990,0.56070,1.39270,55.63640,18.67940,18.67940,14.45680,12.29630,0.10680,1.36280,66.03820,3.81290,-3.71660,1.33050,1.67490,34.97650,3.078,1.9962
2023-06-30,1317.60000,588.00000,729.60000,343.10000,492.70000,236.90000,-44.80000,192.10000,52.70000,139.40000,139.40000,,138.30000,389.00000,236.90000,122.70000,123.80000,1.13000,1.12000,1.20440,0.56670,1.34780,55.37340,17.97970,17.97970,14.57950,10.49640,0.11420,1.40780,63.92760,3.31250,-3.49650,1.20820,1.43540,34.29750,2.1141,0.8006
2023-03-31,1302.00000,580.40000,721.60000,366.10000,516.20000,205.40000,-53.20000,152.20000,38.70000,113.50000,113.50000,,112.40000,357.60000,205.40000,122.60000,123.50000,0.92000,0.91000,0.77210,0.54990,1.42150,55.42240,15.77570,15.77570,11.68970,8.63290,0.11240,1.41600,63.55990,2.78040,-2.72260,0.97980,1.25140,33.29690,1.22190,-0.05990
2022-12-31,1198.00000,539.20000,658.80030,340.40000,482.70000,176.10060,-34.70000,141.40000,32.30000,109.10010,109.10010,,108.10000,320.60060,176.10060,122.40000,123.30000,0.88000,0.88000,0.68010,0.54810,1.45650,54.99170,14.69960,14.69960,11.80300,9.02340,0.10370,1.39680,64.43490,2.74580,-2.52320,0.94480,1.24070,32.43510,2.6391,1.373
2022-09-30,1244.30000,542.50000,701.80000,318.00000,458.90000,242.90000,-23.20000,219.70000,52.80000,166.90000,166.90000,,165.70000,385.80000,242.90000,122.40000,123.30000,1.35000,1.34000,0.64150,0.56070,1.55790,56.40120,19.52100,19.52100,17.65650,13.31670,0.11000,1.47250,61.11870,4.42050,-3.72470,1.47590,1.94190,30.84640,2.8783,1.6375
2022-06-30,1316.70000,542.10000,774.60000,330.20000,470.00000,304.60000,-39.80000,264.80000,63.40000,201.40000,201.40000,,200.60000,446.50000,304.60000,122.40000,123.30000,1.64000,1.63000,0.51390,0.51600,1.48790,58.82890,23.13360,23.13360,20.11090,15.23510,0.11730,1.47460,61.03210,5.27090,-4.64060,1.79480,2.55110,31.21730,2.2302,0.9394
2022-03-31,1363.20000,553.40000,809.79990,340.30000,477.40000,332.39990,-28.60000,303.80000,81.00000,222.80000,222.80000,,221.80000,471.69990,332.39990,122.20000,123.50000,1.82000,1.80000,0.53950,0.53730,1.50970,59.40430,24.38380,24.38380,22.28580,16.27050,0.11970,1.59100,56.56690,5.78540,-4.91850,1.95580,2.67690,31.48900,-1.60730,-2.87450
2021-12-31,1253.20000,525.60000,727.59990,343.20000,475.40000,252.20000,-114.00000,138.20000,15.10000,123.10000,123.10000,,122.10000,386.90000,252.20000,121.90000,123.60000,1.00000,0.98000,0.48920,0.55380,1.47030,58.05940,20.12450,20.12450,11.02780,9.74310,0.11350,1.72240,52.25340,3.41830,-2.64740,1.11490,1.52520,29.49390,3.1236,2.0599
2021-09-30,1222.90000,489.00000,733.90000,344.20000,460.70000,273.20000,-7.80000,265.40000,58.80000,206.60000,206.60000,,205.40000,391.70000,273.20000,121.90000,123.70000,1.68000,1.66000,1.53180,0.58300,1.53860,60.01310,22.34030,22.34030,21.70250,16.79610,0.11030,1.76060,51.11950,5.81140,-6.93130,1.86410,2.42360,29.14020,3.2135,2.4291
2021-06-30,1234.80000,483.00000,751.80000,328.40000,445.80000,306.00000,-28.90000,277.10000,61.20000,215.90000,215.90000,,215.10000,425.70000,306.00000,121.80000,123.50000,1.77000,1.74000,0.70900,0.48390,1.10950,60.88440,24.78130,24.78130,22.44090,17.41980,0.13220,1.77930,50.58310,6.17100,-7.43560,2.31150,3.18460,28.72410,3.2983,2.3087
2021-03-31,1213.00000,483.30000,729.70000,308.80000,423.10000,306.60000,-38.10000,268.50000,65.60000,202.90000,202.90000,,201.60000,423.30000,306.60000,121.80000,123.20000,1.66000,1.64000,0.71100,0.49410,1.30460,60.15660,25.27620,25.27620,22.13520,16.62000,0.12540,1.71130,52.59030,6.04410,-6.56000,2.09840,3.05750,27.58420,1.16400,0.24680
2020-12-31,1118.50000,480.80000,637.70000,366.60000,468.20000,169.49990,-75.10000,94.40000,16.70000,77.70000,77.70000,,74.50000,273.59990,169.50010,121.50000,122.80000,0.61000,0.61000,0.99810,0.50520,1.36390,57.01390,15.15420,15.15420,8.43990,6.66070,0.11640,1.77370,50.74120,2.42030,-3.26720,0.80840,1.19770,26.35710,2.4288,1.5142
2020-09-30,1068.30000,433.20000,635.10000,330.00000,430.70000,204.40000,101.70000,306.10000,76.80000,229.30000,229.30000,,228.50000,307.50000,204.40000,121.50000,123.00000,1.88000,1.86000,0.96680,0.52470,1.47550,59.44960,19.13320,19.13320,28.65300,21.38910,0.11550,1.76320,51.04470,7.72890,-9.18890,2.47900,3.67340,24.39800,2.9781,2.0332
2020-06-30,982.80000,409.30000,573.50000,309.90000,406.70000,166.80000,-38.40000,128.40000,28.00000,100.40000,100.40000,,100.20000,264.60000,166.80000,121.40000,122.70000,0.83000,0.82000,1.27080,0.58610,1.60030,58.35370,16.97190,16.97190,13.06470,10.19540,0.11130,1.65870,54.25820,3.67190,-3.72390,1.13670,1.51970,22.50450,2.0471,1.1936
2020-03-31,957.90000,414.10000,543.80000,316.00000,407.90000,135.90000,20.40000,156.30000,37.50000,118.80000,118.80000,,116.90000,230.20000,135.90000,121.30000,122.60000,0.96000,0.95000,1.00450,0.59060,1.44380,56.77000,14.18730,14.18730,16.31690,12.20380,0.12570,1.58200,56.89010,4.88930,-4.20840,1.55850,2.00170,20.01480,0.25120,-0.46660
2019-12-31,905.80020,382.79990,523.00020,388.99990,475.90010,47.10020,-3.90000,43.20000,17.70000,25.50010,25.50010,,23.90000,135.60020,47.10000,120.90000,122.00000,0.20000,0.24000,0.88990,0.56300,1.28960,57.73900,5.19980,5.19980,4.76930,2.63860,0.11450,1.70230,52.86930,0.97220,-0.90270,0.32240,0.42480,21.64110,1.8926,1.1168
2019-09-30,875.70000,374.50000,501.20000,295.50000,379.60000,121.60000,-25.10000,96.50000,14.00000,82.50000,82.50000,,81.10000,207.30000,121.60000,121.00000,122.30000,0.67000,0.66000,0.57180,0.52550,1.25310,57.23420,13.88600,13.88600,11.01980,9.26120,0.11780,1.69510,53.09350,3.22380,-2.93070,1.11030,1.52950,21.13210,-1.3533,-2.1439
2019-06-30,880.00000,376.90000,503.10000,306.80000,389.30000,113.80000,-24.80000,89.00000,20.70000,68.30000,68.30000,,66.80000,197.70010,113.80000,120.80000,122.00000,0.55000,0.55000,0.54330,0.52260,1.10730,57.17050,12.93180,12.93180,10.11360,7.59090,0.11770,1.75090,51.40230,2.63920,-2.36040,0.91390,1.25990,21.40530,1.7779,1.0129
2019-03-31,846.10000,387.50000,458.60000,998.90000,1076.50000,-617.90000,-24.60000,-642.50000,-88.10000,-554.40000,-554.40000,,-555.90000,-538.70000,-617.90000,120.70000,121.60000,-4.60000,-4.60000,0.56780,0.50440,1.04430,54.20160,-73.02920,-73.02920,-75.93670,-65.70150,0.11530,1.64610,54.67440,-21.23410,20.25060,-7.55760,-10.52430,21.61340,0.25490,-0.68910
2018-12-31,835.30010,372.30000,463.00010,337.80000,416.90000,46.10020,-7.00000,39.10000,1.60000,37.50000,37.50000,,36.40000,126.70010,46.09990,120.40000,121.40000,0.30000,0.30000,1.09130,0.45460,0.83520,55.42920,5.51900,5.51900,4.68100,4.35770,0.11680,1.78060,50.54350,1.18830,-1.72970,0.52420,0.64810,26.16670,1.3644,0.4242
2018-09-30,834.20000,376.70000,457.50000,317.50000,393.40000,64.10000,-25.40000,38.70000,-0.90000,39.60000,39.60000,,38.40000,141.90000,64.10000,120.50000,121.60000,0.32000,0.32000,1.19260,0.44790,0.81210,54.84300,7.68400,7.68400,4.63920,4.60320,0.11690,1.78290,50.48070,1.22170,-1.84270,0.55510,0.67450,26.87810,1.2501,0.5626
2018-06-30,876.90000,348.60000,528.30000,257.50000,334.70000,193.60000,-24.20000,169.40000,23.30000,146.10000,146.10000,,144.80000,272.10000,193.60000,120.30000,121.40000,1.20000,1.19000,1.40020,0.44490,0.80260,60.24630,22.07780,22.07780,19.31810,16.51270,0.12320,1.85200,48.59730,4.45470,-6.93770,2.05290,2.47290,27.24000,1.9366,1.4221
2018-03-31,865.70000,342.80000,522.90000,300.50000,378.70000,144.20000,-21.00000,123.20000,29.40000,93.80000,93.80000,,90.90000,223.20000,144.20000,120.20000,121.30000,0.76000,0.75000,0.59610,0.34270,0.78760,60.40200,16.65700,16.65700,14.23130,10.50020,0.12030,1.77580,50.68150,2.81100,-4.26640,1.30350,1.84770,27.73820,0.98600,0.52270
2017-12-31,838.49990,318.90000,519.60000,253.50000,327.10000,192.49990,-20.20000,172.30000,-2.20000,174.50000,174.50000,,172.30000,266.70000,192.49990,120.10000,121.50000,1.44000,1.42000,0.59660,0.34930,0.83490,61.96780,22.95770,22.95770,20.54860,20.54860,0.11590,1.88510,47.74240,5.38750,-7.63010,2.41240,3.50540,26.96920,1.702,1.2034
2017-09-30,834.80000,297.30000,537.50000,310.40000,382.80000,154.70000,-18.70000,136.00000,35.50000,100.50000,100.50000,,96.30000,227.90000,154.70000,120.10000,121.40000,0.80000,0.79000,0.67300,0.39170,0.85490,64.38670,18.53140,18.53140,16.29130,11.53570,0.11730,1.82150,49.40940,3.17470,-4.21470,1.41240,1.93110,26.38080,2.3142,1.8367
2017-06-30,856.70000,293.70000,563.00000,226.60000,297.10000,265.90000,-23.30000,242.60000,75.00000,167.60000,167.60000,,165.40000,337.30000,265.90000,120.30000,121.90000,1.37000,1.36000,0.74490,0.39810,0.91920,65.71730,31.03770,31.03770,28.31800,19.30660,0.12140,1.85270,48.57710,5.43910,-7.13160,2.37450,3.27380,25.59300,1.8491,1.4422
2017-03-31,832.20000,300.80000,531.40000,241.50000,312.80000,218.60000,-22.90000,195.70000,40.30000,155.40000,155.40000,,153.30000,290.70000,218.60000,120.00000,121.90000,1.28000,1.26000,0.58700,0.40830,0.90410,63.85480,26.26770,26.26770,23.51600,18.42110,0.12260,1.81030,49.71520,5.26390,-6.18530,2.28900,3.11450,24.56070,0.85070,0.50860
2016-12-31,801.19980,286.30000,514.89970,232.90000,303.80010,211.09970,-28.40000,182.70000,57.90000,124.80000,124.80000,,123.00000,284.39970,211.09990,119.30000,121.10000,1.03000,1.02000,0.53420,0.43400,0.98200,64.26610,26.34790,26.34800,22.80330,15.35200,0.12020,1.84910,48.67330,4.58600,-4.67140,1.87270,2.59560,22.69640,2.3096,1.9569
2016-09-30,804.10000,288.00000,516.10000,233.40000,304.00000,212.10000,-21.90000,190.20000,55.30000,134.90000,134.90000,,132.80000,282.80000,212.10000,119.50000,121.30000,1.11000,1.09000,0.51000,0.43390,1.01990,64.18360,26.37730,26.37730,23.65380,16.51540,0.11810,1.84260,48.84470,4.83960,-4.84310,1.98190,2.73980,23.30600,2.0215,1.6252
2016-06-30,811.30000,285.80000,525.50000,231.60000,299.80000,225.70000,-24.40000,201.30000,68.30000,133.00000,133.00000,,130.90000,293.60000,225.70000,119.20000,121.10000,1.10000,1.08000,0.65200,0.49170,1.14040,64.77260,27.81960,27.81960,24.81200,16.13460,0.12220,1.94090,46.37000,5.14830,-4.60530,2.00280,2.61700,21.65470,1.57,1.2191
2016-03-31,728.30000,253.30000,475.00000,243.10000,298.80000,176.20000,-22.20000,154.00000,51.60000,102.40000,102.40000,,102.10000,233.00000,176.20000,118.80000,120.80000,0.86000,0.85000,0.36430,0.42650,1.21180,65.22040,24.19330,24.19330,21.14510,14.01900,0.10820,1.71490,52.48250,4.04300,-3.35060,1.52090,2.31850,21.28400,0.89490,0.56210
2015-12-31,666.30010,225.00000,441.30010,215.50000,264.40000,176.90010,-9.20000,167.70000,54.70000,113.00000,113.00000,,111.90000,226.50010,176.90010,118.70000,120.90000,0.93000,0.92000,0.93010,0.32630,0.50530,66.23140,26.54960,26.54960,25.16880,16.79420,0.14800,1.90480,47.24900,4.80770,-9.88450,2.51030,3.23890,19.80120,1.9104,1.4772
2015-09-30,667.40000,226.50000,440.90000,217.20000,266.60000,174.30000,-1.40000,172.90000,53.20000,119.70000,119.70000,,117.90000,223.90000,174.30000,118.40000,120.60000,1.00000,0.98000,0.84280,0.33570,0.58770,66.06230,26.11630,26.11630,25.90650,17.66560,0.14700,1.86580,48.23640,5.27890,-9.44010,2.63580,3.50680,19.16740,2.0557,1.7362
