Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,6.17200,5.62700,-11.79900,-0.92300,-12.72200,,-12.72200,-12.72200,-6.78300,-11.79200,-11.79900,28.83600,28.83600,-0.24000,-0.24000,1.60170,0.70100,4.90130,,,,,,,-220.29440,-220.29430,-29.21910,-65.87610,0.10710,-0.2306,-0.2346
2024-06-30,,,6.11500,6.40900,-12.52400,-0.83700,-13.36100,,-13.36100,-13.36100,-6.80500,-12.50100,-12.52400,26.32400,26.32400,-0.26000,-0.26000,1.93200,0.75610,5.31480,,,,,,,-240.73890,-240.73860,-30.55620,-58.71160,0.10970,-0.3391,-0.3426
2024-03-31,,,7.58600,6.44800,-14.03400,-0.74500,-14.77900,,-14.77900,-14.77900,-7.48300,-14.06800,-14.03400,26.03400,26.03400,-0.29000,-0.29000,3.09460,0.58930,2.02540,,,,,,,-101.67870,-101.67870,-27.61810,-41.76270,0.28830,-0.36110,-0.36180
2023-12-31,,,7.60600,5.82800,-13.43400,-0.62100,-14.05500,,-14.05500,-14.05500,-7.09800,-13.61400,-13.43400,25.50500,25.50500,-0.27000,-0.27000,6.36460,0.49040,1.15480,,,,,,,-55.24110,-55.24110,-24.26790,-28.15110,0.50730,-0.4921,-0.4986
2023-09-30,,,11.22000,6.63500,-17.85500,-0.47700,-18.33200,,-18.33200,-18.33200,-9.19700,-18.18800,-17.85500,25.55200,25.55200,-0.36000,-0.36000,8.60750,0.44660,0.84220,,,,,,,-52.64940,-52.64940,-26.02650,-29.13540,0.69650,-0.5519,-0.5705
2023-06-30,,,11.08600,7.20800,-18.29400,-0.37000,-18.66400,,-18.66400,-18.66400,-9.30300,-18.59000,-18.29400,25.34500,25.34500,-0.37000,-0.37000,13.31720,0.37790,0.60750,,,,,,,-38.74690,-38.74690,-22.35020,-24.10310,0.97050,-0.4834,-0.4965
2023-03-31,,,9.71200,6.80400,-16.51600,-0.31600,-16.83200,,-16.83200,-16.83200,-8.37200,-16.96900,-16.51600,25.24000,25.24000,-0.33000,-0.33000,17.28890,0.32170,0.47420,,,,,,,-27.32960,-27.32960,-17.45230,-18.53830,1.24440,-0.48150,-0.49140
2022-12-31,,,10.38500,7.09700,-17.48200,0.10000,-17.38200,-0.04000,-17.34200,-17.34200,-8.78600,-17.89100,-17.48200,23.81700,23.81700,-0.35000,-0.35000,20.96030,0.28260,0.39390,,,,,,,-23.43390,-23.43390,-16.05340,-16.81190,1.49770,-0.6498,-0.6733
2022-09-30,,,9.10300,7.23900,-16.34200,0.02700,-16.31500,-0.10700,-16.20800,-16.20800,-7.95500,-16.39200,-16.34200,24.46800,24.46800,-0.33000,-0.33000,14.01610,0.13990,0.16270,,,,,,,-18.71440,-18.71440,-14.97940,-16.09570,1.75460,-0.4954,-0.5139
2022-06-30,,,9.52800,6.31900,-15.84700,0.03500,-15.81200,0.15400,-15.96600,-15.96600,-7.62400,-15.72500,-15.84700,24.37100,24.37100,-0.31000,-0.31000,18.31990,,,,,,,,,-16.18380,-16.18380,-15.30130,-16.18380,2.00690,-0.3706,-0.3847
2022-03-31,,,7.59100,6.18900,-13.78000,0.01500,-13.76500,0.06300,-13.82800,-13.82800,-6.22300,-13.66900,-13.78000,21.40900,21.40900,-0.29000,-0.29000,26.28970,,,,,,,,,-12.49770,-12.49770,-11.99210,-12.49770,2.25070,-0.43720,-0.44910
2021-12-31,0.00000,0.00000,7.41700,5.94500,-13.36200,0.01700,-13.34500,-0.04000,-13.30500,-13.30500,-5.18900,-13.24900,-13.36200,19.53400,19.53400,-0.27000,-0.27000,45.30110,,,,,,,,0.00000,-10.94460,-10.94460,-10.71200,-10.94460,2.48090,-0.5808,-0.5946
2021-09-30,,,11.95900,15.82200,-27.78100,-0.88200,-28.66300,0.03700,-28.70000,-28.70000,-3.14200,-27.66100,-27.78100,19.43700,19.43700,-0.16000,-0.16000,25.21240,,,,,,,,,-21.79060,-21.79060,-20.95530,-21.79060,2.68780,-1.0699,-1.082
2021-06-30,1.96100,1.96100,3.75900,3.46000,-5.25800,-0.22600,-5.48400,0.00100,-5.48500,-5.48500,,-5.13000,-5.25800,,,,0.00000,7.42690,,0.05770,100.00000,-268.12850,-268.12850,-279.65330,,0.02540,4.43500,-8.14280,-7.09380,-8.14280,1.43640,0,0
2021-03-31,0.75600,0.75600,3.34700,2.60700,-5.19800,-0.35700,-5.55500,0.04300,-5.59800,-5.59800,,-5.06200,-5.19800,,,,0.00000,,,,100.00000,-687.56620,-687.56620,-734.78840,,,,,,,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0.425,0.4735
2020-09-30,0.10800,0.10800,2.09000,0.84500,-2.82700,-0.05100,-2.87800,-0.00500,-2.87300,-2.87300,,-2.68300,-2.82700,19.43700,19.43700,-0.16000,-0.16000,,,,100.00000,-2617.59300,-2617.59300,-2664.81500,,,,,,,,-0.2346,-0.2629
2020-06-30,0.06000,0.06000,2.55800,0.89200,-3.39000,0.68200,-2.70800,-0.00600,-2.70200,-2.70200,-2.71400,-3.39000,-3.39000,46.89000,46.89000,-0.06000,-0.06000,,,,100.00000,-5650.00000,-5650.00000,-4513.33300,-4523.33300,,,,,,,-0.1904,-0.2106
