Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,91.82300,74.60000,17.22300,7.62100,,8.00000,9.22300,1.15000,10.37300,2.29000,8.08300,8.08300,,8.08300,10.41600,9.22300,7.13100,7.13100,1.13000,1.13000,4.95070,18.75670,10.04430,10.04430,11.29670,8.80280,0.21410,0.28300,1.95980,45.92380,2.33220,2.50260,1.88460,2.33220,48.81350,-2.4475,-2.8436
2024-06-30,85.06000,70.36100,14.69900,7.95900,,8.33800,6.36100,1.48500,7.84600,1.76900,6.07700,6.07700,,6.07700,7.57100,6.36100,7.12800,7.12800,0.85000,0.85000,4.99090,17.28070,7.47830,7.47830,9.22410,7.14440,0.20340,0.30850,1.63580,55.01890,1.79750,1.93460,1.45350,1.79750,47.61760,-4.7547,-4.8471
2024-03-31,76.65300,62.80000,13.85300,7.19700,,7.57600,6.27700,2.07500,8.35200,1.78400,6.56800,6.56800,,6.56800,7.75100,6.27700,7.11700,7.11700,0.92000,0.92000,4.58850,18.07240,8.18890,8.18890,10.89590,8.56850,0.18360,0.30790,2.01190,44.73290,1.98050,2.13740,1.57330,1.98050,46.72270,0.78050,0.72590
2023-12-31,98.41600,77.76300,20.65300,6.98000,,7.35800,13.29500,1.89600,15.19100,2.03200,13.15900,13.15900,,13.15900,15.15800,13.29500,7.10600,7.10600,1.85000,1.85000,5.00020,20.98540,13.50900,13.50900,15.43550,13.37080,0.22340,0.40840,2.01970,44.56010,3.69370,3.96910,2.98700,3.69370,50.30440,2.337,2.3163
2023-09-30,83.14100,67.74200,15.39900,7.90400,,8.33100,7.06800,1.77500,8.84300,1.82400,7.01900,7.01900,,7.01900,8.26100,7.06800,7.10800,7.10800,0.99000,0.99000,5.26370,18.52160,8.50120,8.50120,10.63620,8.44230,0.19990,0.37030,1.69190,53.19610,2.04830,2.21020,1.68740,2.04830,48.38770,-0.5937,-0.7013
2023-06-30,78.94600,65.56600,13.38000,7.67900,,8.13000,5.25000,1.87400,7.12400,1.62100,5.50300,5.50300,,5.50300,6.49400,5.25000,7.10600,7.10600,0.77000,0.77000,5.64940,16.94830,6.65010,6.65010,9.02390,6.97060,0.19650,0.39260,1.80310,49.91460,1.64120,1.77650,1.36960,1.64120,47.36490,-0.6357,-0.6962
2023-03-31,80.40900,62.38900,18.02000,8.22100,,8.60000,9.42000,1.85300,11.27300,2.39500,8.87800,8.87800,,8.87800,11.12700,9.42000,7.09700,7.09700,1.25000,1.25000,5.53510,22.41040,11.71510,11.71510,14.01960,11.04110,0.20310,0.40250,1.90640,47.21000,2.69450,2.92520,2.24260,2.69450,46.56330,5.27980,5.20970
2022-12-31,114.04800,100.73400,13.31400,6.94000,,12.63100,0.68300,1.28800,1.97100,-0.20200,2.17300,2.17300,,2.17300,1.87000,0.68300,7.08100,7.08100,0.31000,0.31000,6.08920,11.67400,0.59880,0.59890,1.72820,1.90530,0.27690,0.66210,1.60580,56.04800,0.62430,0.67370,0.52760,0.62430,49.27820,1.7013,1.6296
2022-09-30,69.68300,52.62100,17.06200,6.48600,,6.56400,10.49800,1.08500,11.58300,2.65600,8.92700,8.92700,,8.92700,11.23900,10.49800,7.08300,7.08300,1.26000,1.26000,6.52010,24.48520,15.06540,15.06540,16.62240,12.81090,0.17100,0.29780,1.51310,59.47910,2.58360,2.72600,2.19100,2.58360,48.94120,-0.1654,-0.1965
2022-06-30,77.13800,62.10000,15.03800,7.12500,,7.17900,7.85900,0.77500,8.63400,1.95000,6.68400,6.68400,,6.68400,8.56600,7.85900,7.08100,7.08100,0.94000,0.94000,6.72020,19.49490,10.18820,10.18820,11.19290,8.66500,0.19580,0.39760,1.58320,56.84590,1.98710,2.09830,1.69650,1.98710,47.66500,-1.0665,-1.0848
