Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,300.88800,170.52100,130.36700,,-79.81700,82.39700,47.97000,-1.11700,46.85300,10.18500,36.66800,36.66800,36.66800,50.19900,50.19900,40.09800,41.42900,0.91000,0.89000,0.12540,15.94280,16.68360,15.57160,12.18660,0.08360,4.59780,5.16520,1.01890,4.59780,19.88850,4.0374,4.0287
2024-06-30,279.94200,159.05400,120.88800,,-76.67900,79.48800,41.40000,-1.04500,40.35500,9.38500,30.97000,30.97000,30.97000,43.84900,43.84900,39.17700,41.16800,0.79000,0.75000,0.13820,14.78880,15.66360,14.41550,11.06300,0.08150,4.27990,4.87140,0.90150,4.27990,18.04720,0.5044,0.4434
2024-03-31,264.96800,143.91400,121.05400,,-69.77400,72.88900,48.16500,-1.18800,46.97700,10.19300,36.78400,36.78400,36.78400,50.89200,50.89200,39.10800,41.08500,0.94000,0.90000,0.14450,18.17770,19.20680,17.72930,13.88240,0.08310,5.31350,6.08870,1.15420,5.31350,17.30900,2.29440,2.28810
2023-12-31,246.29500,137.39600,108.89900,,-66.79100,70.02690,38.87200,-1.30300,37.56900,8.30400,29.26500,29.26500,28.86200,41.64600,41.64610,36.03200,38.31800,0.79000,0.74000,0.07560,15.78270,16.90900,15.25370,11.71850,0.08340,4.42720,5.11090,0.99090,4.42720,16.58220,3.1353,3.0542
2023-09-30,239.22300,138.53600,100.68700,,-68.31500,71.41000,29.27700,-1.48200,27.79500,6.08400,21.71100,21.71100,21.71100,31.90900,31.90900,36.74300,38.40400,0.59000,0.57000,0.09340,12.23840,13.33860,11.61890,9.07560,0.08390,4.05510,4.86150,0.76160,4.05510,14.20980,2.8466,2.878
2023-06-30,210.52100,124.40500,86.11600,,-56.68300,59.63500,26.48100,-1.46500,25.01600,5.56400,19.45200,19.45200,19.45200,28.94700,28.94700,36.60400,38.14400,0.53000,0.51000,0.09570,12.57880,13.75020,11.88290,9.23990,0.07500,3.72160,4.48720,0.69290,3.72160,13.87370,-0.0574,-0.0721
2023-03-31,189.93000,114.90000,75.03000,,-51.65500,54.19400,20.83600,-1.11400,19.72200,4.16600,15.55600,15.55600,14.28200,22.98800,22.98800,32.84800,36.95200,0.43000,0.42000,0.09860,10.97040,12.10340,10.38380,7.51960,0.07250,3.06740,3.72470,0.59340,3.06740,13.46720,2.90130,2.88460
2022-12-31,187.36700,108.97600,78.39100,49.91400,,50.30100,28.09000,-2.12700,25.96400,5.54500,20.41900,20.41900,20.41900,30.21700,28.09000,16.57700,32.66900,0.64000,0.63000,0.11860,14.99200,14.99200,13.85730,10.89790,0.07930,4.84270,6.15420,0.86400,4.84250,25.40130,-1.1905,-1.2617
2022-09-30,158.09300,111.74600,46.34700,,-47.34000,49.46500,-3.11800,,-3.11800,-0.71900,-2.39900,-2.39900,-2.39900,-1.38000,-1.38000,16.46600,16.46600,-0.15000,-0.15000,,-1.97230,-0.87290,-1.97230,-1.51750,,,,,,,5.626,5.6433
2022-06-30,144.29200,91.80100,52.49100,,-44.38300,46.13400,6.35700,,6.35700,1.29200,5.06500,5.06500,2.62800,7.72200,7.72200,16.45000,32.66000,0.16000,0.16000,,4.40570,5.35170,4.40560,1.82130,,,,,,,0.5445,0.5405
2022-03-31,152.66700,89.98900,62.67800,,-40.53400,42.09800,20.58000,,20.58000,4.26900,16.31100,16.31100,8.48800,21.75700,21.75700,16.37700,32.41200,0.52000,0.50000,,13.48030,14.25130,13.48030,5.55980,,,,,,,1.41560,1.40230
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,0,0
