Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,42.37100,17.78300,24.58800,3.79000,,18.43200,6.15600,-8.64300,-2.48700,-2.48700,,-2.48700,-4.49400,21.13400,6.15600,40.15400,40.15400,-0.11000,-0.11000,0.46440,0.86700,14.52880,14.52880,-5.86960,-10.60630,0.02870,-0.39130,-0.34980,-0.16860,-0.17820,18.61760,0.4552,0.2129
2024-06-30,42.34200,17.49200,24.85000,3.82000,,18.54300,6.30700,-9.93400,-3.62700,-3.62700,,-3.62700,-5.60700,21.33500,6.30700,40.15400,40.15400,-0.14000,-0.14000,0.46100,0.85540,14.89540,14.89540,-8.56600,-13.24220,0.02860,-0.56050,-0.50330,-0.24500,-0.25750,18.90460,0.3808,0.1804
2024-03-31,44.49300,17.74400,26.74900,3.71100,,18.78600,7.96300,-8.41700,-0.45400,-0.45400,,-0.45400,-2.44400,23.33000,7.96300,40.09700,40.09700,-0.06000,-0.06000,0.46540,0.87050,17.89720,17.89720,-1.02040,-5.49300,0.02960,-0.06920,-0.06240,-0.03020,-0.03160,19.11770,0.40870,0.25930
2023-12-31,44.32100,17.38700,26.93400,3.87700,,21.06900,5.86500,-8.38700,-2.52200,-2.52200,,-2.52200,-4.51800,24.37500,5.86500,39.92200,39.92200,-0.11000,-0.11000,0.46420,0.86650,13.23290,13.23290,-5.69040,-10.19380,0.02930,-0.38180,-0.34540,-0.16690,-0.17490,19.34580,0.2273,-0.0021
2023-09-30,44.21400,17.64400,26.57000,3.53100,,18.25400,8.31600,-8.18600,0.13000,0.13000,,0.13000,-1.89800,23.40500,8.31600,39.93800,39.93800,-0.05000,-0.05000,0.46100,0.85510,18.80850,18.80850,0.29400,-4.29280,0.02890,0.01930,0.01760,0.00850,0.00890,19.64180,0.5155,0.3774
2023-06-30,44.60400,17.24600,27.35800,3.66800,,19.43600,7.92200,-8.43800,-0.51600,-0.51600,,-0.51600,-2.53500,24.03900,7.92200,39.93800,39.93800,-0.06000,-0.06000,0.46230,0.85990,17.76070,17.76070,-1.15680,-5.68330,0.02900,-0.07620,-0.06980,-0.03360,-0.03520,19.75280,0.3424,0.0802
2023-03-31,45.95700,17.72000,28.23700,3.76500,,19.06900,9.16800,-8.29500,0.87300,0.87300,,0.87300,-1.15100,24.80400,9.16800,39.87300,39.87300,-0.03000,-0.03000,0.47230,0.89510,19.94910,19.94910,1.89960,-2.50450,0.02920,0.12850,0.11820,0.05540,0.05820,19.81870,0.34820,0.06270
2022-12-31,44.61300,17.00200,27.61100,3.20600,,32.07400,-4.46300,-7.77400,-12.23700,-12.23700,,-12.23700,-14.27300,11.26600,-4.46300,42.05200,42.86600,-0.31000,-0.31000,0.46210,0.85920,-10.00380,-10.00380,-27.42920,-31.99290,0.02830,-1.77050,-1.63650,-0.77720,-0.81950,20.22140,0.1823,-0.0148
2022-09-30,45.52200,17.41200,28.11000,3.50600,,19.06100,9.04900,-6.88500,2.16400,2.16400,,2.16400,0.13400,24.89800,9.04900,41.35100,42.12500,0.00000,0.00000,0.45060,0.82020,19.87830,19.87830,4.75370,0.29440,0.02870,0.30380,0.28260,0.13660,0.14420,20.75420,0.6209,0.3136
2022-06-30,45.49800,16.83600,28.66200,3.61400,,19.31500,9.34700,-6.28400,3.06300,3.06300,,3.06300,1.04400,25.36700,9.34700,43.63200,44.48200,0.02000,0.02000,0.42760,0.74700,20.54380,20.54380,6.73220,2.29460,0.02820,0.40090,0.37620,0.19010,0.20010,20.21630,1.3553,1.1085
