Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,395.86620,105.17640,290.68980,3.44420,-38.68460,73.94930,216.74050,47.90030,264.64080,80.83690,183.80390,,183.80390,178.86490,242.89670,216.74050,30.01100,30.01100,5.96000,5.96000,4.64790,0.16760,0.21820,73.43130,54.75100,54.75100,66.85110,45.18320,0.09540,,2.22410,40.46500,6.00140,66.43620,4.43010,4.99530,,5.4428,3.7452
2024-06-30,428.85260,96.54850,332.30410,4.68370,-42.84780,80.41450,251.88960,69.95460,321.84410,102.63820,219.20600,,219.20600,213.06690,251.88960,251.88960,30.00100,30.00100,7.10200,7.10200,3.96680,0.16950,0.22840,77.48680,58.73570,58.73570,75.04770,49.68300,0.10170,,2.03480,44.22950,7.10320,140.04060,5.20050,5.89890,,-11.1859,-10.1881
2023-12-31,448.18830,370.20210,77.98620,5.09830,,-165.90400,243.89020,-11.60910,232.28120,69.49300,162.78820,,162.78820,161.77780,270.25980,243.89030,30.00200,30.00200,5.11430,5.11430,3.88070,0.17560,0.23700,17.40030,54.41690,54.41690,51.82670,36.09590,0.11280,108.55280,2.76660,32.53110,5.58470,126.30570,4.09600,4.60390,97.16340,4.7121,3.4258
2023-09-30,371.45670,88.60510,282.85160,4.90170,-31.92070,67.28950,215.56210,8.01370,223.57580,59.07720,164.49860,,164.49860,158.77860,248.07930,215.56210,29.99780,29.99780,5.29300,5.29300,2.96920,0.18440,0.24850,76.14660,58.03160,58.03160,60.18890,42.74490,0.08890,,2.26930,39.66000,5.63180,1310.15400,3.93780,4.59330,,7.1883,6.4683
2023-06-30,348.45470,63.82400,284.63060,4.32000,-30.56710,63.65990,220.97080,-18.67760,202.29320,52.33640,149.95680,,149.95680,138.37060,252.28090,220.97080,29.09600,29.09600,4.75560,4.75560,2.42110,0.19430,0.28150,81.68370,63.41450,63.41450,58.05440,39.70980,0.08960,,2.02520,44.43940,5.67230,-100.02290,3.85400,4.57000,,7.6735,7.6814
2023-03-31,290.82320,56.99770,233.82540,3.71470,-22.56430,52.98940,180.83610,-12.95130,167.88470,41.93750,125.94720,,125.94720,117.58280,207.54640,180.83610,29.01100,29.01100,4.05310,4.05310,3.57620,0.18860,0.26740,80.40130,62.18080,62.18080,57.72740,40.43100,0.07660,,1.53570,58.60480,4.64970,-4297.56600,3.31900,3.77290,,5.74620,5.16270
2022-12-31,367.00390,332.20720,34.79680,3.59330,91.55450,-163.34850,198.14520,-14.95230,183.19290,43.00960,140.18330,,140.18330,130.66990,225.05600,198.14520,30.00000,30.00000,8.53200,8.53200,3.24950,0.21390,0.31020,9.48130,53.98990,53.98990,49.91580,35.60450,0.10410,103.28590,2.35610,38.19900,5.75450,-77.43610,3.97720,4.52380,81.20250,5.3152,2.8749
2022-09-30,310.96330,72.46580,238.49750,3.65760,-26.42370,55.90890,182.58860,-9.14820,173.44040,41.12870,132.31170,,132.31170,125.79730,207.91410,182.58860,29.77700,29.77700,4.22460,4.22460,3.69700,0.22910,0.33180,76.69640,58.71710,58.71710,55.77520,40.45410,0.08870,,2.38330,37.76300,5.52030,-64.50740,3.77450,4.25580,,16.5422,14.4462
2022-06-30,315.35350,73.97640,241.37710,3.63400,-27.37940,56.25460,185.12250,5.40520,190.52770,48.58870,141.93900,,141.93900,132.81120,210.91190,185.12250,603.96200,603.96200,0.21990,0.21990,2.78080,0.19730,0.26860,76.54180,58.70320,58.70320,60.41720,42.11500,0.09760,,2.23260,40.31120,6.17250,-40.75870,4.39450,4.95480,,-4.5211,-4.0696
2022-03-31,264.77930,51.89340,212.88590,3.38210,-20.54360,48.24410,164.64180,-11.79150,152.85030,38.18190,114.66840,,114.66840,107.05300,188.96020,164.64180,29.99990,29.99990,3.56850,3.56850,3.32200,0.20450,0.28020,80.40130,62.18080,62.18080,57.72740,40.43100,0.08060,,2.04940,43.91530,4.92020,-43.04030,3.48940,3.91390,,5.05920,4.54550
2021-12-31,328.64870,311.17880,17.47000,2.71020,,-116.97210,134.44200,-7.53910,126.90290,26.94150,99.96140,,99.96140,97.22370,207.50360,134.44200,29.99370,29.99370,3.23330,3.23330,3.08000,0.22390,0.30110,5.31570,40.90750,40.90750,38.61350,29.58290,0.10130,110.54000,2.77700,32.40950,4.43000,-24.71710,3.08000,3.43830,75.21550,10.9241,6.3274
2021-09-30,243.30530,66.35250,176.95290,4.35500,-18.84670,48.41180,128.54100,-2.84750,125.69360,27.82100,97.87260,,97.87260,89.69750,104.05260,128.54100,30.00010,30.00010,2.98990,2.98990,2.18180,0.22500,0.32040,72.72870,52.83120,52.83120,51.66080,36.86620,0.07380,,2.19460,41.00930,4.45530,-23.21790,2.96830,3.45290,,-0.307,0.0595
