Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.88700,0.46900,0.41800,0.65700,2.97600,3.63300,-3.21500,0.03100,-3.18400,-3.18400,-3.18400,-3.18400,-3.05100,-3.21500,0.87700,0.87700,-3.63000,-3.63000,3.52050,,47.12510,-362.45770,-362.45770,-358.96280,-358.96280,0.06800,0.77270,1.01260,88.88390,-71.72780,-38.87190,-24.41910,-38.87190,2.61190,2.0562,2.0558
2024-06-30,0.90100,0.43100,0.47000,0.70800,3.63400,4.34200,-3.87200,0.04600,-3.82600,-3.82600,-3.82600,-3.82600,-3.72200,-3.87200,0.46860,0.46860,-8.16000,-8.16000,1.20100,,52.16430,-429.74470,-429.74470,-424.63930,-424.63930,0.15000,0.70770,1.32700,67.82460,155.02440,-459.85560,-63.70300,-459.85570,1.76040,-3.5972,-3.5174
2024-03-31,0.71900,0.24900,0.47000,0.66900,3.30700,3.97600,-3.50600,-0.07000,-3.57600,-3.57600,-3.57600,-3.57600,-3.34600,-3.50600,0.35660,0.35660,-10.00000,-10.00000,2.63090,,65.36860,-487.62180,-487.62180,-497.35750,-497.35750,0.08970,0.39400,1.25920,71.47430,-1103.68600,-98.67550,-44.58850,-98.67550,7.77890,-6.55590,-6.88960
2023-12-31,0.80800,0.24900,0.55900,0.69100,3.00900,3.70000,-3.14100,0.00700,-3.13400,-3.13400,-3.13400,-3.13400,-2.99000,-3.14100,0.22680,0.22680,3.61000,3.61000,1.23850,1.50770,69.18320,-388.73750,-388.73770,-387.87150,-387.87140,0.12730,0.44950,1.55980,57.69800,-402.82930,-402.82800,-49.39330,-402.82800,2.39380,-18.9744,-19.6225
2023-09-30,0.94400,0.40900,0.53500,0.73700,3.17600,3.91300,-3.37800,0.04600,-3.33200,-3.33200,-3.33200,-3.33200,-3.27400,-3.37800,0.28500,0.28500,-11.69000,-11.69000,1.60880,,56.67370,-357.83900,-357.83900,-352.96610,-352.96610,0.12900,0.86290,1.22120,73.69700,-132.37980,-132.37980,-45.53160,-132.37980,8.14890,6.6372,6.9929
2023-06-30,0.74300,0.54900,0.19400,0.90100,3.61500,4.51600,-4.32200,0.03700,-4.28500,-4.28500,-4.28500,-4.28500,-4.23100,-4.32200,0.16310,0.16310,-26.24000,-26.24000,1.15480,,26.11040,-581.69590,-581.69590,-576.71610,-576.71610,0.07540,0.96320,1.23630,72.79950,-474.52810,-474.52940,-43.48050,-474.52930,3.34070,-15.9396,-16.6414
2023-03-31,0.43300,0.48000,-0.04700,0.83400,4.00500,4.83900,-4.88600,0.05600,-4.83000,-4.83000,-4.83000,-4.83000,-4.80600,-4.88600,0.14050,0.14050,-34.40000,-34.40000,2.12250,,-10.85450,-1128.40600,-1128.40600,-1115.47400,-1115.47400,0.05680,1.15380,1.37030,65.68130,-195.23010,-195.23040,-63.31110,-195.23040,17.59130,-25.45200,-26.04980
2022-12-31,0.27700,0.48400,-0.20700,0.81200,6.90900,7.72100,-7.92800,0.02300,-7.90500,-7.90500,-7.90500,-7.90500,-7.84900,-7.92800,0.10010,0.10010,76.00000,76.00000,3.69450,,-74.72920,-2862.09500,-2862.09400,-2853.79100,-2853.79100,0.02500,1.16630,1.21490,74.07940,-126.43960,-126.43950,-71.28690,-126.43950,44.49820,-58.6052,-65.3137
2022-09-30,0.20800,0.30200,-0.09400,0.79700,2.37100,3.16800,-3.26200,0.09100,-3.17100,-3.17100,-3.17100,-3.17100,-3.18400,-3.26200,0.14050,0.14050,-22.56000,-22.56000,10.79380,,-45.19230,-1568.26900,-1568.26900,-1524.51900,-1524.51900,0.01390,0.37280,1.44440,62.30770,-24.49220,-24.49220,-21.22920,-24.49220,92.17410,-11.8438,-11.9894
2022-06-30,0.13500,0.27100,-0.13600,0.65700,4.66300,5.32000,-5.45600,-0.03200,-5.48800,-5.48800,-5.48800,-5.48800,-5.38500,-5.45600,0.10530,0.10530,-52.00000,-52.00000,7.53940,,-100.74070,-4041.48100,-4041.48100,-4065.18500,-4065.18500,0.00740,0.43150,1.80000,50.00000,-36.31310,-36.31310,-30.26860,-36.31310,107.59460,149.4602,158.1983
2022-03-31,0.07100,0.27500,-0.20400,0.56200,1.31300,1.87500,-2.07900,-0.27400,-2.35300,-2.35300,-2.35300,-2.35300,-2.01800,-2.07900,0.01240,0.01240,-190.40000,-190.40000,0.35220,-1.51500,-287.32390,-2928.16900,-2928.16900,-3314.08400,-3314.08400,0.00990,0.45680,1.10940,81.12680,10.34920,25.86850,-32.93210,25.86850,-735.03030,-199.11110,-209.45450
2021-12-31,0.05300,0.01700,0.03600,0.79300,1.80500,2.59800,-2.56200,-0.28000,-2.84200,-2.84200,-2.84200,-2.84200,-2.51100,-2.56200,0.01130,0.01130,-240.80000,-240.80000,0.50230,-1.95370,67.92450,-4833.96200,-4833.96200,-5362.26400,-5362.26400,0.00570,0.09040,0.69740,129.05660,13.82830,41.11100,-30.65140,41.11100,-558.62630,-153.8251,-161.3302
2021-09-30,0.07000,0.01800,0.05200,0.60100,1.54800,2.14900,-2.09700,-0.26600,-2.36300,-2.36300,-2.36300,-2.34100,-2.04600,-2.09700,0.01150,0.01150,-204.00000,-204.00000,,,74.28570,-2995.71400,-2995.71400,-3375.71500,-3344.28600,,,,,,,,,,-111.7119,-113.2788
2021-06-30,0.02200,0.00900,0.01300,0.23700,1.38900,1.62600,-1.61300,-0.06200,-1.67500,-1.67500,-1.67500,-1.66500,-1.61300,-1.61300,0.01040,0.01040,-160.80000,-160.80000,,,59.09090,-7331.81800,-7331.81800,-7613.63700,-7568.18200,,,,,,,,,,-99.1807,-99.1807
2021-03-31,0.01500,0.01100,0.00400,0.08700,0.10600,0.19300,-0.18900,-0.01200,-0.20100,-0.20100,-0.20100,-0.20000,-0.18900,-0.18900,0.01040,0.01040,-19.20000,-19.20000,,,26.66670,-1260.00000,-1260.00000,-1340.00000,-1333.33300,,,,,,,,,,-15.61450,-15.61450
2020-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
