Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3492.39700,2942.96600,549.43090,29.73500,477.07200,-31.86100,538.66800,10.76270,11.69900,22.46200,21.15500,1.30700,,0.82400,3.21100,10.76270,10.76270,51.22600,51.24100,0.06000,0.06000,1.21840,0.44900,1.48120,15.73220,0.30820,0.30820,0.64320,0.09190,0.18820,1.35450,1.24140,72.50070,,0.01750,0.00440,0.00960,,0,0
2024-06-30,3309.81000,2941.48600,368.32400,29.63900,404.33300,-90.95200,524.92400,-156.59990,152.87600,-3.72400,3.41200,-7.13600,,-16.44400,-13.85100,-156.59990,-156.59990,52.01900,52.46700,-0.27000,-0.29000,1.07610,0.43120,1.54600,11.12830,-4.73140,-4.73140,-0.11250,-0.41850,0.18700,1.09680,1.29950,69.25610,,-0.36100,-0.09290,-0.20310,,0,0
2024-03-31,3191.59600,2812.79100,378.80490,33.29900,392.54200,,425.84100,-47.03610,244.25100,197.21500,66.02500,131.19000,,133.01600,84.40000,-47.03610,-47.03610,54.00000,55.91200,1.56000,0.74000,1.02540,0.35860,1.60250,11.86880,-1.47380,-1.47380,6.17920,2.64440,0.16810,1.00870,1.15720,77.77480,,2.79320,0.70060,1.77510,,0.00000,
2023-12-31,4723.63800,4129.43900,594.19870,39.97700,484.41900,-10.08900,534.48400,59.71530,24.71300,84.42890,29.31500,55.11390,,54.69110,9.22600,59.71530,59.71460,51.92600,56.52800,0.03000,0.81000,1.02320,0.32330,1.67350,12.57930,1.26420,1.26420,1.78740,0.19530,0.24690,1.60950,1.45250,61.96160,1.15790,1.17790,0.28590,0.78350,90.58660,34.4497,-2.4723
2023-09-30,4363.24800,3522.62200,840.62600,29.89300,397.06700,-3.82600,430.78600,409.84010,-32.81200,377.02800,55.27800,321.75000,,318.60600,181.38000,409.84010,409.84010,51.57170,55.79570,3.52000,2.53000,1.10210,0.35770,1.64010,19.26610,9.39300,9.39300,8.64100,4.15700,0.25000,1.34190,1.22630,73.39130,7.02480,7.38490,1.82530,4.51230,87.94340,0,0
2023-06-30,4231.66900,3572.10800,659.56100,31.10800,340.09600,-76.22800,447.43200,212.12920,158.77000,370.89900,47.04600,323.85300,,332.58000,180.12000,212.12920,212.12920,51.14200,55.91400,3.52000,3.06000,1.11060,0.37020,1.79330,15.58630,5.01290,5.01290,8.76480,4.25650,0.24530,1.28960,1.41600,63.56120,7.66900,7.71370,1.92820,4.83030,84.40130,0,0
2023-03-31,3396.97400,2808.55700,588.41720,27.45600,384.51700,,411.97300,176.44410,46.16600,222.61000,45.86800,176.74200,,202.94500,114.83500,176.44410,176.44410,50.48000,52.73900,2.28000,2.18000,1.06190,0.35150,1.66900,17.32180,5.19420,5.19420,6.55320,3.38050,0.20550,0.89960,1.28490,70.04690,4.82640,4.84030,1.22760,3.13020,83.60050,0.00000,
2022-12-31,4166.34800,3583.02100,583.32670,31.51000,431.29600,-30.43300,493.23800,90.08910,76.10000,166.18700,37.72800,128.45900,,150.07500,101.16000,90.08910,90.08860,49.50110,50.10200,2.06000,2.68000,1.05220,0.35350,1.77670,14.00090,2.16230,2.16230,3.98880,2.42800,0.26450,1.41620,1.69460,53.10940,3.83310,3.84450,0.95260,2.47810,77.84120,-16.7865,-50.173
2022-09-30,2743.98200,2312.17400,431.80790,28.35300,394.20700,-0.37400,422.93400,8.87380,118.98100,127.85500,21.19600,106.65900,,112.12800,77.29100,8.87380,8.87380,50.12400,54.76000,1.54000,0.90000,1.08780,0.38540,2.21120,15.73660,0.32340,0.32340,4.65950,2.81670,0.17580,0.76740,1.68920,53.27890,3.08530,3.14730,0.71820,1.89630,72.50570,0,0
2022-06-30,2812.90800,2399.09300,413.81490,22.35000,411.24100,-23.37900,456.97000,-43.15500,9.07200,-34.08300,17.63000,-51.71300,,-51.73000,-93.05300,-43.15500,-43.15500,49.47360,49.47360,-1.88000,-1.88000,1.08810,0.35260,2.12180,14.71130,-1.53420,-1.53420,-1.21170,-3.30810,0.18250,0.86880,1.65520,54.37370,-1.40230,-1.40630,-0.33560,-0.90790,72.79290,0,0
2022-03-31,2329.08800,1977.84900,351.23890,22.86900,321.94100,,344.81000,6.42900,20.20800,26.63700,11.20300,15.43400,,16.45100,4.56700,6.42900,6.42900,48.07900,48.14500,0.10000,0.10000,1.16300,0.33760,1.87620,15.08050,0.27600,0.27600,1.14370,0.19610,0.15970,0.78590,1.69740,53.02300,0.42670,0.42780,0.11280,0.28260,79.01420,0.00000,
2021-12-31,2636.63200,2210.84700,425.78560,18.88550,304.98850,-24.11650,347.99000,77.79490,-5.74260,72.05250,20.15680,51.89570,,52.65000,38.99640,77.79490,77.79530,47.66800,51.43000,0.81000,1.68000,1.00140,0.44010,2.57840,16.14880,2.95050,2.95060,2.73270,1.47900,0.23020,1.06310,2.21330,40.66290,2.34840,2.35750,0.45970,1.31480,46.99580,1.314,-25.028
2021-09-30,1330.04400,1128.90100,201.14290,19.41400,164.47000,,183.88400,17.25900,14.37700,31.63600,3.40800,28.22800,,30.27000,30.14400,17.25900,17.25900,47.69200,51.29900,0.63000,-0.08000,1.07530,0.44040,2.33080,15.12300,1.29760,1.29760,2.37860,2.26640,0.13390,0.53990,1.98690,45.29750,1.38510,1.38890,0.30480,0.77510,45.82230,0,0
2021-06-30,1227.92500,1017.42200,210.50310,17.78100,137.52500,,155.30600,55.19700,-30.37500,24.82200,-1.06900,25.89100,,25.84900,10.25900,55.19700,55.19700,47.67910,47.79820,0.22000,0.21000,1.08330,0.42240,2.11940,17.14300,4.49510,4.49510,2.02150,0.83550,0.13820,0.66480,2.41310,37.29610,1.20480,1.20800,0.29100,0.69580,44.30820,0,0
2021-03-31,1211.97100,1004.64300,207.32790,16.35300,149.38400,-18.83500,184.57200,22.75600,19.76300,42.51900,7.96900,34.55000,,41.18100,33.74400,22.75600,22.75600,47.60700,51.28600,0.71000,-0.55000,1.06650,0.35560,2.02800,17.10670,1.87760,1.87760,3.50830,2.78420,0.14490,0.72290,1.59230,56.52300,1.96560,1.97070,0.49230,1.26660,43.94250,0.00000,
2020-12-31,1697.82700,1420.29700,277.53040,23.41330,208.48300,,249.39300,28.13730,-79.34390,-51.20670,-1.54140,-49.66540,,-47.63990,-50.60700,88.87380,28.13730,44.73480,42.85980,-1.13000,-1.39000,1.07900,0.37790,2.12220,16.34620,1.65730,1.65730,-3.01600,-2.98070,0.20810,1.10630,2.15030,41.85490,-2.39290,-2.39950,-0.58390,-1.48860,42.48800,7.9368,1.1371
2020-09-30,1291.72500,1071.54600,220.17900,15.53000,124.22700,,139.75700,80.42190,-65.50100,14.92100,10.19600,4.72500,,8.36400,1.00900,80.42190,80.42190,44.49800,42.62300,0.02000,0.91000,1.03990,0.30290,2.03000,17.04540,6.22590,6.22590,1.15510,0.07810,0.17540,0.94210,1.55780,57.77570,0.46130,0.46270,0.11350,0.32160,40.05510,-5.8218,-13.2048
