Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,
2024-09-30,19719.00000,16570.40000,3148.60000,0.00000,3148.60000,-203.80000,2944.80000,611.40000,2333.40000,2333.40000,2333.40000,3215.90000,3148.60000,585.60000,587.60000,3.98000,3.97000,0.20240,0.25380,15.96730,15.96730,14.93380,11.83330,0.18740,8.59150,8.59150,2.21800,6.85260,46.36280,7.842,7.7773
2024-06-30,18134.30000,16082.70000,2051.60200,0.00000,2051.60200,-191.20000,1860.40000,401.70000,1458.70000,1458.70000,1458.70000,2106.80200,2051.60200,585.40000,587.40000,2.49000,2.48000,0.22790,0.29520,11.31340,11.31340,10.25900,8.04390,0.18520,6.24970,6.24970,1.49010,4.82520,39.85040,5.5586,5.515
2024-03-31,17242.50000,14135.20000,3107.30100,0.00000,3107.30100,-167.40000,2939.90000,608.50000,2331.40000,2331.40000,2314.40000,3169.50100,3107.30100,585.40000,587.30000,3.95000,3.94000,0.24010,0.31590,18.02120,18.02120,17.05030,13.42270,0.18320,10.68900,10.68900,2.47680,8.12310,37.23970,7.21160,7.13210
2023-12-31,16891.20000,14226.30000,2664.89600,0.00000,2664.89600,-161.50000,2503.40000,515.60000,1987.80000,1987.80000,1977.40000,2801.59500,2664.89700,584.90000,587.50000,3.39000,3.37000,0.25360,0.33970,15.77680,15.77680,14.82070,11.70670,0.19050,10.04790,9.80320,2.24130,7.31730,34.64390,4.1486,4.0297
2023-09-30,15560.60000,13981.80000,1578.79900,0.00000,1578.79900,-168.60000,1410.20000,288.90000,1121.30000,1121.30000,1110.90000,1648.09900,1578.79900,584.80000,587.50000,1.90000,1.89000,0.28360,0.39590,10.14610,10.14610,9.06260,7.13920,0.18170,6.63440,6.44600,1.30910,4.61770,29.73560,5.8135,5.7624
2023-06-30,15353.50000,14755.40000,598.10060,0.00000,598.10060,-162.40000,435.70000,90.30000,345.40000,345.40000,335.90000,670.20060,598.10060,584.90000,587.00000,0.57000,0.57000,0.29180,0.41210,3.89550,3.89550,2.83780,2.18780,0.18510,2.12980,2.06690,0.41640,1.46370,28.55170,3.9813,3.869
2023-03-31,14303.20000,13597.70000,705.50000,0.00000,705.50000,-151.10000,554.40000,106.50000,447.90000,447.90000,440.60000,768.50000,705.50000,584.90000,587.00000,0.75000,0.75000,0.27470,0.37880,4.93250,4.93250,3.87610,3.08040,0.17790,2.73540,2.65530,0.55700,1.92580,28.81520,4.17290,4.10660
2022-12-31,13469.80000,12299.30000,1170.50100,0.00000,1170.50300,-145.20000,1025.30000,198.90000,826.40000,826.40000,819.59990,1227.30300,1170.50100,584.40000,587.10000,1.40000,1.40000,0.28670,0.40200,8.68980,8.68980,7.61180,6.08470,0.17850,5.36720,5.20040,1.09510,3.70930,27.16880,1.5834,1.5359
2022-09-30,12780.20000,12486.00000,294.20020,0.00000,294.20020,-151.70000,142.50000,18.40000,124.10000,124.10000,117.40000,349.90020,294.20020,584.50000,587.10000,0.20000,0.20000,0.30180,0.43230,2.30200,2.30200,1.11500,0.91860,0.16920,0.86890,0.85840,0.16430,0.58640,25.25420,3.4463,3.2695
