Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1205.85100,317.27300,888.57780,721.98280,755.64800,132.92960,132.92950,32.47640,100.45310,100.45310,99.96030,63.90000,63.90000,1.56400,1.56400,,,,,,,,,,,,
2024-06-30,924.14400,474.88830,449.25570,825.71790,855.41770,-406.16200,-406.16200,-149.59500,-256.56700,-256.56700,-257.08240,63.94130,63.94130,-4.02100,-4.02100,0.12370,0.14120,-90.40780,-57.22410,0.03490,-7.30520,-7.60970,-1.99330,-6.40130,54.92760,9.9665,9.475
2024-03-31,2600.84300,656.69920,1944.14400,1477.31100,1506.45180,437.69170,437.69130,107.40880,330.28260,330.28260,330.50370,63.94130,63.94130,5.16900,5.16900,0.11590,0.13730,22.51330,17.00000,0.16200,8.19060,8.46900,2.75290,7.24140,63.06490,0.51810,0.15200
2023-12-31,12243.48000,3896.30000,8347.18000,5276.50200,5428.60100,2918.57800,2967.80300,947.19590,2020.60700,2020.60700,2019.52100,63.94130,63.94130,31.58360,31.58360,0.16600,0.21060,35.34610,24.05220,0.32890,26.01430,27.00750,7.91490,21.69550,121.47600,-8.5382,-10.7347
2023-09-30,2199.13500,1044.23400,1154.90100,1064.88700,1092.12800,62.77370,62.77370,37.98610,24.78750,24.78750,24.69930,63.94130,63.94130,0.38630,0.38630,0.13360,0.19270,5.51200,2.16880,0.09310,0.74540,0.77280,0.20260,0.64580,52.00930,-5.5938,-6.1741
2023-06-30,1546.48900,657.29190,889.19710,659.37510,679.76810,209.42900,209.42900,63.69740,145.73160,145.73160,145.63090,63.94130,63.94130,2.27760,2.27760,0.13050,0.15990,24.04520,16.72030,0.08300,5.94410,6.16830,1.38850,5.16840,38.34310,-3.1773,-3.4416
2023-03-31,1298.66100,563.11030,735.55020,648.52700,669.56970,65.98020,65.98020,23.94070,42.03950,42.03950,41.98190,63.94130,63.94130,0.65660,0.65660,0.12960,0.15590,9.15640,5.82600,0.06900,1.54490,1.60010,0.40230,1.34480,42.55650,12.24420,11.89340
2022-12-31,2887.81200,1201.71900,1686.09300,830.30550,880.33500,805.75810,207.94350,51.42250,156.52100,156.52100,156.51960,63.94130,63.94130,2.44710,2.44710,0.13110,0.15090,12.60200,9.48550,0.10250,3.96840,4.10830,0.97250,3.44810,61.68440,21.2697,20.3288
2022-09-30,1454.92600,545.16910,909.75720,762.09990,786.42090,123.33620,123.33620,57.60360,65.73270,65.73270,65.59750,63.94100,63.94100,1.02590,1.02590,0.13400,0.15550,13.71610,7.29500,0.06880,2.09060,2.16720,0.50320,1.81050,49.17430,19.061,17.9541
2022-06-30,1062.02000,364.88590,697.13430,621.83610,644.29610,52.83880,52.83870,17.60930,35.22940,35.22940,35.25490,63.94130,63.94130,0.55100,0.55100,0.14090,0.16500,7.65150,5.10520,0.06000,1.22150,1.26640,0.30600,1.04940,45.10740,10.9334,10.0518
2022-03-31,825.46780,253.20600,572.26170,480.37060,500.97500,71.28670,71.28670,14.81260,56.47410,56.47410,56.58520,63.94130,63.94130,0.88500,0.88500,0.15330,0.22310,12.45700,9.88800,0.05340,2.12770,2.20360,0.52670,1.80150,41.50990,11.08240,11.08240
2021-12-31,1094.12900,344.79660,749.33280,660.90090,688.89440,60.43870,60.45200,-30.30790,90.75990,90.75990,90.75510,63.94130,63.94130,1.41440,1.41440,0.15930,0.18950,8.34560,12.52900,0.06900,3.60700,3.73810,0.86500,3.03250,39.35180,0.9483,0.6777
2021-09-30,652.17420,207.49650,444.67770,348.90950,365.97850,78.69920,78.68590,2.93590,75.75010,75.75010,75.74880,63.94130,63.94130,1.18500,1.18500,0.17600,0.22230,17.69510,17.03450,0.04800,3.55540,3.69000,0.81800,2.92980,33.32060,5.2786,4.9359
2021-06-30,619.32170,198.95210,420.36960,342.58260,357.78680,62.58280,62.58280,13.64130,48.94150,48.94150,48.94060,63.94130,63.94130,0.77000,0.77000,0.18790,0.23290,14.96780,11.70500,0.04860,2.53000,2.62560,0.56940,2.05450,30.25390,-0.1663,-0.4566
2021-03-31,661.42840,240.31050,421.11800,355.66220,370.21580,50.90210,50.90210,26.18410,24.71800,24.71800,24.71720,63.94130,63.94130,0.38660,0.38660,0.20690,0.26080,12.08820,5.86980,0.04870,1.28640,1.33200,0.28560,1.02030,30.04970,1.27210,1.04390
2020-09-30,506.48470,214.13870,292.34600,151.85150,165.76190,126.58420,126.58420,43.34800,83.23620,83.23620,83.23510,63.94130,63.94130,1.30000,1.30000,0.21760,0.27800,47.16660,31.01430,0.02680,4.53660,4.69190,0.83150,3.54970,28.69450,5.6317,5.4413
2020-06-30,504.86190,141.53920,363.32280,216.49960,230.12460,133.19810,133.19810,38.54450,94.65360,94.65360,94.65210,63.94100,63.94100,1.48030,1.48030,0.22480,0.30070,40.52940,28.80060,0.03550,5.36530,5.55750,1.02270,4.15910,27.59080,13.1424,13.69
