Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,2.13300,,-2.13300,-0.00600,-2.13900,-2.13900,-2.13900,-2.13900,-2.02300,-2.13300,146.74100,146.74100,-0.01000,-0.01000,0.17080,-0.22970,27.82620,16.21680,-29.72490,27.82620,-0.05240,0.0841,0.1191
2024-03-31,11.58800,,-11.58800,-0.00600,-11.59400,-11.59400,-11.59400,-11.59400,-11.58800,-11.58800,28.97900,28.97900,-0.40000,-0.40000,0.81250,-0.31830,209.65640,104.06600,-136.19170,209.65640,-0.03770,-0.1137,-0.1574
2023-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
2023-09-30,,-0.14770,-0.14770,,0.07710,,,0.07710,,,3.40310,3.40310,0.02000,0.02000,0.50640,-0.19740,,,,,-1.03320,0,0
2023-06-30,0.42700,,-0.42700,-0.00600,-0.43300,-0.43300,-0.43300,-0.43300,-0.31900,-0.42700,2.50000,2.50000,-0.17000,-0.17000,0.06910,-0.17230,7.61010,7.61010,-2.08230,7.61010,-1.67200,0.002,0.002
2023-03-31,0.66000,,-0.66000,-0.00600,-0.66600,-0.66600,-0.66600,-0.66600,-0.66000,-0.66000,2.50000,2.50000,-0.27000,-0.27000,0.11760,-0.13410,12.32810,12.32810,-3.27170,12.32810,-1.58750,-0.0888,-0.0888
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
2022-09-30,,-0.30230,-0.30230,,0.22460,,,0.22460,,,3.40310,3.40310,0.07000,0.07000,1.12490,-0.02210,,,,,-1.17490,-0.0621,-0.0621
2022-06-30,,-0.17060,-0.17060,0.15760,-0.01300,-0.01300,-0.01300,-0.01300,-0.17060,-0.17060,3.40300,3.40300,0.00000,0.00000,2.91250,-0.02510,0.36850,0.36850,-0.01110,0.36850,-1.03590,-0.0153,-0.0153
2022-03-31,,-0.07110,-0.07110,0.01170,-0.05940,-0.05940,-0.05940,-0.05940,-0.07110,-0.07110,3.07000,3.07000,-0.02000,-0.02000,4.53970,-0.02520,1.69120,1.69120,-0.05060,1.69120,-1.03210,-0.1178,-0.1178
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.00000,
