Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,172.17500,61.24500,110.93000,26.97600,153.79400,180.77000,-69.84000,3.65200,-66.18800,0.96800,-67.15600,-67.15600,-67.15600,-69.84000,-69.84000,258.29200,258.29200,-0.26000,-0.26000,1.20190,64.42860,-40.56340,-40.56340,-38.44230,-39.00450,0.23200,8.04800,-22.80800,-23.09820,-9.04840,-22.80800,,0,0
2024-06-30,138.95300,43.13000,95.82300,22.30600,137.46800,159.77400,-63.95100,4.61800,-59.33300,-0.22500,-59.10800,-59.10800,-59.10800,-63.95100,-63.95100,259.43600,259.43600,-0.23000,-0.23000,1.47100,68.96070,-46.02350,-46.02350,-42.70010,-42.53810,0.17270,8.16390,-16.07780,-16.23680,-7.34790,-16.07780,1.42160,0,0
2024-03-31,131.14200,37.59000,93.55200,20.99700,83.31600,104.31300,-10.76100,9.54500,-1.21600,0.48700,-1.70300,-1.70300,-1.70300,-10.76100,-10.76100,258.36400,258.36400,-0.01000,-0.01000,1.93550,71.33640,-8.20560,-8.20560,-0.92720,-1.29860,0.17770,11.76530,-0.39320,-0.39650,-0.23070,-0.39320,1.66960,0.00000,
2023-12-31,108.87300,32.67900,76.19400,19.48300,83.88100,103.36400,-27.17000,8.04900,-19.12100,-1.70400,-17.41700,-17.44800,-17.44800,-27.17000,-27.17000,260.57600,260.57600,-0.06400,-0.06200,1.81760,69.98430,-24.95570,-24.95570,-17.56270,-16.02600,0.14280,9.43390,-3.98800,-4.04420,-2.28840,-3.98800,1.69550,0.1912,0.1692
2023-09-30,108.19800,29.89700,78.30100,17.90300,74.04200,91.94500,-13.64400,6.51200,-7.13200,0.09000,-7.22200,-7.90500,-7.90500,-13.64400,-13.64400,261.81600,261.81600,-0.03000,-0.03000,2.38120,72.36830,-12.61020,-12.61020,-6.59160,-7.30610,0.16160,7.31510,-1.75300,-1.76730,-1.18060,-1.75300,1.73080,0,0
2023-06-30,96.96100,25.42700,71.53400,13.57000,51.99100,65.56100,5.97300,2.93500,8.90800,0.58600,8.32200,7.74500,7.74500,5.97300,5.97300,261.77400,269.76500,0.03000,0.03000,2.99230,73.77610,6.16020,6.16020,9.18720,7.98770,0.13970,7.71220,1.67120,1.68470,1.11610,1.67120,1.76930,0,0
2023-03-31,102.99000,23.29500,79.69500,14.12100,51.72000,65.84100,13.85400,5.25500,19.10900,2.52900,16.58000,16.58000,16.58000,13.85400,13.85400,259.45700,269.27700,0.06400,0.06200,3.06070,77.38130,13.45180,13.45180,18.55420,16.09870,0.14720,7.64270,3.53100,3.56100,2.37050,3.53100,1.80360,0.00000,
2022-12-31,82.39700,20.43500,61.96200,14.60000,49.65200,64.25200,-2.29000,6.53800,4.24800,-5.24800,9.49600,9.49600,9.49600,-2.29000,-2.29000,258.25200,263.85500,0.04000,0.04000,2.58910,75.19930,-2.77920,-2.77920,5.15550,11.52470,0.11650,6.18680,2.11560,2.14800,1.34320,2.11560,1.73200,0.03,0.0234
2022-09-30,85.21400,23.72900,61.48500,14.97700,56.28600,71.26300,-9.77800,1.21500,-8.56300,0.06000,-8.62300,-8.62300,-8.62300,-9.77800,-9.77800,258.64300,258.64300,-0.03000,-0.03000,3.13270,72.15360,-11.47470,-11.47470,-10.04880,-10.11920,0.13690,8.88060,-2.01800,-2.03650,-1.38510,-2.01800,1.65050,0,0
2022-06-30,80.29100,23.88800,56.40300,15.50800,49.92700,65.43500,-9.03200,1.52700,-7.50500,-0.06700,-7.43800,-7.43800,-7.43800,-9.03200,-9.03200,258.15300,258.15300,-0.03000,-0.03000,3.05890,70.24820,-11.24910,-11.24910,-9.34730,-9.26380,0.12050,6.46320,-1.64940,-1.66470,-1.11590,-1.64940,1.74470,0,0
