Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.56540,0.07240,0.49300,1.38610,-0.46460,1.85070,-1.35770,0.01090,-1.34680,-1.34680,-1.34680,0.04420,-1.30780,-1.33050,-1.35770,2.50740,2.50740,-0.52000,-0.52000,14.13080,,87.19240,-240.13640,-240.13640,-238.20370,-231.30460,0.20090,0.06900,35.34190,2.54660,-51.18210,-51.18210,-47.86690,-51.18210,0.90610,-0.1186,-0.1185
2024-06-30,1.42560,0.34640,1.07920,2.49610,-1.02410,3.52020,-2.44100,-0.00110,-2.44210,-2.44210,-2.44210,-0.03350,-2.47170,-2.41380,-2.44100,1.82960,1.82960,-1.31000,-1.31000,3.02970,,75.70440,-171.22590,-171.22590,-171.30380,-173.37760,0.50850,0.41000,23.42060,3.84280,-124.22020,-124.22020,-87.10290,-124.22020,0.93590,-0.4491,-0.4492
2024-03-31,0.67030,0.16770,0.50250,1.82970,-0.53760,2.36730,-1.86480,0.00060,-1.86410,-1.86410,-1.86410,1.92730,-0.16460,-1.83760,-1.86480,1.49410,1.49410,-1.20000,-1.20000,3.19030,,74.97520,-278.21610,-278.21610,-278.11950,-24.56410,0.23580,0.24880,10.68290,8.42470,-91.25000,-91.25010,-65.59150,-91.25010,1.23510,-1.31290,-1.31310
2023-12-31,2.53630,1.25160,1.28470,2.00560,-3.03570,5.04130,-3.75660,-0.01750,-3.77410,-3.77410,-3.77410,,-2.15850,-3.78850,-3.75660,1.41270,1.41270,-1.87000,-1.87000,1.45620,,50.65120,-148.11670,-148.11670,-148.80590,-85.10580,1.13130,2.06190,100.04240,0.89960,-409.45260,-409.45310,-168.34420,-409.45310,0.64610,-0.4486,-0.553
2023-09-30,1.05420,0.23500,0.81920,1.82790,-1.02270,2.85070,-2.03150,,-2.03150,-2.03150,-2.03150,-0.52060,-2.48930,-2.01500,-2.03150,1.42420,1.42420,-1.79000,-1.79000,4.37820,,77.70710,-192.71250,-192.71250,-192.71250,-236.14160,0.31490,0.34890,18.34410,4.90620,-77.21470,-77.21480,-60.68260,-77.21480,1.84730,-1.6643,-1.694
2023-06-30,1.72430,0.50890,1.21540,0.79750,-1.32010,2.11750,-0.90220,0.02980,-0.87230,-0.87230,-0.87230,-0.52590,-1.33750,-0.89070,-0.90220,1.42420,1.42420,-0.24000,-0.24000,6.19390,,70.48870,-52.32020,-52.32020,-50.59080,-77.56910,0.32200,1.67460,9.93320,9.06050,-19.34450,-19.34450,-16.28890,-19.34450,3.16630,-0.8425,-0.838
2023-03-31,0.04510,0.01760,0.02750,0.70030,-0.01980,0.72010,-0.69260,0.00010,-0.69250,-0.69250,-0.69250,-0.52760,-1.15810,-0.68220,-0.69260,1.36160,1.36160,-1.20000,-1.20000,6.50060,0.00080,60.99630,-1534.01600,-1534.01600,-1533.89100,-2565.07900,0.00650,0.34240,1.63100,55.17970,-11.72220,-11.72220,-9.95190,-11.72220,4.14810,-1.98470,-2.08580
2022-12-31,0.71190,0.34200,0.36990,0.27430,-0.80140,1.07570,-0.70580,-0.09040,-0.79620,-0.79620,-0.79620,,-0.72390,-0.70580,-0.70580,1.05420,1.05420,-0.70000,-0.70000,0.26960,-0.10370,51.95800,-99.14120,-99.14120,-111.83520,-101.68210,1.61440,4.91780,6.99070,12.87430,66.64920,66.64920,-180.54940,66.64920,-1.02200,-0.4584,-0.4584
2022-09-30,0.14020,0.02930,0.11090,0.48020,-0.32260,0.80280,-0.69190,-0.00810,-0.69990,-0.69990,-0.69990,,-0.62730,-0.69190,-0.69190,1.03520,1.03520,-0.60000,-0.60000,,,79.10560,-493.51950,-493.51950,-499.28240,-447.48310,,,,,,,,,,-0.215,-0.215
2022-06-30,0.09680,0.01660,0.08020,0.46480,-0.32080,0.78570,-0.70540,-0.09910,-0.80450,-0.80450,-0.80450,,-0.72070,-0.70540,-0.70540,1.03520,1.03520,-0.70000,-0.70000,,,82.86470,-728.47310,-728.47310,-830.81320,-744.21440,,,,,,,,,,-0.7449,-0.7449
2022-03-31,0.09910,0.03170,0.06740,0.29560,-0.34400,0.63960,-0.57220,-0.00460,-0.57670,-0.57670,-0.57670,,-0.51110,-0.57220,-0.57220,1.09340,1.09340,-0.50000,-0.50000,,,68.03190,-577.50340,-577.50340,-582.09780,-515.83220,,,,,,,,,,-0.17810,-0.17810
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
