Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.01800,0.00150,0.01660,0.51750,0.50910,,1.02660,-1.01010,0.08120,-0.92880,,-0.92880,-0.92880,,-0.92880,-1.01010,-1.01010,4.30180,4.30180,-0.22000,-0.22000,7.90730,,,91.90570,-5603.63300,-5603.63300,-5152.92100,-5152.92100,0.00210,,-13.69480,-14.20650,-10.84220,-13.69480,1.51250,-0.1637,-0.1637
2024-06-30,0.01800,0.00150,0.01660,0.39280,0.62650,,1.01930,-1.00280,0.07100,-0.93180,,-0.93180,-0.93180,,-0.93180,-1.00280,-1.00280,3.05270,3.05270,-0.31000,-0.31000,5.84240,,,91.90570,-5563.23900,-5563.23900,-5169.37100,-5169.37100,0.00220,,-15.63970,-16.31730,-11.59180,-15.63970,1.60110,-0.2219,-0.2219
2024-03-31,0.01800,0.00150,0.01660,0.31820,0.57780,,0.89600,-0.87950,0.07740,-0.80170,,-0.80170,-0.80170,,-0.80170,-0.87950,-0.87950,2.86690,2.86690,-0.28000,-0.28000,7.87240,,,91.90060,-4879.13500,-4879.13500,-4447.28200,-4447.28200,0.00260,,-15.14840,-15.14840,-11.54910,-15.14840,1.86800,-0.29240,-0.29240
2023-12-31,0.01800,0.00150,0.01660,0.33700,0.84330,,1.18030,-1.16370,0.11210,-1.05160,,-1.05160,-1.05160,,-1.12120,-1.16370,-1.16370,3.07990,3.07990,-0.38100,-0.38100,9.90360,,,91.90060,-6455.80600,-6455.80500,-5833.66100,-6219.77100,0.00230,,-17.02440,-17.02440,-13.57550,-17.02440,2.12560,-0.3025,-0.3025
2023-09-30,0.01800,0.00150,0.01660,0.17450,0.61550,,0.78990,-0.77340,0.11320,-0.66020,,-0.66020,-0.66020,,-0.66020,-0.75090,-0.77340,3.10880,3.10880,-0.21000,-0.21000,13.14230,,,91.90570,-4290.69600,-4290.69600,-3662.46900,-3662.46900,0.00200,,-8.80620,-8.80620,-7.34570,-8.80620,2.41120,-0.3505,-0.3505
2023-06-30,0.01800,0.00150,0.01660,0.13070,1.00080,,1.13150,-1.11500,0.10200,-1.01300,,-1.01300,-1.01300,,-1.01300,-1.08120,-1.11500,3.15390,3.15390,-0.32000,-0.32000,9.08570,,,91.90570,-6185.77100,-6185.77100,-5619.70100,-5619.70100,0.00180,,-12.21060,-12.21060,-9.88670,-12.21060,2.66830,-0.1747,-0.1747
2023-03-31,0.01800,0.00150,0.01660,0.20290,0.61710,,0.82000,-0.80350,-0.10290,-0.90640,,-0.90640,-0.90640,,-0.90640,-0.76970,-0.80350,3.15880,3.15880,-0.29000,-0.29000,14.95760,,,91.90060,-4457.36700,-4457.36700,-5028.27100,-5028.27100,0.00160,,-9.59770,-9.59770,-8.22200,-9.59770,2.98950,-0.21930,-0.21930
2022-12-31,0.01800,0.00150,0.01660,0.63470,1.03880,,1.67350,-1.65700,-0.00590,-1.66280,,-1.66280,-1.66280,,-1.66280,-1.65700,-1.65700,2.28420,2.28420,-0.58000,-0.58000,26.52210,,,91.90060,-9192.04300,-9192.04300,-9224.62300,-9224.62300,0.00150,,-16.08030,-16.08030,-14.28200,-16.08030,3.27340,-0.2258,-0.2258
2022-09-30,0.01800,0.00150,0.01660,0.37580,0.58990,,0.96570,-0.94920,-0.03410,-0.98320,,-0.98320,-0.98320,,-0.98320,-0.94920,-0.94920,2.00070,2.00070,-0.49000,-0.49000,41.36000,,,91.90570,-5265.76400,-5265.76400,-5454.90200,-5454.90200,0.00140,,-8.29500,-8.29500,-7.53480,-8.29500,3.77620,-0.7071,-0.7071
2022-06-30,0.01800,0.00150,0.01660,0.10570,0.40520,,0.51080,-0.49430,-0.16410,-0.65840,,-0.65840,-0.65840,,-0.65840,-0.49430,-0.49430,1.98790,1.98790,-0.33000,-0.33000,33.28080,,,91.90570,-2742.21900,-2742.21900,-3652.71600,-3652.71600,0.00200,,-8.36170,-8.36170,-7.27940,-8.36170,0.07920,-0.1983,-0.1983
2022-03-31,0.01800,0.00150,0.01660,0.17030,0.39350,0.02000,0.54380,-0.52730,-0.07570,-0.60290,,-0.60290,-0.60290,-0.00120,-0.60410,-0.52730,-0.52730,1.97270,1.97270,-0.31000,-0.31000,32.85490,,,91.90060,-2924.99200,-2924.99200,-3344.66400,-3351.11500,0.00190,,-7.09040,-7.09040,-6.20540,-7.09040,0.08550,-0.40000,-0.40000
2021-12-31,0.01800,0.00150,0.01660,0.47590,0.54800,0.06500,0.95890,-0.94240,-0.11460,-1.05700,0.00570,-1.06280,-1.06280,-0.02590,-1.08870,-0.94240,-0.94240,1.89730,1.91840,-1.85000,-1.81000,21.22750,,,91.90010,-5228.38300,-5228.38200,-5864.32700,-6039.86800,0.00170,,-11.72760,-11.72760,-10.13130,-11.72760,4.59310,-0.433,-0.433
2021-09-30,0.01800,0.00150,0.01660,0.07050,0.44000,0.03000,0.48050,-0.46390,6.95550,6.49160,0.01910,6.47240,6.47240,-0.08730,6.38510,-0.46390,-0.46390,1.97270,1.99390,3.20000,3.16000,39.88200,,,91.90570,-2573.88100,-2573.88100,36014.27000,35423.68000,0.00160,,63.76190,63.76190,56.82440,63.76190,0.10290,-0.7457,-0.7457
2021-06-30,0.01800,0.00150,0.01660,0.09880,0.40060,0.04600,0.45340,-0.43680,0.04800,-0.38880,,-0.38880,-0.38880,-0.07320,-0.46200,-0.43010,-0.43680,96.85740,96.85740,0.00000,0.00000,18.83250,,,91.90060,-2423.43800,-2423.43800,-2156.92300,-2562.90900,0.00360,0.02630,-10.32460,-10.32460,-7.77010,-10.32460,0.03820,-0.0049,-0.0049
2021-03-31,0.01720,0.00060,0.01660,0.04860,0.87660,0.00750,0.91770,-0.90110,0.03740,-0.86370,,-0.86370,-0.86370,-0.06700,-2.33470,-0.79990,-0.90110,85.14200,85.14200,-0.03000,-0.03000,16.76450,0.00030,0.00500,96.36380,-5242.82100,-5242.82100,-5025.22100,-13583.31000,0.00310,0.01400,-20.42980,-20.42980,-15.70090,-20.42470,0.04970,-0.00380,-0.00380
2020-12-31,,,,-0.01010,0.41440,-0.08140,,-0.48430,-0.00910,-0.49590,,-0.49590,-0.49590,-0.29390,-0.78980,-0.36560,-0.48680,65.95470,65.95470,0.00000,0.00000,10.06660,0.00330,0.01480,,,,,,,,-38.72060,-38.72060,-34.75890,-38.59270,0.01500,-0.0101,-0.0101
2020-09-30,,,,,0.47390,-0.08500,,-0.55890,0.00240,-0.55650,,-0.55650,-0.55650,-0.07730,-0.63380,-0.31590,-0.55890,84.41670,84.41670,-0.01000,-0.01000,17.10100,0.00560,0.00910,,,,,,,,-26.87590,-26.87590,-25.24600,-26.72560,0.02430,0.0023,0.0023
