Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,68.52100,20.00000,48.52100,8.13300,,36.26700,12.25400,-12.79300,-0.53900,-0.53900,-0.53900,-0.53900,40.12400,12.25400,68.52600,68.52600,-0.01000,-0.01000,0.29660,0.42170,17.88360,17.88360,-0.78660,-0.78660,0.02610,-0.03070,-0.03270,-0.02060,-0.02160,22.75650,0.5582,0.0247
2024-06-30,67.42300,19.28900,48.13400,8.66100,,37.45100,10.68300,-9.18500,1.49800,1.49800,1.49800,1.49800,39.41600,10.68300,67.90000,68.32700,0.02000,0.02000,0.34590,0.52890,15.84470,15.84470,2.22180,2.22180,0.02740,0.09760,0.10520,0.06090,0.06380,22.60960,0.6827,-0.0468
2024-03-31,66.79800,18.98000,47.81800,7.97400,,36.14200,11.67600,-8.77600,2.90000,2.90000,2.90000,2.90000,39.84300,11.67600,67.87500,68.27200,0.04000,0.04000,0.34830,0.53460,17.47960,17.47960,4.34140,4.34140,0.02700,0.18730,0.20180,0.11710,0.12210,22.80740,0.21680,-0.09660
2023-12-31,64.72200,19.22400,45.49800,8.40800,,36.49900,8.99900,-6.10900,2.89000,2.89000,2.89000,2.89000,37.29100,8.99900,67.53200,67.81300,0.04000,0.04000,0.34390,0.52420,13.90410,13.90410,4.46530,4.46530,0.02600,0.18600,0.20080,0.11620,0.12200,22.91830,0.4335,0.4291
2023-09-30,64.06200,19.85100,44.21100,7.61000,,37.92800,6.28300,-7.10500,-0.82200,-0.82200,-0.82200,-0.82200,37.13900,6.28300,67.53100,67.53100,-0.01000,-0.01000,0.34680,0.53080,9.80770,9.80770,-1.28310,-1.28310,0.02530,-0.05230,-0.05670,-0.03250,-0.03420,23.27130,0.5403,0.4948
2023-06-30,64.68700,18.70800,45.97900,8.04800,,36.31100,9.66800,-7.60000,2.06800,2.06800,2.06800,2.06800,38.62400,9.66800,67.52300,67.71200,0.03000,0.03000,0.34500,0.52670,14.94580,14.94580,3.19690,3.19690,0.02550,0.13060,0.14260,0.08150,0.08560,23.44020,0.7007,0.2772
2023-03-31,65.20500,19.85800,45.34700,7.73100,,34.48900,10.85800,-9.72500,1.13300,1.13300,1.13300,1.13300,36.95400,10.85800,67.50900,67.65500,0.02000,0.02000,0.34430,0.52510,16.65210,16.65210,1.73760,1.73760,0.02580,0.07140,0.07820,0.04480,0.04680,23.49920,0.23690,-1.74920
2022-12-31,59.27100,19.31300,39.95800,10.10300,,34.00000,5.95800,-6.08300,-0.12500,-0.12500,-0.12500,-0.12500,29.60100,5.95800,67.40600,67.52600,0.00000,0.00000,0.31990,0.47040,10.05210,10.05210,-0.21090,-0.21090,0.02400,-0.00780,-0.00830,-0.00510,-0.00530,23.77110,0.3693,-0.5357
2022-09-30,58.75700,19.72400,39.03300,7.23600,,31.25700,7.77600,-6.84000,0.93600,0.93600,0.93600,0.93600,31.54600,7.77600,67.42800,67.54700,0.01000,0.01000,0.33290,0.49890,13.23420,13.23420,1.59300,1.59300,0.02310,0.05780,0.06130,0.03680,0.03860,24.00700,0.5537,0.4971
2022-06-30,59.89300,17.79900,42.09400,8.11600,,32.32100,9.77300,32.14800,41.92100,41.92100,41.92100,41.92100,33.59300,9.77300,67.41300,67.55100,0.62000,0.62000,0.30260,0.43400,16.31740,16.31740,69.99320,69.99320,0.02470,2.58850,2.75620,1.72680,1.80520,24.01810,0.5436,0.8868
2022-03-31,58.78600,16.32800,42.45800,7.88700,,30.71600,11.74200,-2.24100,9.50100,9.50100,9.50100,9.50100,32.68800,11.74200,67.35500,67.57600,0.14000,0.14000,0.29830,0.42500,19.97420,19.97420,16.16200,16.16200,0.02500,0.59970,0.63700,0.40360,0.42090,23.50840,0.39630,-1.60480
