Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,5.72000,2.75900,-8.62900,0.23700,-8.39200,,-8.39200,-8.39200,-8.39200,-8.61000,-8.62900,1.84760,1.84760,-4.54000,-4.54000,2.05920,,,,,,,,,-89.60060,-89.60070,-46.76250,-89.60070,6.41510,-4.3929,-4.3929
2024-06-30,,,5.59000,7.07800,-12.81800,0.30700,-12.51100,,-12.51100,-12.51100,-12.51100,-12.81900,-12.81800,1.84520,1.84520,-6.75000,-6.75000,2.82010,,,,,,,,,-73.76340,-73.76330,-47.97530,-73.76330,11.63560,-3.2132,-3.2132
2024-03-31,,,4.35300,3.45100,-7.80400,0.38400,-7.42000,,-7.42000,-7.42000,-7.42000,-7.79500,-7.80400,1.84330,1.84330,-4.00000,-4.00000,9.45440,,,,,,,,,-25.86720,-25.86720,-23.17520,-25.86720,19.70390,-3.61680,-3.62010
2023-12-31,,,3.56700,2.81400,-6.38100,0.50900,-5.87200,,-5.87200,-5.87200,-5.87200,-6.23600,-6.38100,1.26280,1.26280,0.07000,0.07000,10.45470,,,,,,,,,-16.62800,-16.62800,-15.06410,-16.62800,24.30420,-9.6993,-9.7222
2023-09-30,,,6.36900,3.84700,-10.21600,0.26100,-9.95500,,-9.95500,-9.95500,-9.95500,-10.33100,-10.21600,1.51450,1.51450,-6.57000,-6.57000,6.30460,,,,,,,,,-24.63620,-24.63620,-20.79200,-24.63620,27.84300,-0.3473,-0.3941
2023-06-30,,,7.13900,1.89500,-9.03400,0.13800,-8.89600,,-8.89600,-8.89600,-8.89600,-9.03400,-9.03400,0.84190,0.84190,-10.50000,-10.50000,4.88050,,,,,,,,,-35.74990,-35.74990,-28.52750,-35.74990,29.55200,-6.4915,-6.4915
2023-03-31,,,4.78700,2.06800,-6.85500,0.10200,-6.75300,,-6.75300,-6.75300,-6.75300,-6.85500,-6.85500,0.84030,0.84030,-8.00000,-8.00000,9.64650,,,,,,,,,-20.49590,-20.49590,-18.39650,-20.49590,39.21070,-6.19320,-6.19320
2022-12-31,,,2.48800,2.45100,-4.93900,0.06200,-4.87700,,-4.87700,-4.87700,-4.87700,-4.93900,-4.93900,0.69540,0.69540,-6.00000,-6.00000,13.05790,,,,,,,,,-12.56380,-12.56380,-11.61270,-12.56380,46.21190,-4.7809,-4.7809
2022-09-30,,,1.37900,2.04400,-3.42300,0.02300,-3.40000,,-3.40000,-3.40000,-3.40000,-3.42300,-3.42300,0.75710,0.75710,-4.50000,-4.50000,19.44790,,,,,,,,,-7.93740,-7.93740,-7.53410,-7.93740,50.99410,-1.313,-1.313
2022-06-30,,,1.03400,1.98600,-3.02000,-0.01500,-3.03500,,-3.03500,-3.03500,-3.03500,-3.02000,-3.02000,0.59050,0.59050,-5.25000,-5.25000,25.67480,,,,,,,,,-7.94360,-7.94360,-7.64100,-7.94360,64.70940,-2.3318,-2.3318
2022-03-31,,,0.69300,1.82100,-2.51400,-0.05300,-2.56700,,-2.56700,-2.56700,-2.56700,-2.51400,-2.51400,0.59040,0.59040,-4.25000,-4.25000,32.17440,,,,,,,,,-6.40980,-6.40980,-6.21490,-6.40980,67.82740,-3.34520,-3.34520
2021-12-31,,,1.35200,1.94700,-3.29900,-0.04200,-3.34100,,-3.34100,-3.34100,-3.34100,-3.29900,-3.29900,0.55870,0.55870,-5.50000,-5.50000,24.18660,,,,,,,,,-8.04130,-8.04130,-7.71490,-8.04130,70.40130,-6.8604,-6.8604
2021-09-30,,,5.65600,2.04300,-7.69900,-0.05200,-7.75100,,-7.75100,-7.75100,-7.75100,-7.69000,-7.69900,0.56960,0.56960,-13.50000,-13.50000,12.44810,,,,,,,,,-17.75720,-17.75720,-16.35580,-17.75720,73.96300,-8.3444,-8.3444
2021-06-30,,,3.52300,2.22400,-5.74700,-0.06500,-5.81200,,-5.81200,-5.81200,-5.81200,-5.73400,-5.74700,0.54410,0.54410,-10.75000,-10.75000,17.42140,,,,,,,,,-11.64520,-11.64520,-10.98950,-11.64520,88.62310,-7.0417,-7.0417
2021-03-31,,,3.32200,1.41900,-4.74100,-0.06300,-4.80400,,-4.80400,-4.80400,-4.80400,-4.72700,-4.74100,0.53010,0.53010,-9.00000,-9.00000,23.57470,,,,,,,,,-8.78280,-8.78280,-8.41800,-8.78280,101.20260,-7.60210,-7.60210
2020-12-31,,,3.02500,1.46800,-4.49300,-0.08300,-4.57600,,-4.57600,-4.57600,-4.57600,-4.47900,-4.49300,0.29440,0.29440,115.50000,115.50000,26.51530,,,,,,,,,-7.75860,-7.75860,-7.47240,-7.75860,114.91700,-29.9789,-29.9789
2020-09-30,,,3.68800,1.32000,-5.00800,-0.09200,-5.10000,,-5.10000,-5.10000,-5.10000,-4.99500,-5.00800,0.44840,0.44840,-11.25000,-11.25000,8.96600,,,,,,,,,-25.09970,-25.09970,-22.43730,-25.09970,45.28620,14.5224,14.5224
2020-06-30,,,1.93700,0.76000,-34.75400,-0.00700,-34.76100,,-34.76100,-34.76100,-34.76100,-34.74000,-34.75400,0.14600,0.14600,-238.00000,-238.00000,8.19810,,,,,,,,,-139.72580,-139.72590,-122.78270,-139.72590,55.54120,-13.2808,-13.2808
2020-03-31,,,1.35400,0.67300,-2.02700,-0.02300,-2.05000,,-2.05000,-2.05000,-2.05000,-2.01400,-2.02700,0.08460,0.08460,-24.25000,-24.25000,1.14800,,2.39240,,,,,,,-98.46150,-98.46300,-11.00260,-98.46300,32.63060,-33.84930,-33.84930
2019-12-31,,,-10.41300,-3.71600,14.12900,0.21400,14.33500,,14.33500,14.33500,14.33500,14.12900,14.12000,0.08430,0.08430,244.86130,244.86130,3.92570,,,,,,,,,-300.58720,-300.58710,187.18990,-300.58710,-56.55840,-7.7443,-8.7999
2019-09-30,,,0.35300,0.33100,-0.68400,-0.00600,-0.69000,,-0.69000,-0.69000,-0.69000,-0.68400,-0.68400,0.08430,0.08430,-8.25000,-8.25000,1.42630,,1.40620,,,,,,,-3.48480,-3.48480,-0.97530,-3.48480,310.54020,-6.5583,-7.424
2019-06-30,,,0.31000,0.31900,-0.62900,,-0.63000,,-0.63000,-0.63000,-0.63000,-0.62900,-0.62900,0.08430,0.08430,-7.50000,-7.50000,4.20550,0.37700,0.72590,,,,,,,-1.72670,-1.72670,-0.73910,-1.07570,572.28880,269.0764,271.2399
2019-03-31,0.00900,0.00900,12.43400,4.44600,-16.87100,-0.21300,-17.08400,,-17.08400,-17.08400,-17.08400,-16.69600,-16.87100,0.06150,0.06150,-277.36130,-277.36130,5.04970,0.34990,0.58730,100.00000,-187455.60000,-187455.60000,-189822.20000,-189822.20000,0.00010,-38.08800,-38.08800,-18.03480,-24.76190,724.30510,-287.63670,-289.80020
2018-12-31,0.00900,0.00900,15.61900,3.49700,-19.10700,-0.30600,-19.41300,0.19000,-19.60300,-19.60300,-19.60300,-19.03700,-19.10700,0.05350,0.05350,-359.82010,-359.82010,5.91190,0.31060,0.45060,100.00000,-212334.90000,-212334.90000,-215735.50000,-217846.90000,0.00010,-33.71400,-33.71400,-19.01710,-23.24120,947.54260,-220.8826,-229.5508
2018-09-30,18.00900,18.00900,12.26200,4.32000,1.42700,-0.30100,1.12600,1.50900,-0.38300,-0.38300,-0.38300,1.59800,1.42700,0.05320,0.05320,-7.49630,-7.49630,5.83000,0.35340,0.54660,100.00000,7.92380,7.92380,6.25240,-2.12670,0.19930,-0.80350,-0.80350,-0.42390,-0.51950,895.41390,18.3953,6.7903
2018-06-30,0.00900,0.00900,12.76300,2.57300,-15.32700,-0.76200,-16.08900,,-16.08900,-16.08900,-16.08900,-15.24000,-15.32700,0.05320,0.05320,-303.59820,-303.59820,6.06200,0.35990,0.56220,100.00000,-170300.00000,-170300.00000,-178766.70000,-178766.70000,0.00010,-34.90860,-34.90860,-18.42200,-22.34520,865.85830,-202.303,-385.7607
2018-03-31,0.00900,0.00900,10.43600,2.41900,-12.84600,-0.03400,-12.88000,,-12.88000,-12.88000,-12.88000,-12.79700,-12.84600,0.05310,0.05310,-243.62820,-243.62820,4.56270,0.03200,0.15370,100.00000,-142733.30000,-142733.30000,-143111.10000,-143111.10000,0.00010,-21.58250,-21.58250,-16.35780,-20.89210,1123.34600,-239.28050,-72.32270
2017-12-31,0.02000,0.02000,8.29400,2.40200,-10.67600,-0.15000,-10.82600,,-10.82700,-10.82700,-10.83700,-10.59300,-10.67600,0.03900,0.03900,940.77970,940.77970,5.22960,0.04850,0.15230,100.00000,-53379.99000,-53379.99000,-54130.00000,-54185.00000,0.00020,-15.23170,-15.23170,-11.75920,-14.49260,1339.96000,-383.2804,-393.5752
