,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$-0.53,$-0.43
1,2024-08-07,2024-06-30,$-0.49,$-0.40
2,2024-05-08,2024-03-31,$-0.48,$-0.38
3,2024-02-27,2023-12-31,$-0.80,$-0.49
4,2023-11-07,2023-09-30,$-0.65,$-0.53
5,2023-08-03,2023-06-30,$-0.81,$0.02
6,2023-05-04,2023-03-31,$-0.75,$-0.55
7,2023-02-28,2022-12-31,$-0.54,$-0.63
8,2022-11-08,2022-09-30,$-0.43,$-0.56
9,2022-08-04,2022-06-30,$-0.39,$0.12
10,2022-05-05,2022-03-31,$0.37,$-0.54
11,2022-02-24,2021-12-31,$-0.13,$-0.68
12,2021-11-04,2021-09-30,$2.98,$1.49
13,2021-08-03,2021-06-30,$-0.69,$-0.69
14,2021-05-05,2021-03-31,$-0.68,$-0.66
15,2021-02-25,2020-12-31,$-0.61,$-0.66
16,2020-11-10,2020-09-30,$-0.54,$-0.67
17,2020-08-11,2020-06-30,$-0.52,$-0.58
18,2020-05-13,2020-03-31,$-0.48,$-0.53
19,2020-03-24,2019-12-31,$-0.44,$-0.45
20,2019-11-12,2019-09-30,$-0.42,$-0.47
21,2019-08-12,2019-06-30,$-0.33,$-0.36
22,2019-05-13,2019-03-31,$-0.30,$-0.42
23,2019-03-26,2018-12-31,$-0.29,$-1.48
