Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,20.93800,9.21800,11.72000,8.24200,8.34400,3.37600,-0.15000,3.22600,0.55000,2.67600,2.67600,2.67600,6.35700,6.35800,0.42000,0.42000,,27.51390,22.82300,0.00660,1.59490,1.72530,0.14990,1.59490,26.37670,0.4838,0.3497
2024-06-30,19.36300,8.41700,10.94600,9.13700,9.17200,1.77400,-2.25700,-0.48300,-0.17700,-0.30600,-0.30600,-0.30600,6.02800,6.02800,-0.05000,-0.05000,,-5.00830,-3.17300,0.00530,-0.20540,-0.22470,-0.01690,-0.20540,23.41820,-0.5032,-0.6706
2024-03-31,18.22000,7.77600,10.44400,7.26800,7.26800,3.17600,-0.48400,2.69200,0.51800,2.17400,2.17400,2.17400,5.89000,5.89200,0.37000,0.37000,,25.75090,20.79590,0.00620,1.55970,1.62800,0.12870,1.55970,23.64950,0.65170,0.59830
2023-12-31,17.76700,7.03300,10.73400,5.67000,5.67000,5.06400,,5.06400,0.87900,4.18500,4.18500,4.18500,5.89000,5.89000,0.71000,0.71000,,43.55380,35.99380,0.00700,2.97820,3.10750,0.25280,2.97820,23.84150,0.372,0.446
2023-09-30,16.79400,6.03900,10.75500,7.06400,7.06400,3.69100,,3.69100,0.61700,3.07400,3.07400,3.07400,5.89000,5.89000,0.52000,0.52000,,33.17460,27.62900,0.00700,2.64740,2.78780,0.19310,2.64740,19.70690,0.961,0.9187
2023-06-30,17.38800,5.38000,12.00800,7.56700,7.56700,4.44100,,4.44100,0.54000,3.90100,3.90100,3.90100,5.89000,5.89000,0.66000,0.66000,,36.98680,32.48940,0.00740,3.03710,3.18200,0.24000,3.03710,21.79970,0.5668,0.4331
2023-03-31,16.24300,3.09800,13.14500,7.66600,7.66600,5.47900,,5.47900,0.94800,4.53100,4.53100,4.53100,5.89000,5.89000,0.77000,0.77000,,41.68760,34.47460,0.00790,3.45760,3.61920,0.27390,3.45760,22.24840,0.73570,0.69930
2022-12-31,19.84000,1.02800,18.81200,7.30800,7.30800,11.50400,,11.50400,2.19400,9.31000,9.31000,9.31000,5.99000,5.99000,1.56000,1.56000,,61.18500,49.51600,0.01120,7.58840,7.96820,0.55500,7.58840,20.82970,1.867,1.8101
2022-09-30,15.29500,0.75300,14.54200,6.98800,6.98800,7.55400,,7.55400,1.39200,6.16200,6.16200,6.16200,5.97500,5.97500,1.03000,1.03000,,52.86210,43.12110,0.00840,5.49260,5.79470,0.36270,5.49260,18.83280,1.3843,1.2909
2022-06-30,14.03400,0.64700,13.38700,6.62100,6.62100,6.76600,,6.76600,1.19200,5.57400,5.57400,5.57400,6.00400,6.00400,0.93000,0.93000,,51.73970,42.62450,0.00760,4.09130,4.27480,0.32230,4.09130,22.77880,0.5681,0.5423
2022-03-31,13.34100,0.65500,12.68600,6.74700,6.74700,5.93900,,5.93900,1.05300,4.88600,4.88600,4.88600,6.04700,6.04700,0.81000,0.81000,,47.31520,38.92610,0.00730,3.02930,3.14330,0.28380,3.02930,26.77890,1.10550,1.07310
2021-12-31,13.71100,0.69000,13.02100,6.67000,6.67000,6.35100,,6.35100,1.10000,5.25100,5.25100,5.25100,6.21000,6.21000,0.86000,0.86000,,48.55130,40.14220,0.00770,2.73840,2.82460,0.30850,2.73840,31.62120,0.8063,0.7975
2021-09-30,13.64800,0.71900,12.92900,5.97500,5.97500,6.95400,,6.95400,1.20200,5.75200,5.75200,5.75200,6.14200,6.14200,0.94000,0.94000,,52.20330,43.17990,0.00810,3.01380,3.10910,0.34990,3.01380,31.30280,1.0746,1.0696
2021-06-30,12.83800,0.83400,12.00400,6.45100,6.45100,5.55300,,5.55300,0.94000,4.61300,4.61300,4.61300,6.21400,6.21400,0.74000,0.74000,,46.27500,38.44170,0.00720,2.41220,2.48830,0.27760,2.41220,30.99430,0.75,0.7377
2021-03-31,13.21600,0.85500,12.36100,6.58600,6.58600,5.77500,,5.77500,1.00900,4.76600,4.76600,4.76600,6.40800,6.40800,0.74000,0.74000,,46.90930,38.71330,0.00790,2.52080,2.60120,0.30390,2.52080,29.91600,1.05380,1.12970
2020-12-31,13.30000,1.02300,12.27700,6.31200,6.31200,5.96500,,5.96500,1.01700,4.94800,4.94800,4.94800,6.48300,6.48300,0.77000,0.77000,,48.61050,40.32270,0.00810,2.46650,2.54060,0.32560,2.46650,31.18890,0.5637,0.5341
2020-09-30,12.63400,1.42000,11.21400,6.27400,6.27400,4.94000,,4.94000,0.77200,4.16800,4.16800,4.16800,6.49000,6.49000,0.64000,0.64000,,44.66550,37.68540,0.00770,2.06140,2.12280,0.29040,2.06140,31.15470,0.5744,0.5364
2020-06-30,12.49500,1.59800,10.89700,7.42900,7.42900,3.46800,,3.46800,0.48600,2.98200,2.98200,2.98200,6.49000,6.49000,0.46000,0.46000,,36.33320,31.24150,0.00670,1.52310,1.57000,0.20800,1.52310,30.16660,0.1863,0.1833
2020-03-31,13.52300,1.79600,11.72700,6.94600,6.94600,4.78100,,4.78100,0.80200,3.97900,3.97900,3.97900,6.49000,6.49000,0.61000,0.61000,,42.50530,35.37520,0.00850,2.07720,2.14260,0.30170,2.07720,29.51600,0.80320,0.60850
2019-12-31,13.77500,1.80800,11.96700,6.69100,6.69100,5.27600,,5.74100,0.96400,4.77700,4.77700,4.77700,6.58100,6.58100,0.74000,0.74000,,47.09210,39.18470,0.00920,2.60010,2.68550,0.36140,2.60010,28.30910,0.9599,0.9435
2019-09-30,13.38600,1.86500,11.52100,6.48100,6.48100,5.04000,,5.04000,0.78800,4.25200,4.25200,4.25200,6.50000,6.50000,0.65000,0.65000,,44.10990,37.21340,0.00900,2.26180,2.33450,0.33410,2.26180,28.96580,0.6785,0.7424
2019-06-30,13.14900,1.91400,11.23500,6.50800,6.50800,4.72700,,4.72700,0.73300,3.99400,3.99400,3.99400,6.50500,6.50500,0.61000,0.61000,,42.28090,35.72450,0.00880,2.17240,2.24380,0.31460,2.17240,28.25820,0.4781,0.4223
2019-03-31,13.62700,1.79300,11.83400,6.20000,6.20000,5.63400,-0.46500,5.16900,0.72600,4.44300,4.44300,4.44300,6.83970,6.83970,0.65000,0.65000,,44.43010,38.18980,0.00920,2.45160,2.53340,0.35320,2.45160,27.85550,0.74510,0.69680
2018-12-31,12.99300,1.57600,11.41700,6.03800,6.05200,5.36500,0.00100,5.36600,0.80300,4.56300,4.56300,4.56300,6.95800,6.95800,0.66000,0.66000,,46.29450,39.36670,0.00920,2.39860,2.47460,0.36330,2.39860,27.34090,0.7978,0.8095
2018-09-30,12.85900,1.24500,11.61400,6.67400,6.68600,4.92800,,4.92800,0.67700,4.25100,4.25100,4.25100,6.95800,6.95800,0.61000,0.61000,0.18600,43.26220,37.31890,0.00910,2.25930,2.33190,0.33780,2.25930,27.04180,0.7172,0.7124
2018-06-30,12.59400,1.14500,11.44900,6.46700,6.47900,4.97000,-0.28700,4.68300,0.64200,4.04100,4.04100,4.04100,6.95800,6.95800,0.58000,0.58000,,42.16260,36.38250,0.00880,2.17430,2.24530,0.31880,2.17430,26.71040,0.5362,0.4174
2018-03-31,12.50700,1.08100,11.42600,5.95600,5.96800,5.45800,-1.72400,3.73400,0.43800,3.29600,3.29600,3.29600,6.95800,6.95800,0.47000,0.47000,,31.38340,27.70210,0.00940,1.77650,1.83470,0.25940,1.77650,26.66530,0.79390,0.77920
2017-12-31,12.59700,1.02800,11.56900,5.36200,5.37400,6.19500,,6.19500,3.10700,3.08800,3.08800,3.08800,6.95800,6.95800,0.46000,0.46000,,51.04650,25.44500,0.00970,1.67010,1.72520,0.24570,1.67010,26.57320,-0.0066,0.0307
2017-09-30,12.18500,1.02100,11.16400,6.21900,6.23200,4.93200,,4.93200,1.14700,3.78500,3.78500,3.78500,6.95800,6.95800,0.54000,0.54000,,44.98770,34.52520,0.00890,2.01690,2.08250,0.30710,2.01690,26.97050,0.7213,0.7144
2017-06-30,12.02600,1.04800,10.97800,6.42600,6.43800,4.54000,,4.54000,0.97000,3.57000,3.57000,3.57000,6.95800,6.95800,0.51000,0.51000,,43.18050,33.95470,0.00830,1.93720,2.00150,0.28350,1.93720,26.48550,0.3564,0.3452
2017-03-31,12.08800,1.02800,11.06000,6.31100,6.34200,4.71800,,4.71800,1.06900,3.64900,3.64900,3.64900,6.95800,6.95800,0.52000,0.52000,,42.88700,33.16970,0.00880,1.99410,2.06100,0.29350,1.99410,26.29880,0.50880,0.53320
2016-12-31,9.67200,1.01600,8.65600,3.90900,3.94800,4.70800,,4.36100,0.89100,3.47000,3.47000,3.47000,6.95800,6.95800,0.50000,0.50000,,53.48300,42.55580,0.00660,1.94660,2.01400,0.28120,1.94660,25.61990,0.6009,0.5578
2016-09-30,12.63800,1.01900,11.61900,6.87100,6.91100,4.70800,,4.70800,0.88000,3.82800,3.82800,3.82800,6.95800,6.95800,0.55000,0.55000,,41.56070,33.79240,0.00940,2.07880,2.14890,0.31820,2.07880,26.46510,0.795,0.7879
2016-06-30,12.91000,1.06300,11.84700,6.82400,6.89200,4.95500,,4.95500,1.09000,3.86500,3.86500,3.86500,6.95800,6.95800,0.56000,0.56000,,44.26870,34.53050,0.00920,2.14810,2.22280,0.31930,2.14810,25.85920,0.1641,0.1763
2016-03-31,12.82500,1.06800,11.75700,6.77700,6.88700,4.87000,,4.87000,1.09100,3.77900,3.77900,3.77900,6.95800,6.95800,0.54000,0.54000,,42.14990,32.70730,0.00960,2.10840,2.18290,0.31290,2.10840,25.75970,0.95980,1.03280
2015-12-31,13.11800,1.03600,12.08200,7.35400,7.54600,4.53600,,4.53600,0.97800,3.55800,3.55800,3.55800,6.95700,6.95700,0.52000,0.52000,,41.97280,32.92310,0.00900,2.06720,2.14480,0.29560,2.06720,24.73610,0.7924,0.7806
2015-09-30,13.04600,1.00900,12.03700,6.22800,6.49700,5.54000,,5.54000,1.34100,4.19900,4.19900,4.19900,6.95500,6.95900,0.60000,0.60000,,46.71560,35.40770,0.01040,2.40780,2.49980,0.36700,2.40780,25.07070,0.8719,0.8418
2015-06-30,13.19100,1.05100,12.14000,6.45100,6.72000,5.42000,,5.42000,1.31000,4.11000,4.11000,4.11000,6.95300,6.95600,0.59000,0.59000,,45.99070,34.87480,0.01030,2.45270,2.55460,0.35790,2.45270,24.11080,0.4275,0.4724
2015-03-31,13.04500,1.08700,11.95800,6.61200,6.88100,5.07700,,5.07700,1.11100,3.96600,3.96600,3.96600,6.95000,6.95500,0.57000,0.57000,,43.18280,33.73310,0.01010,2.29620,2.39250,0.34050,2.29620,24.85210,0.85900,0.87190
2014-12-31,13.10800,1.14200,11.96600,6.28800,6.55600,5.41000,,5.41000,1.27200,4.13800,4.13800,4.13800,6.94900,6.95900,0.60000,0.60000,,47.10490,36.02960,0.00990,2.48820,2.60120,0.35840,2.48820,23.92850,0.702,0.7794
2014-09-30,13.20500,1.14700,12.05800,6.20200,6.47100,5.58700,,5.58700,1.32400,4.26300,4.26300,4.26300,6.94900,6.95700,0.61000,0.61000,,47.74400,36.42970,0.01050,2.61820,2.74450,0.38190,2.61820,23.42760,0.8865,0.8784
