Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12.50400,0.81400,11.69000,1.16200,-8.50100,9.66300,2.02700,3.88100,5.90800,0.46300,5.44500,5.44500,5.44500,2.60800,2.02700,25.59200,25.59200,0.21000,0.21000,2.54100,16.21080,16.21080,47.24890,43.54610,0.01660,2.84140,2.84140,0.72380,2.84140,6.85170,0.1119,0.1119
2024-06-30,14.13200,0.64300,13.48900,1.12100,-10.63500,11.75600,1.73300,-2.62300,-0.89000,-0.07500,-0.81500,-0.81500,-0.81500,1.54300,1.73300,20.35400,20.35400,-0.04000,-0.04000,3.95890,12.26300,12.26300,-6.29780,-5.76710,0.01510,-0.55770,-0.55770,-0.08730,-0.55770,6.91410,0.1336,0.1336
2024-03-31,10.37900,0.63200,9.74700,0.60900,-10.48600,11.09500,-1.34800,5.61200,4.26400,0.30300,3.96100,3.96100,3.96100,-0.25800,-1.34800,19.54800,19.54800,0.20000,0.20000,4.78020,-12.98780,-12.98780,41.08300,38.16360,0.01080,2.77150,2.77150,0.41090,2.77150,7.21070,-0.06160,-0.06160
2023-12-31,11.88800,0.60500,11.28300,0.38300,-11.89700,12.28000,-0.99700,13.43600,12.43900,,12.43900,12.43900,12.43900,-1.49500,-0.99700,14.87500,14.87500,0.80000,0.80000,5.35490,-8.38660,-8.38660,104.63490,104.63490,0.01260,9.13030,9.13030,1.31530,9.13030,7.32420,-0.164,-0.164
2023-09-30,11.25300,0.51500,10.73800,0.46700,-12.72300,13.19000,-2.45200,-8.96800,-11.42000,,-11.42000,-11.42000,-11.42000,-2.42300,-2.45200,15.20000,15.20000,-0.75000,-0.75000,7.27790,-21.78970,-21.78970,-101.48400,-101.48400,0.01060,-10.24600,-10.24600,-1.07290,-10.24600,7.02320,-0.1953,-0.1953
2023-06-30,10.07000,0.53400,9.53600,0.59400,-12.05800,12.65200,-3.11600,4.31900,1.20300,,1.20300,1.20300,1.20300,-2.51900,-3.11600,13.93600,13.93600,0.09000,0.09000,7.49830,-30.94340,-30.94340,11.94640,11.94640,0.00930,1.03090,1.03090,0.11100,1.03090,8.11640,-0.14,-0.14
2023-03-31,9.33800,0.53200,8.80600,0.42300,-10.06000,10.48300,-1.67700,4.01400,2.33700,,2.33700,2.33700,2.33700,-0.89200,-1.67700,13.66700,13.66700,0.17000,0.17000,7.61600,-17.95890,-17.95890,25.02680,25.02680,0.00830,2.03260,2.03260,0.20790,2.03260,8.59320,-0.17440,-0.17440
2022-12-31,9.92700,0.52400,9.40300,0.37600,-7.84800,8.22400,1.17900,10.50100,11.68000,,11.68000,11.68000,11.68000,1.20200,1.17900,13.16300,13.16300,0.90000,0.90000,7.49460,11.87670,11.87670,117.65890,117.65890,0.00940,10.39060,10.39060,1.10850,10.39060,8.40250,0.3182,0.3182
2022-09-30,9.45700,0.48900,8.96800,0.38800,-4.62100,5.00900,3.95900,-17.63000,-13.67100,,-13.67100,-13.67100,-13.67100,3.87900,3.95900,13.14700,13.14700,-1.04000,-1.04000,9.10680,41.86320,41.86320,-144.55960,-144.55960,0.00800,-13.27220,-13.27220,-1.14960,-13.27220,7.77690,0.3144,0.3144
2022-06-30,9.08700,0.54800,8.53900,0.40200,-2.32800,2.73000,5.80900,-16.54900,-10.74000,,-10.74000,-10.74000,-10.74000,5.62100,5.80900,13.10700,13.10700,-0.82000,-0.82000,8.01100,63.92650,63.92650,-118.19080,-118.19080,0.00810,-9.05340,-9.05340,-0.95740,-9.05340,9.07030,0.5447,0.5447
2022-03-31,6.53500,0.59800,5.93700,0.36800,-1.45800,1.82600,4.11100,-21.57800,-17.46700,,-17.46700,-17.46700,-17.46700,6.64600,4.11100,13.11000,13.11000,-1.33000,-1.33000,9.11330,62.90740,62.90740,-267.28380,-267.28380,0.00430,-13.14290,-13.14290,-1.15890,-13.14290,10.13740,0.52570,0.52570
2021-12-31,6.49100,0.67800,5.81300,0.29800,-1.06500,1.36300,4.45000,-7.20900,-2.75900,,-2.75900,-2.75900,-2.75900,6.30300,4.45000,12.68400,12.68400,-0.22000,-0.22000,6.90440,68.55650,68.55650,-42.50500,-42.50500,0.00410,-1.78890,-1.78890,-0.17260,-1.78890,11.76390,0.5205,0.5205
2021-09-30,5.46300,0.69700,4.76600,0.42600,-0.87100,1.29700,3.46900,-2.60900,0.86000,,0.86000,0.86000,0.86000,6.93400,3.46900,12.92200,12.92200,0.07000,0.07000,6.68470,63.49990,63.49990,15.74230,15.74230,0.00400,0.54120,0.54120,0.06290,0.54120,12.28450,0.5095,0.5095
2021-06-30,9.87500,0.70400,9.17100,0.48700,-1.00300,1.49000,7.68100,-12.21800,-4.53700,,-4.53700,-4.53700,-4.53700,7.26700,7.68100,12.43200,12.43200,-0.36000,-0.36000,7.01570,77.78230,77.78230,-45.94430,-45.94430,0.00720,-2.80320,-2.80320,-0.32850,-2.80320,12.52820,0.6277,0.6277
2021-03-31,6.53500,0.70000,5.83500,0.44800,-1.09800,1.54600,4.28900,-4.16200,0.12700,,0.12700,0.12700,0.12700,6.90900,4.28900,12.34400,12.34400,0.01000,0.01000,6.78390,65.63120,65.63120,1.94340,1.94340,0.00460,0.07780,0.07780,0.00890,0.07780,13.21610,0.54030,0.54030
2020-12-31,6.17400,0.70800,5.46600,0.37400,-1.03400,1.40800,4.05800,3.33600,7.39400,,7.39400,7.39400,7.39400,7.19800,4.05800,12.35300,12.35300,0.59000,0.59000,6.10120,65.72720,65.72720,119.76030,119.76030,0.00520,4.44350,4.44350,0.61880,4.44350,13.48040,0.6191,0.6191
2020-09-30,7.77600,0.69300,7.08300,0.37700,-1.15500,1.53200,5.55100,2.56700,8.11800,,8.11800,8.11800,8.11800,7.40000,5.55100,12.32300,12.32300,0.66000,0.66000,6.53720,71.38630,71.38630,104.39810,104.39810,0.00620,4.99870,4.99870,0.64250,4.99870,13.16590,0.6138,0.6138
2020-06-30,3.48900,0.67600,2.81300,0.74000,-2.64600,3.38600,-0.57300,21.91800,21.34500,,21.34500,21.34500,21.34500,5.20800,-0.57300,12.32000,12.32000,1.73000,1.73000,5.77020,-16.42300,-16.42300,611.77980,611.77980,0.00270,13.53720,13.53720,1.65170,13.53720,12.79850,0.2927,0.2927
