Date,revenue,cost-goods-sold,gross-profit,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1178.90000,1023.60000,155.30000,0.00000,155.30000,-64.60000,90.70000,18.50000,72.20000,72.20000,,73.70000,168.40010,155.30000,64.21700,64.89800,1.15000,1.14000,0.33420,0.50210,13.17330,13.17330,7.69360,6.25160,0.09160,2.60610,4.75090,0.56090,1.73500,43.25780,2.1864,2.1864
2024-06-30,1129.90000,988.70000,141.20000,0.00000,141.20000,-49.30000,91.90000,17.50000,74.40000,74.40000,,75.40000,154.30000,141.20000,64.39500,64.89200,1.17000,1.16000,0.34250,0.52090,12.49670,12.49670,8.13350,6.67320,0.09010,2.78720,5.24460,0.59310,1.83260,41.43140,0.3516,0.3516
2024-03-31,1143.00000,996.70000,146.30000,0.00000,146.30000,-59.70000,86.60000,16.40000,70.20000,70.20000,,71.30000,160.90000,146.30000,64.25500,64.77300,1.11000,1.10000,0.34930,0.53690,12.79970,12.79970,7.57660,6.23800,0.09050,2.71180,5.24660,0.55600,1.76450,40.22340,0.66390,0.66390
2023-12-31,1187.20000,1066.10000,121.10010,0.00000,121.10030,-57.60000,63.50000,12.20000,51.30000,51.30000,,51.40000,129.60030,121.10010,64.02600,64.02600,0.80000,0.80000,0.35670,0.55460,10.20050,10.20050,5.34870,4.32950,0.09320,2.04790,4.08990,0.40260,1.31730,39.07230,-0.4646,-0.4646
2023-09-30,1199.40000,1234.20000,-34.79990,0.00000,-34.79990,-156.00000,-190.80000,-44.40000,-146.40000,-146.40000,,-146.30000,-18.79990,-34.79990,64.05700,64.05700,-2.28000,-2.28000,0.37030,0.58810,-2.90140,-2.90140,-15.90800,-12.19780,0.09560,-6.20020,-13.18330,-1.16660,-3.90420,36.84710,-0.6019,-0.6019
2023-06-30,1262.80000,1250.80000,12.00000,49.60000,-37.60000,-78.30000,-115.90000,-18.80000,-97.10000,-97.10000,,-97.10000,29.90000,-37.60000,64.00900,64.00900,-1.52000,-1.52000,0.35590,0.55250,-2.97750,-2.97750,-9.17800,-7.68930,0.09640,-3.86510,-7.69720,-0.74140,-2.48960,39.22000,-1.1108,-1.1108
2023-03-31,1294.80000,1321.30000,-26.50000,0.00000,-26.50000,-77.40000,-103.90000,-23.80000,-80.10000,-80.10000,,-80.10000,-10.30000,-26.50000,63.94700,63.94700,-1.25000,-1.25000,0.34390,0.52420,-2.04660,-2.04660,-8.02440,-6.18630,0.09660,-3.02620,-5.94830,-0.59760,-1.98540,41.36950,0.08130,0.08130
2022-12-31,1374.60000,1361.00000,13.59970,0.00000,13.60020,-86.50000,-72.90000,-19.60000,-53.30000,-53.30000,,-53.30000,29.60020,13.60000,63.82600,63.82600,-0.84000,-0.84000,0.34180,0.51930,0.98940,0.98940,-5.30340,-3.87750,0.10320,-1.99580,-3.88970,-0.40030,-1.31360,41.78490,-0.631,-0.631
2022-09-30,1361.50000,1385.80000,-24.30010,0.00000,-24.30010,-63.50000,-87.80000,-13.00000,-74.80000,-74.80000,,-74.80000,-7.10000,-24.30010,63.85300,63.85300,-1.17000,-1.17000,0.36260,0.56880,-1.78480,-1.78480,-6.44880,-5.49390,0.10120,-3.06860,-6.56830,-0.55580,-1.95610,38.15670,-1.2536,-1.2536
2022-06-30,1417.70000,1458.80000,-41.10010,0.00000,-41.10010,-53.50000,-94.60000,-22.40000,-72.20000,-72.20000,,-72.20000,-23.00010,-41.10010,63.81600,63.81600,-1.13000,-1.13000,0.32720,0.48620,-2.89910,-2.89910,-6.67280,-5.09280,0.10160,-2.53330,-4.69440,-0.51750,-1.70450,44.63590,-1.1248,-1.1248
